Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
Biliary-AdenoCA::SP99325	1197	2818	3494	66410	0	101188	0	13585	14566	3271
Bladder-TCC::SP1059	0	596	0	0	10839	4407	790	17524	1378	23651
Bladder-TCC::SP96136	4548	716	500	1536	528	5216	709	8057	1392	28694
Breast-AdenoCA::SP117369	5218	0	0	310	0	253	7	0	0	49866
Breast-AdenoCA::SP2293	3919	380	0	513	0	0	0	0	0	60253
CNS-GBM::SP25494	22325	0	4973	0	794	0	202	0	216749	0
ColoRect-AdenoCA::SP18310	0	0	11235	78107	0	13182	1425	4148	0	130
ColoRect-AdenoCA::SP17172	0	0	10675	76236	0	23418	6379	7134	0	520
ColoRect-AdenoCA::SP96133	517	1369	4724	39698	6800	15233	4744	6343	1429	491
ColoRect-AdenoCA::SP110242	390	981	3999	54957	16424	27903	3349	0	5652	320
ColoRect-AdenoCA::SP21017	691	1635	4312	52561	8258	13945	3458	463	2739	372
ColoRect-AdenoCA::SP22383	0	1452	1498	43872	8125	27797	7970	493	6003	268
ColoRect-AdenoCA::SP81312	22683	541659	132316	99866	0	0	0	0	0	10963
ColoRect-AdenoCA::SP22031	2596	221586	2662	6876	0	0	0	0	0	511
ColoRect-AdenoCA::SP19215	128	0	639	38140	4150	42824	3337	0	5631	55
ColoRect-AdenoCA::SP16886	0	770209	0	0	0	0	49218	29855	0	0
ColoRect-AdenoCA::SP19295	3673	234266	0	14165	0	0	0	0	6508	1255
ColoRect-AdenoCA::SP17905	0	1800181	0	0	15368	186875	213076	191013	26104	0
ColoRect-AdenoCA::SP18121	0	868	0	41111	2726	79793	0	6138	29345	1158
ColoRect-AdenoCA::SP21400	15962	477145	109383	86202	0	69395	32021	0	0	2932
ColoRect-AdenoCA::SP18946	11814	789278	0	62859	22515	51474	10124	0	12749	0
ColoRect-AdenoCA::SP80615	0	2004083	0	0	0	91442	209495	109425	12024	0
Eso-AdenoCA::SP111058	0	0	0	372	1577	0	59931	0	816	1287
Eso-AdenoCA::SP111066	0	221	932	17	2898	4492	61287	1203	558	8051
Eso-AdenoCA::SP111113	649	905	0	933	3727	1161	66770	2016	1677	1302
Eso-AdenoCA::SP110865	1165	623	541	2669	4788	3100	19103	13759	1393	8610
Eso-AdenoCA::SP23502	1288	1491	2180	1796	249	4571	51721	7511	308	3356
Eso-AdenoCA::SP111001	1950	723	1958	6368	2997	0	39916	2297	0	3253
Eso-AdenoCA::SP111173	1649	3744	1381	0	0	13385	74642	8474	840	1479
Eso-AdenoCA::SP111091	1731	398	815	879	1385	2908	34346	7814	318	3984
Eso-AdenoCA::SP111175	324	1242	0	4835	13759	0	99972	0	947	2894
Eso-AdenoCA::SP111114	364	1249	1985	6060	2165	674	34510	5005	0	5597
Head-SCC::SP30113	425	97	404	162	47454	4798	366	23427	4588	5902
Head-SCC::SP30332	634	382	688	691	25122	3435	251	15069	2985	3250
Head-SCC::SP30675	163	238	623	256	34584	3865	273	14819	3867	4497
Liver-HCC::SP98090	54	712	3532	0	0	16028	519	39031	2942	868
Lung-AdenoCA::SP53460	967	366	594	524	37925	0	290	8530	1796	2542
Lung-AdenoCA::SP54113	984	0	831	228	63002	6040	1566	19977	5965	11734
Lung-AdenoCA::SP55235	2870	0	2677	1236	70259	3990	2675	18388	4100	7608
Lung-AdenoCA::SP50611	615	0	1105	1182	42288	0	109	4114	2014	1977
Lung-AdenoCA::SP55142	859	589	2741	848	80629	7392	1629	26465	7081	28810
Lung-AdenoCA::SP53618	1116	0	624	843	49274	954	148	4501	2127	1735
Lung-AdenoCA::SP53810	2769	0	1120	3916	167597	0	403	4166	3700	1913
Lung-AdenoCA::SP55509	984	71	320	801	51003	1510	131	5481	2174	3660
Lung-SCC::SP56553	0	819	0	366	36970	3682	771	25976	1673	63625
Lung-SCC::SP57941	872	492	499	926	54365	2345	318	9989	2574	3122
Lung-SCC::SP57818	516	446	178	946	37734	19	102	3565	1799	4794
Lung-SCC::SP56704	522	0	544	0	28381	4085	325	14186	3454	2251
Lung-SCC::SP59245	1013	317	64	676	22402	2556	1177	11740	2141	13034
Lung-SCC::SP57933	0	484	0	751	26845	2217	327	15338	2289	9296
Lung-SCC::SP57669	348	424	4	473	26514	4625	321	13738	1694	2581
Lung-SCC::SP58342	172	294	1690	3142	32859	9899	0	13315	1529	11324
Lung-SCC::SP57619	463	439	0	592	33126	3484	146	10085	2479	2968
Lung-SCC::SP58245	0	347	1229	168	27068	5925	183	17348	2731	4178
Lung-SCC::SP57251	839	539	0	8	19665	4424	169	15947	2757	7755
Lung-SCC::SP58668	300	305	933	0	29350	4502	295	20927	3054	6304
Lung-SCC::SP58326	508	455	607	135	40666	5007	20	17578	3224	3325
Lung-SCC::SP57267	544	460	0	352	26203	4966	169	12906	2605	3186
