Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
Biliary-AdenoCA::SP99325	7.37E+01	5.98E+01	1.34E+03	9.47E+02	4.82E+01	3.73E+02	2.22E+01	1.17E+02	1.75E+02	1.90E+01
Bladder-TCC::SP1059	1.65E+01	1.90E+01	3.90E+01	3.54E+00	1.57E+02	6.01E+01	9.44E+00	1.51E+02	3.40E+01	3.56E+01
Bladder-TCC::SP96136	5.26E+01	1.94E+01	7.23E+01	4.77E+01	5.75E+01	3.72E+01	7.59E+00	8.04E+01	1.82E+01	5.02E+01
Breast-AdenoCA::SP117369	5.25E+01	3.39E+00	4.42E+00	2.11E+01	1.21E+01	6.00E+00	1.11E+00	1.37E+01	4.96E+00	6.59E+01
Breast-AdenoCA::SP2293	5.52E+01	1.10E+01	1.67E+01	2.77E+01	1.22E+01	2.41E+00	1.40E+00	2.80E-01	0.00E+00	6.66E+01
CNS-GBM::SP25494	3.52E+02	1.86E+01	2.69E+02	2.09E+02	5.44E+01	4.20E+01	1.09E+01	1.57E+02	2.34E+02	1.24E+01
ColoRect-AdenoCA::SP18310	1.10E+02	5.20E+01	2.35E+03	2.33E+03	4.20E+01	2.31E+02	1.76E+01	9.03E+01	8.21E+01	9.17E+00
ColoRect-AdenoCA::SP17172	1.13E+02	5.77E+01	2.08E+03	2.06E+03	4.21E+01	2.31E+02	2.11E+01	1.15E+02	5.54E+01	1.25E+01
ColoRect-AdenoCA::SP96133	5.84E+01	2.62E+01	1.03E+03	9.96E+02	4.31E+01	1.35E+02	1.56E+01	5.53E+01	4.15E+01	1.22E+01
ColoRect-AdenoCA::SP110242	8.96E+01	2.68E+01	1.26E+03	1.15E+03	2.64E+01	1.93E+02	1.99E+01	7.96E+00	4.69E+01	1.23E+01
ColoRect-AdenoCA::SP21017	8.02E+01	1.73E+01	9.29E+02	8.92E+02	3.39E+01	1.45E+02	1.51E+01	7.14E+01	4.41E+01	1.08E+01
ColoRect-AdenoCA::SP22383	3.93E+01	2.14E+01	8.02E+02	6.50E+02	3.29E+01	1.67E+02	2.34E+01	4.98E+01	6.07E+01	8.71E+00
ColoRect-AdenoCA::SP81312	1.76E+03	1.34E+04	1.77E+04	2.88E+03	3.26E+01	2.77E+02	0.00E+00	1.87E+01	4.61E+02	6.86E+00
ColoRect-AdenoCA::SP22031	7.14E+01	2.16E+03	2.41E+03	2.02E+02	4.80E+01	2.03E+01	2.92E+01	3.53E+01	4.03E+01	4.12E+00
ColoRect-AdenoCA::SP19215	2.02E+01	1.22E+00	1.05E+03	8.47E+02	2.38E+01	2.21E+02	2.21E+01	7.16E+00	6.33E+01	9.27E+00
ColoRect-AdenoCA::SP16886	2.21E+02	5.63E+03	5.55E+03	1.72E+02	2.27E+02	2.08E+02	1.79E+02	8.70E+01	1.54E+02	1.22E+01
ColoRect-AdenoCA::SP19295	1.65E+02	2.63E+03	3.12E+03	3.34E+02	2.85E+01	4.45E+00	2.82E+01	2.92E+01	5.68E+01	6.20E+00
ColoRect-AdenoCA::SP17905	7.56E+02	1.17E+04	1.08E+04	2.52E+03	7.65E+02	1.21E+03	7.35E+02	8.75E+02	1.68E+02	0.00E+00
ColoRect-AdenoCA::SP18121	8.00E+01	2.99E+01	5.64E+02	2.14E+02	8.30E+01	2.95E+02	2.45E+01	1.57E+02	2.77E+02	1.32E+01
ColoRect-AdenoCA::SP21400	1.19E+03	1.09E+04	1.45E+04	2.39E+03	0.00E+00	6.53E+02	8.17E+01	2.86E+01	4.49E+02	1.24E+01
ColoRect-AdenoCA::SP18946	4.01E+02	8.46E+03	9.80E+03	1.80E+03	2.01E+02	1.35E+02	9.64E+01	5.25E+01	2.32E+02	1.40E+01
ColoRect-AdenoCA::SP80615	2.07E+02	1.54E+04	1.56E+04	2.34E+03	5.76E+02	9.30E+02	5.90E+02	3.28E+02	1.45E+02	2.88E+01
Eso-AdenoCA::SP111058	1.02E+01	1.12E+01	2.64E+01	2.05E+01	1.68E+01	3.69E+01	2.95E+01	3.32E+01	1.60E+01	9.82E+00
Eso-AdenoCA::SP111066	1.84E+01	1.20E+01	2.17E+01	2.48E+01	1.90E+01	5.23E+01	3.93E+01	3.38E+01	1.70E+01	1.64E+01
Eso-AdenoCA::SP111113	1.99E+01	1.23E+01	1.78E+01	2.71E+01	2.42E+01	4.08E+01	3.06E+01	5.91E+01	2.70E+01	1.19E+01
Eso-AdenoCA::SP110865	2.40E+01	2.01E+01	9.17E+01	6.84E+01	8.86E+01	4.60E+01	2.74E+01	9.99E+01	2.49E+01	3.04E+01
Eso-AdenoCA::SP23502	3.16E+01	1.64E+01	7.82E+01	7.45E+01	2.75E+01	3.96E+01	3.07E+01	3.44E+01	1.73E+01	1.44E+01
Eso-AdenoCA::SP111001	3.70E+01	2.47E+01	1.68E+02	1.98E+02	3.53E+01	0.00E+00	2.65E+01	4.28E+01	1.58E+01	1.65E+01
Eso-AdenoCA::SP111173	3.61E+01	1.14E+01	4.41E+01	2.56E+01	1.60E+00	7.25E+01	4.35E+01	4.30E+01	2.30E+01	1.48E+01
Eso-AdenoCA::SP111091	1.92E+01	1.33E+01	5.30E+01	3.02E+01	2.48E+01	3.03E+01	2.63E+01	3.92E+01	1.39E+01	1.69E+01
Eso-AdenoCA::SP111175	2.67E+01	3.02E+01	8.33E+01	6.60E+01	7.33E+01	5.97E+01	4.85E+01	9.61E+01	2.68E+01	2.26E+01
Eso-AdenoCA::SP111114	2.18E+01	2.83E+01	1.72E+02	1.93E+02	4.01E+01	2.35E+01	3.10E+01	4.11E+01	1.56E+01	1.85E+01
Head-SCC::SP30113	3.50E+01	6.62E+00	5.43E+01	2.29E+01	4.34E+02	7.68E+01	1.12E+01	4.16E+02	8.78E+01	5.91E+01
Head-SCC::SP30332	3.02E+01	1.20E+01	5.35E+01	3.40E+01	2.52E+02	5.21E+01	7.61E+00	2.44E+02	4.71E+01	3.55E+01
Head-SCC::SP30675	2.71E+01	1.13E+01	4.66E+01	2.23E+01	3.00E+02	5.30E+01	7.41E+00	2.84E+02	6.11E+01	3.99E+01
Liver-HCC::SP98090	8.41E+01	4.96E+01	2.60E+02	8.75E+01	1.18E+02	1.43E+02	1.68E+01	1.09E+02	5.73E+01	5.98E+01
Lung-AdenoCA::SP53460	4.80E+01	1.38E+01	4.72E+01	4.07E+01	2.59E+02	2.44E+01	5.33E+00	2.27E+02	7.15E+01	4.01E+01
Lung-AdenoCA::SP54113	5.06E+01	8.09E+00	4.48E+01	3.87E+01	5.04E+02	6.18E+01	1.13E+01	4.74E+02	1.15E+02	6.95E+01
Lung-AdenoCA::SP55235	9.64E+01	2.07E+01	9.81E+01	2.59E+01	5.25E+02	6.39E+01	1.32E+01	4.75E+02	1.13E+02	6.96E+01
Lung-AdenoCA::SP50611	5.03E+01	1.48E+01	4.71E+01	2.71E+01	2.58E+02	2.38E+01	4.13E+00	2.27E+02	6.65E+01	4.15E+01
Lung-AdenoCA::SP55142	7.73E+01	3.20E+01	9.79E+01	6.40E+01	6.20E+02	9.13E+01	1.26E+01	5.92E+02	1.44E+02	7.77E+01
Lung-AdenoCA::SP53618	5.76E+01	1.60E+01	4.03E+01	2.91E+01	2.88E+02	2.81E+01	5.13E+00	2.66E+02	8.66E+01	4.73E+01
Lung-AdenoCA::SP53810	1.56E+02	5.29E+01	1.01E+02	1.52E+02	8.76E+02	0.00E+00	0.00E+00	7.71E+02	2.91E+02	1.43E+02
Lung-AdenoCA::SP55509	5.26E+01	1.65E+01	3.84E+01	3.98E+01	3.04E+02	2.69E+01	4.52E+00	2.81E+02	8.84E+01	4.81E+01
Lung-SCC::SP56553	0.00E+00	2.14E+01	7.10E+01	3.06E+01	3.43E+02	8.59E+01	1.22E+01	3.21E+02	6.11E+01	5.68E+01
Lung-SCC::SP57941	5.21E+01	1.87E+01	3.73E+01	2.97E+01	3.55E+02	3.54E+01	8.06E+00	3.32E+02	9.31E+01	5.22E+01
Lung-SCC::SP57818	3.99E+01	1.37E+01	3.09E+01	3.57E+01	2.16E+02	2.14E+01	4.04E+00	1.99E+02	7.03E+01	3.60E+01
Lung-SCC::SP56704	2.63E+01	0.00E+00	4.16E+01	1.43E+01	2.58E+02	4.67E+01	6.51E+00	2.48E+02	4.89E+01	3.40E+01
Lung-SCC::SP59245	2.07E+01	1.16E+01	3.50E+01	1.34E+01	2.02E+02	4.09E+01	1.01E+01	2.00E+02	4.78E+01	3.53E+01
Lung-SCC::SP57933	8.36E+00	1.43E+01	1.64E+01	3.23E+01	2.49E+02	4.99E+01	7.10E+00	2.48E+02	6.32E+01	3.45E+01
Lung-SCC::SP57669	2.17E+01	1.56E+01	3.22E+01	1.90E+01	2.36E+02	4.78E+01	6.91E+00	2.28E+02	5.42E+01	3.31E+01
Lung-SCC::SP58342	4.60E+01	1.46E+01	1.40E+02	1.23E+02	2.80E+02	4.82E+01	5.27E+00	2.49E+02	5.57E+01	3.82E+01
Lung-SCC::SP57619	2.41E+01	1.30E+01	2.14E+01	2.52E+01	2.48E+02	3.65E+01	5.10E+00	2.48E+02	6.73E+01	3.64E+01
Lung-SCC::SP58245	3.25E+01	1.10E+01	7.11E+01	2.33E+01	2.73E+02	6.05E+01	6.48E+00	2.54E+02	4.78E+01	3.91E+01
Lung-SCC::SP57251	1.75E+01	1.61E+01	3.70E+01	1.81E+01	2.10E+02	5.63E+01	8.13E+00	2.21E+02	4.33E+01	3.41E+01
Lung-SCC::SP58668	2.56E+01	1.95E+01	5.02E+01	2.29E+00	3.14E+02	7.06E+01	1.06E+01	2.84E+02	5.23E+01	4.64E+01
Lung-SCC::SP58326	3.43E+01	1.45E+01	4.41E+01	1.98E+01	3.56E+02	5.57E+01	7.55E+00	3.43E+02	7.51E+01	4.94E+01
Lung-SCC::SP57267	1.80E+01	1.53E+01	2.77E+01	2.24E+01	2.42E+02	4.40E+01	6.29E+00	2.47E+02	5.78E+01	3.37E+01
Lung-SCC::SP57066	3.11E+01	1.57E+01	3.79E+01	1.77E+01	2.66E+02	4.44E+01	6.59E+00	2.48E+02	6.51E+01	3.89E+01
Lung-SCC::SP57846	1.84E+01	1.04E+01	3.12E+01	3.02E+01	1.83E+02	2.83E+01	4.16E+00	1.71E+02	3.45E+01	3.14E+01
Lung-SCC::SP57189	3.49E+01	2.07E+01	4.56E+01	3.27E+01	5.52E+02	6.67E+01	7.88E+00	5.37E+02	1.33E+02	6.66E+01
Lymph-BNHL::SP116668	1.78E+01	1.34E+01	2.36E+01	3.64E+01	2.38E+01	4.77E+01	4.28E+01	5.25E+01	3.78E+01	1.90E+01
Lymph-BNHL::SP116697	5.72E+01	9.17E+01	7.52E+01	1.70E+02	7.62E+01	1.54E+02	5.56E+01	1.50E+02	1.30E+02	7.68E+01
Panc-AdenoCA::SP125732	4.49E+01	3.39E+01	1.35E+03	1.27E+03	2.22E+01	1.66E+02	2.09E+01	0.00E+00	0.00E+00	7.18E+00
Panc-AdenoCA::SP125770	2.02E+01	1.54E+01	4.04E+01	1.15E+02	4.77E+01	1.14E+02	1.48E+01	6.51E+01	3.16E+01	1.01E+01
Skin-Melanoma::SP124389	5.44E+02	5.29E+00	5.48E+02	1.19E+01	1.09E+01	1.55E+01	4.78E+00	3.34E+01	1.80E+01	7.06E+00
Skin-Melanoma::SP124362	1.39E+03	1.23E+01	1.39E+03	1.83E+01	2.11E+01	3.59E+01	1.15E+01	7.85E+01	5.14E+01	1.01E+01
