Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
Biliary-AdenoCA::SP99325	0	3057	7670	65665	0	1813	98418	0	10576	15396	3934
Bladder-TCC::SP1059	0	230	3771	0	0	9428	3610	812	18293	0	23041
Bladder-TCC::SP96136	6206	675	0	2003	3251	707	5225	641	6371	4	26813
Breast-AdenoCA::SP117369	8347	0	0	0	0	0	237	8	0	0	47062
Breast-AdenoCA::SP2293	7078	412	0	230	170	0	0	0	0	0	57175
CNS-GBM::SP25494	14762	0	11255	0	1242	0	0	22	0	217762	0
ColoRect-AdenoCA::SP18310	1085	677	0	83522	7252	550	11018	1235	2888	0	0
ColoRect-AdenoCA::SP17172	1480	1091	0	81098	6720	693	21426	6218	5636	0	0
ColoRect-AdenoCA::SP96133	590	2001	0	40161	1671	8650	14352	4681	4843	4106	293
ColoRect-AdenoCA::SP110242	0	1665	1195	53995	916	18544	25675	3208	0	8533	244
ColoRect-AdenoCA::SP21017	0	2012	4349	50233	61	10386	12560	3358	0	4859	616
ColoRect-AdenoCA::SP22383	0	1874	1021	43175	0	10031	25924	7818	0	7470	165
ColoRect-AdenoCA::SP81312	210	531889	149837	77090	24313	0	0	0	0	0	24148
ColoRect-AdenoCA::SP22031	2825	218103	1532	9408	1534	0	0	0	0	307	522
ColoRect-AdenoCA::SP19215	0	0	0	38785	0	5997	39934	3287	0	6860	41
ColoRect-AdenoCA::SP16886	0	766767	0	0	0	0	0	49508	33007	0	0
ColoRect-AdenoCA::SP19295	3668	230949	470	15711	0	0	0	0	0	7870	1199
ColoRect-AdenoCA::SP17905	1195	1788813	0	0	861	14798	202833	214010	171269	38838	0
ColoRect-AdenoCA::SP18121	0	1268	0	40740	0	5454	77843	0	4038	30860	936
ColoRect-AdenoCA::SP21400	0	466784	114942	71668	24911	0	68893	33478	0	0	12364
ColoRect-AdenoCA::SP18946	0	775358	41736	52090	0	20000	50995	9609	0	6879	4146
ColoRect-AdenoCA::SP80615	0	1988797	0	0	0	0	107392	209805	94457	26018	0
Eso-AdenoCA::SP111058	0	0	127	332	0	1550	0	59792	0	835	1347
Eso-AdenoCA::SP111066	0	29	2179	0	59	2466	4029	60934	1861	71	8031
Eso-AdenoCA::SP111113	713	857	216	886	0	3622	1034	66537	2328	1675	1272
Eso-AdenoCA::SP110865	1713	654	0	2864	754	4581	2998	19062	13726	1313	8086
Eso-AdenoCA::SP23502	1717	1517	0	2382	2641	261	4448	51625	7019	0	2861
Eso-AdenoCA::SP111001	2304	821	0	6750	2036	3295	0	39833	1673	0	2750
Eso-AdenoCA::SP111173	1878	3720	0	0	2911	0	13376	74797	7654	166	1092
Eso-AdenoCA::SP111091	2004	381	0	1162	1882	1396	2928	34280	7041	0	3504
Eso-AdenoCA::SP111175	0	953	2916	3971	0	13531	0	99479	0	31	3092
Eso-AdenoCA::SP111114	555	1259	1212	6129	866	2151	472	34393	5146	0	5426
Head-SCC::SP30113	407	0	1191	159	602	45947	4466	395	24591	4223	5642
Head-SCC::SP30332	869	381	0	1025	1193	24441	3304	253	15390	2771	2880
Head-SCC::SP30675	471	231	0	596	943	33686	3671	281	15474	3730	4102
Liver-HCC::SP98090	651	721	0	608	5449	0	16275	519	37609	1632	222
Lung-AdenoCA::SP53460	1069	347	0	580	1317	37371	0	280	8774	1644	2152
Lung-AdenoCA::SP54113	1654	0	0	622	1637	61615	5800	1561	20922	5689	10827
Lung-AdenoCA::SP55235	3364	0	0	1723	4259	69215	3968	2624	18606	3589	6455
Lung-AdenoCA::SP50611	576	0	350	1153	1284	41707	0	90	4513	2050	1681
Lung-AdenoCA::SP55142	519	75	6322	0	1674	77826	6570	1664	28562	5753	28078
Lung-AdenoCA::SP53618	1128	0	0	954	1211	48655	969	127	4799	2124	1355
Lung-AdenoCA::SP53810	2411	0	0	3604	3377	166211	0	334	4880	3777	990
Lung-AdenoCA::SP55509	1087	43	0	866	749	50292	1481	125	5986	2244	3262
Lung-SCC::SP56553	0	43	8082	0	0	33199	1975	790	28369	0	61424
Lung-SCC::SP57941	985	461	0	1072	1012	53487	2278	315	10593	2579	2720
Lung-SCC::SP57818	203	307	1437	462	89	37005	0	105	4092	1688	4711
Lung-SCC::SP56704	690	0	0	257	1141	27667	3965	326	14562	3213	1927
Lung-SCC::SP59245	1717	312	0	793	380	21829	2441	1185	12135	2021	12307
Lung-SCC::SP57933	0	311	1871	276	0	25692	1889	345	16397	1683	9083
Lung-SCC::SP57669	0	264	1568	194	0	25592	4336	349	14446	1318	2655
Lung-SCC::SP58342	0	88	3325	2842	0	31517	9067	39	14923	1239	11184
Lung-SCC::SP57619	338	350	791	430	0	32309	3294	166	10818	2413	2873
Lung-SCC::SP58245	0	232	1546	131	978	26011	5584	206	18218	2250	4021
Lung-SCC::SP57251	1289	517	0	204	477	19010	4268	188	16354	2531	7265
Lung-SCC::SP58668	410	216	1090	0	1072	28265	4274	317	21696	2626	6004
Lung-SCC::SP58326	737	434	0	482	1122	39648	4805	32	18285	3032	2948
Lung-SCC::SP57267	751	437	0	539	194	25519	4774	190	13487	2570	2930
Lung-SCC::SP57066	988	753	0	1081	680	31296	2837	92	13697	2210	4279
Lung-SCC::SP57846	2022	216	264	981	665	19177	2980	99	9649	1479	16432
Lung-SCC::SP57189	1017	505	904	0	0	67047	6870	99	23301	4005	10098
Lymph-BNHL::SP116668	479	2437	0	1395	913	0	4695	42378	12080	1957	567
Lymph-BNHL::SP116697	3570	11992	0	9425	938	1457	10024	18008	35727	9971	11417
Panc-AdenoCA::SP125732	891	761	0	52251	2101	0	30413	9328	0	0	0
Panc-AdenoCA::SP125770	0	740	2070	4623	492	10552	33453	2237	0	0	1287
Skin-Melanoma::SP124389	45993	0	12556	0	12080	0	0	0	0	244	0
Skin-Melanoma::SP124362	145479	0	46821	0	17737	0	0	0	0	4773	0
Skin-Melanoma::SP124394	70218	0	32595	0	2840	0	0	0	0	223	0
Skin-Melanoma::SP124334	54956	0	18469	0	11256	0	0	533	2148	402	0
Skin-Melanoma::SP124454	41303	0	12521	0	4038	160	0	96	27	670	0
Skin-Melanoma::SP124380	101458	0	27067	0	31799	0	0	397	0	2250	0
Skin-Melanoma::SP124399	96402	0	35894	0	9728	0	0	267	2084	0	0
Skin-Melanoma::SP124311	50617	0	26250	0	24121	0	1004	727	6006	654	0
Skin-Melanoma::SP124434	52930	0	11006	0	17597	0	0	0	0	3728	0
Skin-Melanoma::SP124428	211019	0	53402	0	40233	0	0	0	0	1035	0
Skin-Melanoma::SP124449	103562	0	28470	0	3506	0	246	56	259	1888	0
Skin-Melanoma::SP124298	184118	0	105672	0	73824	0	0	0	0	3102	0
Skin-Melanoma::SP124431	43286	0	23429	0	22908	0	0	0	0	3029	0
Skin-Melanoma::SP124409	196556	0	43496	0	2108	0	0	193	3321	0	0
Skin-Melanoma::SP124376	36835	0	8676	0	8065	0	0	0	0	1592	0
Skin-Melanoma::SP124439	197110	0	31955	0	80052	0	0	0	0	10566	0
Skin-Melanoma::SP124406	41859	0	15797	0	11056	1637	0	1890	0	1515	0
Skin-Melanoma::SP124382	247353	0	142339	0	89269	0	0	0	0	0	0
Skin-Melanoma::SP124415	664179	0	0	0	150179	6938	0	2839	7542	27501	0
Skin-Melanoma::SP124436	202614	0	86031	0	7557	0	503	1364	20746	0	0
Skin-Melanoma::SP124460	110230	0	38678	0	13751	0	0	1319	0	0	0
Skin-Melanoma::SP124425	53707	0	20337	0	14929	0	0	423	1804	318	0
Skin-Melanoma::SP124367	91790	0	32345	0	19717	0	0	8281	0	3834	0
Skin-Melanoma::SP124377	30626	0	13330	0	15029	0	0	0	0	2034	0
Skin-Melanoma::SP124412	47599	0	18401	0	7104	4184	0	0	0	0	0
Skin-Melanoma::SP124329	34771	0	12325	0	3735	0	0	92	803	0	0
Skin-Melanoma::SP124326	39173	0	16390	0	5256	167	0	0	0	304	0
Skin-Melanoma::SP124458	93330	0	39106	0	27510	0	0	0	0	1565	0
Skin-Melanoma::SP124401	234443	0	108153	0	73132	0	0	0	0	20237	0
Skin-Melanoma::SP124384	90252	0	47787	0	27788	0	3530	0	5053	3372	0
Skin-Melanoma::SP124462	71639	0	29727	0	12219	0	0	0	0	586	0
Skin-Melanoma::SP124452	53720	0	22485	0	12930	0	0	0	0	2774	0
Skin-Melanoma::SP124386	75202	0	26912	0	12705	0	0	0	0	1016	0
Skin-Melanoma::SP124418	70796	0	21363	0	10819	0	0	158	4245	0	0
Skin-Melanoma::SP124319	151859	0	26234	0	25423	0	0	0	0	1785	0
Skin-Melanoma::SP124447	255262	0	68801	0	117621	0	0	0	0	2407	0
Skin-Melanoma::SP124369	86237	0	28337	0	21828	0	0	0	0	4055	0
Skin-Melanoma::SP124365	46172	0	14502	0	10237	0	523	253	3445	404	0
Skin-Melanoma::SP124420	46543	0	16463	0	7217	0	0	0	0	921	0
Skin-Melanoma::SP124364	66613	0	28284	0	13504	0	0	0	921	92	0
Skin-Melanoma::SP124307	83196	0	23110	0	12392	0	0	0	0	2812	0
Skin-Melanoma::SP82445	536181	0	29588	0	171185	3125	0	2167	2307	0	0
Skin-Melanoma::SP83242	35722	0	15405	0	14242	6455	0	0	0	1424	0
Skin-Melanoma::SP103894	93363	0	34593	0	28980	0	0	275	0	2138	0
Skin-Melanoma::SP83382	34919	0	8810	0	13512	0	0	0	0	1641	0
Skin-Melanoma::SP82451	25078	0	13280	0	8116	1542	342	0	2111	1064	0
Skin-Melanoma::SP83312	33608	0	11496	0	10859	0	0	121	480	1178	0
Skin-Melanoma::SP82614	31414	0	15046	0	10526	0	0	0	0	458	0
Skin-Melanoma::SP82431	183528	0	52469	0	124940	0	124	4995	7292	0	0
Skin-Melanoma::SP82459	49424	0	24923	0	3480	0	0	0	0	459	0
Skin-Melanoma::SP82532	74361	0	44520	0	81746	0	0	0	0	12262	0
Skin-Melanoma::SP83482	40061	0	14601	0	11724	0	0	798	0	1499	0
Skin-Melanoma::SP104530	38274	0	15063	0	7060	2352	0	219	6309	2085	0
Skin-Melanoma::SP82644	168113	0	52965	0	17081	0	0	0	0	2354	0
Skin-Melanoma::SP82988	71221	67	5442	291	14115	0	543	0	0	0	744
Skin-Melanoma::SP82461	46748	0	20431	0	16080	0	0	0	0	1460	0
Skin-Melanoma::SP82900	208373	0	9239	0	48717	1127	0	1185	0	11173	0
Skin-Melanoma::SP82399	70961	0	32899	0	11650	0	0	76	0	709	0
Skin-Melanoma::SP82417	170742	0	48858	0	27624	0	0	0	0	3521	0
Skin-Melanoma::SP104056	181007	0	88158	0	50044	0	10014	838	3943	0	0
Skin-Melanoma::SP83083	41652	0	13538	0	18691	0	0	0	0	1796	0
Skin-Melanoma::SP83019	60987	0	17775	0	17696	0	0	0	0	1665	0
Skin-Melanoma::SP83146	250803	0	35053	0	61825	0	0	0	0	205	0
Skin-Melanoma::SP103866	58346	0	26600	0	9791	0	0	150	0	0	0
Skin-Melanoma::SP83844	34866	0	10618	0	10498	0	241	59	16	889	0
Stomach-AdenoCA::SP135287	0	1297	3224	41156	1092	0	16235	1654	0	1686	230
Stomach-AdenoCA::SP85122	889	1209	0	53356	4663	2154	16106	2002	280	0	0
Stomach-AdenoCA::SP84384	0	433	6627	68786	0	0	32533	2788	0	6204	1066
Stomach-AdenoCA::SP84491	788	1583	0	3043	1691	0	1043	46716	8389	328	1126
Stomach-AdenoCA::SP84743	1541	2223	191	2998	1520	632	775	33598	13125	22	3381
Stomach-AdenoCA::SP84982	0	449	1400	19617	0	6297	18315	14695	0	3037	233
Stomach-AdenoCA::SP84392	0	1575	2023	39746	0	6797	40090	5486	703	7614	586
Stomach-AdenoCA::SP105018	0	812	3656	2406	0	12597	0	1954	28426	1016	7937
Stomach-AdenoCA::SP84439	0	5047	20110	98049	0	23139	168134	10765	24996	36841	2134
Stomach-AdenoCA::SP84922	460	1854	888	1665	677	88	2383	53071	4383	197	2363
Uterus-AdenoCA::SP90209	0	20054	0	432076	0	0	0	0	0	97799	0
Uterus-AdenoCA::SP93540	0	103	0	32040	0	2924	18160	95	5478	6687	210
Uterus-AdenoCA::SP93227	0	98354	9124	430950	0	221432	40065	0	0	128293	0
Uterus-AdenoCA::SP94933	635	1404	0	5584	2907	0	37189	1428	12893	402	0
Uterus-AdenoCA::SP92364	437	1273	0	14038	0	0	88330	1353	7099	2786	35
Uterus-AdenoCA::SP92659	0	268232	0	0	0	14030	0	0	0	0	0
