Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
Biliary-AdenoCA::SP99325	8.86E+01	9.45E+01	2.61E+03	1.76E+03	2.18E+02	6.68E+01	7.08E+02	3.64E+01	1.46E+02	3.19E+02	3.46E+01
Bladder-TCC::SP1059	6.91E+01	1.72E+01	1.41E+02	4.46E+01	4.10E+01	6.72E+01	5.09E+01	7.37E+00	8.07E+01	6.35E+01	8.77E+01
Bladder-TCC::SP96136	2.48E+02	2.72E+01	6.05E+01	5.70E+01	6.80E+01	2.44E+01	3.27E+01	7.03E+00	3.69E+01	3.47E+01	2.32E+02
Breast-AdenoCA::SP117369	4.09E+02	8.25E+00	2.85E+01	2.52E+01	6.49E+00	4.33E+00	4.44E+00	1.22E+00	1.21E+01	3.44E+00	3.76E+02
Breast-AdenoCA::SP2293	4.55E+02	1.48E+01	2.60E+01	2.96E+01	2.54E+00	4.03E+00	0.00E+00	1.15E+00	1.90E+00	0.00E+00	4.18E+02
CNS-GBM::SP25494	1.11E+03	2.35E+01	1.34E+03	1.06E+02	1.94E+02	3.33E+01	8.64E+01	8.05E+00	1.92E+02	1.72E+02	1.25E+01
ColoRect-AdenoCA::SP18310	7.29E+01	1.10E+02	6.82E+02	2.87E+02	1.99E+02	6.65E+01	5.81E+02	2.76E+01	5.26E+01	1.48E+02	1.22E+01
ColoRect-AdenoCA::SP17172	9.68E+01	1.03E+02	9.21E+02	5.56E+02	1.24E+02	6.85E+01	5.24E+02	2.87E+01	8.15E+01	4.06E+01	1.46E+01
ColoRect-AdenoCA::SP96133	3.99E+01	3.63E+01	7.04E+02	4.67E+02	1.11E+02	4.76E+01	3.05E+02	1.79E+01	4.53E+01	7.67E+01	1.19E+01
ColoRect-AdenoCA::SP110242	5.45E+01	4.12E+01	1.76E+03	1.28E+03	9.85E+01	4.25E+01	4.35E+02	2.12E+01	0.00E+00	9.28E+01	1.12E+01
ColoRect-AdenoCA::SP21017	7.95E+01	3.67E+01	1.72E+03	1.41E+03	1.36E+02	3.95E+01	2.97E+02	2.02E+01	4.10E+01	1.02E+02	9.88E+00
ColoRect-AdenoCA::SP22383	3.81E+01	4.18E+01	1.69E+03	1.28E+03	8.75E+01	4.86E+01	3.20E+02	2.58E+01	5.18E+01	1.45E+02	7.71E+00
ColoRect-AdenoCA::SP81312	1.70E+03	1.97E+04	2.34E+04	3.46E+03	0.00E+00	6.76E+01	3.09E+02	0.00E+00	1.59E+01	5.50E+02	7.45E+00
ColoRect-AdenoCA::SP22031	7.29E+01	3.21E+03	3.48E+03	2.09E+02	9.19E+01	5.96E+01	2.43E+01	2.84E+01	2.60E+01	4.61E+01	4.87E+00
ColoRect-AdenoCA::SP19215	1.84E+01	7.01E+00	9.75E+02	5.35E+02	5.95E+01	1.74E+01	4.30E+02	2.08E+01	7.95E+00	5.60E+01	9.17E+00
ColoRect-AdenoCA::SP16886	1.01E+02	8.37E+03	8.82E+03	8.58E+02	2.03E+02	2.79E+02	2.01E+02	1.66E+02	9.34E+00	8.32E+01	1.36E+01
ColoRect-AdenoCA::SP19295	1.48E+02	3.88E+03	4.25E+03	4.08E+02	0.00E+00	3.98E+01	8.18E+00	2.78E+01	3.55E+01	1.17E+02	7.66E+00
ColoRect-AdenoCA::SP17905	7.27E+02	1.63E+04	1.65E+04	1.40E+03	7.46E+02	9.26E+02	1.23E+03	7.89E+02	6.86E+02	6.92E+02	0.00E+00
ColoRect-AdenoCA::SP18121	1.00E+02	4.66E+01	2.60E+03	1.76E+03	1.51E+02	1.48E+02	5.62E+02	3.07E+01	1.54E+02	4.93E+02	1.54E+01
ColoRect-AdenoCA::SP21400	1.30E+03	1.65E+04	1.92E+04	2.93E+03	5.09E+02	0.00E+00	6.63E+02	1.32E+02	0.00E+00	3.30E+02	1.12E+01
ColoRect-AdenoCA::SP18946	3.47E+02	1.21E+04	1.31E+04	3.04E+03	4.81E+02	1.64E+02	2.33E+02	1.07E+02	0.00E+00	6.18E+02	9.23E+00
ColoRect-AdenoCA::SP80615	2.49E+02	2.22E+04	2.27E+04	4.36E+02	6.23E+02	6.79E+02	8.96E+02	5.84E+02	2.97E+02	8.83E+02	2.96E+01
Eso-AdenoCA::SP111058	1.13E+01	2.22E+01	2.23E+01	3.42E+01	1.21E+01	1.73E+01	3.91E+01	4.84E+01	3.87E+01	2.16E+01	1.34E+01
Eso-AdenoCA::SP111066	3.22E+01	2.73E+01	3.81E+01	2.59E+01	4.38E+01	2.06E+01	5.08E+01	5.05E+01	3.67E+01	2.79E+01	3.27E+01
