NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	6228.231	10.218	1447.917	9.932	0.014	0.988	110000.0
2	6253.15	10.257	1452.098	9.972	0.014	0.988	70000.0
3	6299.612	10.341	1523.148	10.075	0.013	0.989	80000.0
4	6288.248	10.322	1521.782	10.065	0.013	0.989	100000.0
5	6419.752	10.532	1529.934	10.352	0.013	0.988	70000.0
6	6240.321	10.236	1456.186	9.966	0.014	0.988	60000.0
7	6236.073	10.232	1448.381	9.945	0.014	0.988	80000.0
8	6254.878	10.262	1453.532	9.983	0.014	0.988	80000.0
9	6386.46	10.478	1518.432	10.269	0.013	0.988	50000.0
10	6227.31	10.218	1448.676	9.944	0.014	0.988	140000.0
11	6265.486	10.278	1461.346	10.01	0.014	0.988	50000.0
12	6277.479	10.299	1462.593	10.016	0.014	0.988	60000.0
13	6247.291	10.246	1455.051	9.968	0.014	0.988	80000.0
14	6240.337	10.238	1450.207	9.951	0.014	0.988	40000.0
15	6239.88	10.24	1448.337	9.94	0.014	0.988	50000.0
16	6306.851	10.355	1526.983	10.092	0.013	0.989	100000.0
17	6230.119	10.221	1450.408	9.944	0.014	0.988	110000.0
18	6280.604	10.308	1521.399	10.048	0.013	0.989	70000.0
19	6311.318	10.362	1523.548	10.07	0.013	0.989	90000.0
20	6246.922	10.248	1453.792	9.97	0.014	0.988	130000.0
21	6326.304	10.386	1527.072	10.122	0.013	0.989	60000.0
22	6223.104	10.207	1448.559	9.934	0.014	0.988	110000.0
23	6415.038	10.526	1533.752	10.369	0.013	0.988	70000.0
24	6366.21	10.449	1545.581	10.186	0.013	0.989	110000.0
25	6307.271	10.357	1524.435	10.1	0.013	0.989	110000.0
26	6412.147	10.524	1530.157	10.351	0.013	0.988	80000.0
27	6244.881	10.246	1453.811	9.984	0.014	0.988	50000.0
28	6410.415	10.52	1525.888	10.323	0.013	0.988	60000.0
29	6394.208	10.493	1525.365	10.323	0.013	0.988	80000.0
30	6238.035	10.233	1447.688	9.927	0.014	0.988	160000.0
31	6298.386	10.339	1522.066	10.067	0.013	0.989	40000.0
32	6320.463	10.375	1531.276	10.101	0.013	0.989	80000.0
33	6331.837	10.395	1533.793	10.142	0.013	0.989	100000.0
34	6297.014	10.335	1517.039	10.047	0.013	0.989	80000.0
35	6221.074	10.206	1443.405	9.903	0.014	0.988	70000.0
36	6201.868	10.174	1439.984	9.896	0.014	0.988	80000.0
37	6239.781	10.237	1449.633	9.945	0.014	0.988	40000.0
38	6322.309	10.376	1524.872	10.079	0.013	0.989	70000.0
39	6299.139	10.343	1520.141	10.068	0.013	0.989	110000.0
40	6231.18	10.221	1454.18	9.966	0.014	0.988	130000.0
41	6303.171	10.346	1527.335	10.091	0.013	0.989	70000.0
42	6255.354	10.26	1452.985	9.959	0.014	0.988	60000.0
43	6217.918	10.202	1447.295	9.927	0.014	0.988	50000.0
44	6236.822	10.23	1456.385	9.98	0.014	0.988	110000.0
45	6303.191	10.346	1522.097	10.05	0.013	0.989	90000.0
46	6198.948	10.169	1439.531	9.889	0.014	0.988	30000.0
47	6419.617	10.535	1529.803	10.37	0.013	0.988	80000.0
48	6224.423	10.213	1449.587	9.957	0.014	0.988	40000.0
49	6298.839	10.336	1522.613	10.063	0.013	0.989	90000.0
50	6286.847	10.32	1518.697	10.037	0.013	0.989	90000.0
