Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
Biliary-AdenoCA::SP99325	0	825	1459	36319	0	0	92917	0	45033	13160	13363	3453
Bladder-TCC::SP1059	416	0	3434	517	9353	0	3762	731	0	18128	0	22844
Bladder-TCC::SP96136	548	6708	0	740	832	4231	5334	604	1609	5518	0	25772
Breast-AdenoCA::SP117369	0	8986	0	0	0	1465	25	0	0	0	0	45178
Breast-AdenoCA::SP2293	307	8211	0	405	0	366	0	0	0	0	0	55776
CNS-GBM::SP25494	0	9336	16258	0	216	0	0	0	0	0	218961	272
ColoRect-AdenoCA::SP18310	1500	72	3128	0	3487	4540	11203	1032	82634	631	0	0
ColoRect-AdenoCA::SP17172	1855	211	3353	0	3640	4194	21501	6046	80299	2964	0	299
ColoRect-AdenoCA::SP96133	1630	570	0	5276	9000	967	13844	4569	36298	4752	4185	257
ColoRect-AdenoCA::SP110242	0	104	0	20571	16817	1668	24055	2947	41148	0	6665	0
ColoRect-AdenoCA::SP21017	0	503	81	22239	8591	1415	10988	3057	36829	1076	3655	0
ColoRect-AdenoCA::SP22383	0	0	0	19592	7984	0	23958	7577	30903	1500	5822	142
ColoRect-AdenoCA::SP81312	461088	14602	68805	218510	0	31853	0	0	0	0	0	12629
ColoRect-AdenoCA::SP22031	205766	1386	4991	8877	0	2391	0	0	9464	0	0	1356
ColoRect-AdenoCA::SP19215	0	0	0	8508	5356	0	38452	3120	33543	0	5921	4
ColoRect-AdenoCA::SP16886	747162	1035	5074	0	0	5366	2724	49118	9495	29308	0	0
ColoRect-AdenoCA::SP19295	216534	4145	2562	22376	0	790	0	0	7557	0	4403	1500
ColoRect-AdenoCA::SP17905	1721137	8849	0	78928	0	41784	217147	210612	0	137196	16964	0
ColoRect-AdenoCA::SP18121	0	0	0	37103	0	0	70854	0	17239	9779	25281	883
ColoRect-AdenoCA::SP21400	412739	2814	66989	188127	0	28068	54548	31639	0	0	0	8116
ColoRect-AdenoCA::SP18946	729046	9242	16774	145764	0	0	48781	8547	0	0	0	2659
ColoRect-AdenoCA::SP80615	1909681	9218	0	84981	0	8325	123325	207535	0	63296	20108	0
Eso-AdenoCA::SP111058	0	0	236	0	1566	0	0	59602	403	0	791	1385
Eso-AdenoCA::SP111066	88	0	1674	483	2445	0	3737	60725	106	2238	155	8008
Eso-AdenoCA::SP111113	610	929	0	1675	3277	0	642	66265	44	2995	1499	1204
Eso-AdenoCA::SP110865	675	1821	208	194	4497	819	3122	18971	2814	13398	1309	7923
Eso-AdenoCA::SP23502	1518	1920	0	0	253	2849	4303	51443	2567	7073	0	2545
Eso-AdenoCA::SP111001	854	2420	0	0	3585	2232	0	39722	6748	1402	37	2462
Eso-AdenoCA::SP111173	3631	2106	0	0	0	3435	12889	74571	573	7646	0	743
Eso-AdenoCA::SP111091	400	2118	0	0	1393	2385	2939	34152	1246	6756	0	3189
Eso-AdenoCA::SP111175	589	0	1871	3463	13323	0	0	98959	2631	0	0	3137
Eso-AdenoCA::SP111114	1300	71	2082	0	2353	306	425	34190	6475	4735	0	5672
Head-SCC::SP30113	140	392	1085	0	45413	859	4668	363	856	24032	4208	5607
Head-SCC::SP30332	450	958	0	0	24149	1403	3488	233	1238	15046	2803	2739
Head-SCC::SP30675	289	493	164	0	33267	1141	3794	266	869	15183	3707	4012
Liver-HCC::SP98090	372	894	0	2537	0	6150	16283	479	0	35968	1003	0
Lung-AdenoCA::SP53460	171	1137	0	1350	36785	1858	0	253	0	8710	1351	1919
Lung-AdenoCA::SP54113	0	1893	0	0	61095	2172	5958	1556	1027	20513	5663	10450
Lung-AdenoCA::SP55235	0	3562	0	1903	68225	5155	3966	2540	868	18489	3268	5827
Lung-AdenoCA::SP50611	0	649	131	973	41211	1582	0	65	770	4542	1995	1486
Lung-AdenoCA::SP55142	283	777	4829	1935	77161	1547	6643	1580	452	28175	6000	27661
Lung-AdenoCA::SP53618	0	1133	0	815	48127	1724	934	106	652	4727	1951	1153
Lung-AdenoCA::SP53810	0	2415	0	7781	162300	5636	0	47	0	5086	2047	272
Lung-AdenoCA::SP55509	0	1128	0	1168	49618	1248	1399	103	369	6022	2023	3057
Lung-SCC::SP56553	556	0	7851	0	32989	0	2075	608	393	28854	0	60556
Lung-SCC::SP57941	290	1039	0	1359	52793	1574	2233	300	508	10556	2332	2518
Lung-SCC::SP57818	227	456	577	1304	36606	419	0	86	208	4076	1666	4474
Lung-SCC::SP56704	0	761	0	0	27391	1435	4089	321	517	14246	3186	1802
Lung-SCC::SP59245	349	1904	136	0	21583	523	2564	1166	940	11898	2021	12036
Lung-SCC::SP57933	384	0	1387	699	25250	0	1973	305	488	16227	1797	9037
Lung-SCC::SP57669	373	92	939	302	25327	167	4424	325	662	14089	1403	2619
Lung-SCC::SP58342	342	0	3069	0	31280	0	8877	0	4234	14350	982	11090
Lung-SCC::SP57619	332	558	173	816	31898	326	3324	153	355	10708	2422	2717
Lung-SCC::SP58245	396	0	1400	0	25686	835	5680	179	825	17836	2309	4031
Lung-SCC::SP57251	570	1457	2	0	18706	709	4430	169	401	16056	2528	7075
Lung-SCC::SP58668	346	262	1345	0	27920	1066	4501	281	218	21342	2655	6034
Lung-SCC::SP58326	493	724	200	0	39173	1412	4946	16	779	17924	2990	2868
Lung-SCC::SP57267	470	813	0	69	25214	512	4871	179	731	13175	2509	2848
Lung-SCC::SP57066	793	1081	0	0	31004	988	2999	79	1282	13352	2208	4127
Lung-SCC::SP57846	243	2120	676	0	18983	605	3007	89	1193	9460	1442	16146
Lung-SCC::SP57189	628	1041	944	0	66340	0	7025	99	510	23032	4167	10060
Lymph-BNHL::SP116668	2005	655	0	2325	0	1482	4405	42108	213	11919	1395	394
Lymph-BNHL::SP116697	9759	4060	0	12903	0	2958	9211	17671	1928	35767	7555	10717
Panc-AdenoCA::SP125732	1389	0	2514	0	0	45	29854	9249	52339	0	0	355
Panc-AdenoCA::SP125770	0	0	406	6912	9862	894	32427	2288	1471	0	0	1194
Skin-Melanoma::SP124389	0	41047	20651	0	0	8431	0	0	0	0	652	92
Skin-Melanoma::SP124362	0	130728	71733	0	0	6217	0	0	0	0	6132	0
Skin-Melanoma::SP124394	0	61374	44502	0	0	0	0	0	0	0	0	0
Skin-Melanoma::SP124334	0	48275	27488	0	576	6351	0	297	0	3428	1061	288
Skin-Melanoma::SP124454	0	37037	17104	0	1905	1080	0	0	0	99	1506	84
Skin-Melanoma::SP124380	0	89734	47159	0	0	23458	0	0	0	0	2620	0
Skin-Melanoma::SP124399	0	85553	51310	0	0	1746	0	0	0	5741	25	0
Skin-Melanoma::SP124311	0	42262	38951	0	0	17151	262	410	0	9246	1097	0
Skin-Melanoma::SP124434	0	46698	18940	0	1445	13719	0	0	0	0	4332	127
Skin-Melanoma::SP124428	0	190574	86385	0	0	25762	0	0	0	0	2968	0
Skin-Melanoma::SP124449	0	93529	40466	0	242	0	0	0	0	1761	1989	0
Skin-Melanoma::SP124298	0	153338	163571	0	0	45878	0	0	0	0	3929	0
Skin-Melanoma::SP124431	0	35632	35050	0	2002	16329	0	0	0	0	3639	0
Skin-Melanoma::SP124409	0	177396	64711	0	0	0	0	0	0	3567	0	0
Skin-Melanoma::SP124376	0	32929	14018	0	262	5543	0	0	0	0	2093	323
Skin-Melanoma::SP124439	0	172755	72051	0	0	64760	0	0	0	0	10117	0
Skin-Melanoma::SP124406	0	36515	22161	0	3898	6967	0	1752	0	0	2371	90
Skin-Melanoma::SP124382	0	209408	214809	0	0	54744	0	0	0	0	0	0
Skin-Melanoma::SP124415	0	603829	91271	0	6324	131095	0	824	0	0	25835	0
Skin-Melanoma::SP124436	0	176694	116074	0	1022	0	0	87	0	24938	0	0
Skin-Melanoma::SP124460	0	99908	56747	0	0	5678	0	966	0	679	0	0
Skin-Melanoma::SP124425	0	46882	30076	0	89	9550	0	145	0	3803	973	0
Skin-Melanoma::SP124367	0	81194	49945	0	667	11283	0	8184	0	0	4694	0
Skin-Melanoma::SP124377	0	25863	20904	0	721	11165	0	0	0	0	2366	0
Skin-Melanoma::SP124412	0	41985	24731	0	6861	2916	0	0	0	0	795	0
Skin-Melanoma::SP124329	0	30941	17528	0	0	834	0	0	0	2010	413	0
Skin-Melanoma::SP124326	0	33953	22221	0	2424	1201	0	0	0	0	1127	364
Skin-Melanoma::SP124458	0	81967	58200	0	489	17971	0	0	0	0	2884	0
Skin-Melanoma::SP124401	0	200955	167730	0	144	44753	0	0	0	0	22383	0
Skin-Melanoma::SP124384	0	80671	50588	0	2520	20417	1553	0	13196	3312	5525	0
Skin-Melanoma::SP124462	0	63581	42054	0	0	5268	0	0	0	1531	1737	0
Skin-Melanoma::SP124452	0	47402	33429	0	0	7512	0	0	0	0	3566	0
Skin-Melanoma::SP124386	0	67618	39636	0	0	6297	0	0	0	0	2134	150
Skin-Melanoma::SP124418	0	62974	31534	0	2041	5852	0	0	0	4670	310	0
Skin-Melanoma::SP124319	0	136838	49449	0	0	16849	0	0	0	0	2165	0
Skin-Melanoma::SP124447	0	222573	121333	0	856	94090	0	0	0	1274	3965	0
Skin-Melanoma::SP124369	0	75649	46602	0	0	13799	0	0	0	0	4407	0
Skin-Melanoma::SP124365	0	40915	21463	0	1007	6551	212	91	0	4287	1010	0
Skin-Melanoma::SP124420	0	41535	24479	0	0	3132	0	0	0	530	1468	0
Skin-Melanoma::SP124364	0	58684	37876	0	1306	7018	0	0	0	2954	1576	0
Skin-Melanoma::SP124307	0	74902	35242	0	882	6549	0	0	0	113	3822	0
Skin-Melanoma::SP82445	0	482166	110051	0	6127	145981	0	228	0	0	0	0
Skin-Melanoma::SP83242	0	30069	22913	0	8642	9692	0	0	0	0	1932	0
Skin-Melanoma::SP103894	0	81139	54060	0	0	19467	0	0	0	1469	2946	268
Skin-Melanoma::SP83382	0	30899	14872	0	197	10705	0	0	0	0	2085	124
Skin-Melanoma::SP82451	0	21108	16968	0	3313	4905	214	0	736	1763	1846	680
Skin-Melanoma::SP83312	0	29336	17127	0	986	7619	0	0	0	870	1724	80
Skin-Melanoma::SP82614	0	26934	22315	0	260	6665	0	0	0	432	838	0
Skin-Melanoma::SP82431	0	155140	99880	0	0	104006	0	3779	0	10543	0	0
Skin-Melanoma::SP82459	0	43103	33399	0	0	0	0	0	0	1333	451	0
Skin-Melanoma::SP82532	0	53738	82199	0	0	64594	0	0	0	0	11184	1174
Skin-Melanoma::SP83482	0	34919	22184	0	1147	7742	0	644	0	0	2004	43
Skin-Melanoma::SP104530	0	33201	20057	0	4330	3294	0	115	107	6191	3157	910
Skin-Melanoma::SP82644	0	152139	79948	0	0	4364	0	0	0	0	4062	0
Skin-Melanoma::SP82988	0	65087	12599	1701	0	11936	0	0	329	0	0	771
Skin-Melanoma::SP82461	0	40544	30269	0	270	10938	0	0	0	0	2300	398
Skin-Melanoma::SP82900	0	187111	40211	0	1563	40021	0	402	0	0	10421	85
Skin-Melanoma::SP82399	0	62704	44841	0	470	4187	0	0	0	1968	2125	0
Skin-Melanoma::SP82417	0	153556	77255	0	0	15004	0	0	0	0	4930	0
Skin-Melanoma::SP104056	0	154229	129423	0	0	27909	7049	0	0	15394	0	0
Skin-Melanoma::SP83083	0	36233	21969	0	410	14581	0	0	0	0	2338	146
Skin-Melanoma::SP83019	0	54320	28051	0	251	12858	0	0	0	0	2469	174
Skin-Melanoma::SP83146	0	227673	69331	0	0	48822	0	0	0	0	2046	14
Skin-Melanoma::SP103866	0	51303	37260	0	0	3954	0	0	0	2317	53	0
Skin-Melanoma::SP83844	0	30395	16388	0	346	7292	0	0	0	710	1442	614
Stomach-AdenoCA::SP135287	179	0	1467	11531	0	1052	15207	1522	34326	0	1194	96
Stomach-AdenoCA::SP85122	1693	196	2119	0	3744	2781	15596	1869	52661	0	0	0
Stomach-AdenoCA::SP84384	0	335	1509	24730	0	0	30151	2247	53401	0	5433	631
Stomach-AdenoCA::SP84491	1566	735	408	0	0	1722	979	46531	3144	8310	237	1075
Stomach-AdenoCA::SP84743	2183	1335	830	187	562	1451	844	33438	2983	12795	0	3398
Stomach-AdenoCA::SP84982	0	92	0	10893	4978	93	17495	14556	13296	0	2478	162
Stomach-AdenoCA::SP84392	0	288	0	15503	5443	0	37796	5356	30490	2643	6684	417
Stomach-AdenoCA::SP105018	598	0	2384	3811	11725	0	0	1830	1039	28471	1008	7938
Stomach-AdenoCA::SP84439	0	146	592	115181	268	4107	153212	8722	31330	44791	29809	1057
Stomach-AdenoCA::SP84922	1826	357	1100	150	92	646	2144	52863	2002	4387	56	2406
Uterus-AdenoCA::SP90209	0	0	0	210265	0	0	0	0	268514	0	71150	0
Uterus-AdenoCA::SP93540	0	0	0	4290	2956	0	17402	0	29012	5598	6256	183
Uterus-AdenoCA::SP93227	16796	0	0	585532	161617	0	17029	0	71664	0	75580	0
Uterus-AdenoCA::SP94933	1500	598	303	0	0	2781	36531	1470	6390	12482	387	0
Uterus-AdenoCA::SP92364	1465	501	0	0	0	0	86421	1525	15772	6929	2600	138
Uterus-AdenoCA::SP92659	264390	0	0	0	11889	0	0	0	5983	0	0	0
