Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
Biliary-AdenoCA::SP99325	9.54E+01	6.47E+01	1.96E+03	1.83E+03	5.57E+01	2.01E+02	1.24E+03	1.83E+01	1.45E+03	2.67E+02	2.48E+02	2.51E+01
Bladder-TCC::SP1059	1.26E+01	6.15E+01	9.64E+01	3.10E+01	1.25E+02	3.75E+01	6.24E+01	1.36E+01	2.89E+01	1.00E+02	5.29E+01	7.32E+01
Bladder-TCC::SP96136	2.68E+01	1.96E+02	1.00E+02	8.59E+01	3.15E+01	5.31E+01	3.46E+01	2.75E+01	5.20E+01	6.41E+01	3.07E+01	1.93E+02
Breast-AdenoCA::SP117369	5.64E+00	3.30E+02	6.98E+00	2.29E+01	5.71E+00	2.48E+00	7.43E+00	9.07E-01	2.73E+00	1.87E+01	8.95E-01	3.09E+02
Breast-AdenoCA::SP2293	1.51E+01	3.71E+02	1.27E+01	2.38E+01	9.44E+00	0.00E+00	0.00E+00	1.48E+00	1.70E+01	0.00E+00	0.00E+00	3.48E+02
CNS-GBM::SP25494	2.55E+01	7.16E+02	8.99E+02	1.15E+02	5.12E+01	1.19E+02	4.56E+01	9.06E+00	1.03E+02	1.76E+02	2.13E+02	1.19E+01
ColoRect-AdenoCA::SP18310	1.16E+02	8.01E+01	1.38E+02	7.20E+02	9.26E+01	1.52E+02	5.66E+02	3.73E+01	4.04E+02	5.89E+01	1.08E+02	1.13E+01
ColoRect-AdenoCA::SP17172	1.02E+02	8.02E+01	5.22E+01	7.72E+02	9.26E+01	1.18E+02	4.96E+02	4.57E+01	4.22E+02	9.06E+01	8.36E+00	1.31E+01
ColoRect-AdenoCA::SP96133	3.96E+01	3.60E+01	7.93E+01	5.79E+02	7.57E+01	6.72E+01	2.76E+02	2.75E+01	4.15E+02	5.77E+01	8.42E+01	1.16E+01
ColoRect-AdenoCA::SP110242	7.39E+01	4.62E+01	1.12E+02	1.48E+03	6.23E+01	7.59E+01	3.77E+02	2.45E+01	1.15E+03	8.37E+00	9.15E+01	1.20E+01
ColoRect-AdenoCA::SP21017	5.11E+01	6.26E+01	2.22E+02	1.45E+03	3.09E+01	8.27E+01	2.35E+02	4.35E+01	1.20E+03	1.89E+01	8.79E+01	1.08E+01
ColoRect-AdenoCA::SP22383	5.23E+01	2.31E+01	3.71E+02	1.30E+03	4.42E+01	6.79E+01	2.88E+02	1.35E+02	1.06E+03	5.14E+01	1.25E+02	7.73E+00
ColoRect-AdenoCA::SP81312	2.27E+04	1.47E+03	1.85E+04	2.36E+04	5.83E+01	0.00E+00	4.42E+02	0.00E+00	2.70E+03	1.68E+01	6.66E+02	1.05E+01
ColoRect-AdenoCA::SP22031	3.54E+03	4.69E+01	2.23E+03	3.62E+03	7.91E+01	6.02E+01	2.42E+01	3.06E+01	3.05E+02	4.12E+01	4.04E+01	4.83E+00
ColoRect-AdenoCA::SP19215	9.31E+00	2.04E+01	1.50E+02	7.21E+02	3.60E+01	4.13E+01	3.65E+02	2.84E+01	4.74E+02	3.35E+01	4.35E+01	6.79E+00
