Samples	SBS96A
Biliary-AdenoCA::SP99325	0.00E+00
Bladder-TCC::SP1059	0.00E+00
Bladder-TCC::SP96136	0.00E+00
Breast-AdenoCA::SP117369	0.00E+00
Breast-AdenoCA::SP2293	0.00E+00
CNS-GBM::SP25494	0.00E+00
ColoRect-AdenoCA::SP18310	0.00E+00
ColoRect-AdenoCA::SP17172	0.00E+00
ColoRect-AdenoCA::SP96133	0.00E+00
ColoRect-AdenoCA::SP110242	0.00E+00
ColoRect-AdenoCA::SP21017	0.00E+00
ColoRect-AdenoCA::SP22383	0.00E+00
ColoRect-AdenoCA::SP81312	0.00E+00
ColoRect-AdenoCA::SP22031	0.00E+00
ColoRect-AdenoCA::SP19215	0.00E+00
ColoRect-AdenoCA::SP16886	0.00E+00
ColoRect-AdenoCA::SP19295	0.00E+00
ColoRect-AdenoCA::SP17905	0.00E+00
ColoRect-AdenoCA::SP18121	0.00E+00
ColoRect-AdenoCA::SP21400	0.00E+00
ColoRect-AdenoCA::SP18946	0.00E+00
ColoRect-AdenoCA::SP80615	0.00E+00
Eso-AdenoCA::SP111058	0.00E+00
Eso-AdenoCA::SP111066	0.00E+00
Eso-AdenoCA::SP111113	0.00E+00
Eso-AdenoCA::SP110865	0.00E+00
Eso-AdenoCA::SP23502	0.00E+00
Eso-AdenoCA::SP111001	0.00E+00
Eso-AdenoCA::SP111173	0.00E+00
Eso-AdenoCA::SP111091	0.00E+00
Eso-AdenoCA::SP111175	0.00E+00
Eso-AdenoCA::SP111114	0.00E+00
Head-SCC::SP30113	0.00E+00
Head-SCC::SP30332	0.00E+00
Head-SCC::SP30675	0.00E+00
Liver-HCC::SP98090	0.00E+00
Lung-AdenoCA::SP53460	0.00E+00
Lung-AdenoCA::SP54113	0.00E+00
Lung-AdenoCA::SP55235	0.00E+00
Lung-AdenoCA::SP50611	0.00E+00
Lung-AdenoCA::SP55142	0.00E+00
Lung-AdenoCA::SP53618	0.00E+00
Lung-AdenoCA::SP53810	0.00E+00
Lung-AdenoCA::SP55509	0.00E+00
Lung-SCC::SP56553	0.00E+00
Lung-SCC::SP57941	0.00E+00
Lung-SCC::SP57818	0.00E+00
Lung-SCC::SP56704	0.00E+00
Lung-SCC::SP59245	0.00E+00
Lung-SCC::SP57933	0.00E+00
Lung-SCC::SP57669	0.00E+00
Lung-SCC::SP58342	0.00E+00
Lung-SCC::SP57619	0.00E+00
Lung-SCC::SP58245	0.00E+00
Lung-SCC::SP57251	0.00E+00
Lung-SCC::SP58668	0.00E+00
Lung-SCC::SP58326	0.00E+00
Lung-SCC::SP57267	0.00E+00
Lung-SCC::SP57066	0.00E+00
Lung-SCC::SP57846	0.00E+00
Lung-SCC::SP57189	0.00E+00
Lymph-BNHL::SP116668	0.00E+00
Lymph-BNHL::SP116697	0.00E+00
Panc-AdenoCA::SP125732	0.00E+00
Panc-AdenoCA::SP125770	0.00E+00
Skin-Melanoma::SP124389	0.00E+00
Skin-Melanoma::SP124362	0.00E+00
Skin-Melanoma::SP124394	0.00E+00
Skin-Melanoma::SP124334	0.00E+00
Skin-Melanoma::SP124454	0.00E+00
Skin-Melanoma::SP124380	0.00E+00
Skin-Melanoma::SP124399	0.00E+00
Skin-Melanoma::SP124311	0.00E+00
Skin-Melanoma::SP124434	0.00E+00
Skin-Melanoma::SP124428	0.00E+00
Skin-Melanoma::SP124449	0.00E+00
Skin-Melanoma::SP124298	0.00E+00
Skin-Melanoma::SP124431	0.00E+00
Skin-Melanoma::SP124409	0.00E+00
Skin-Melanoma::SP124376	0.00E+00
Skin-Melanoma::SP124439	0.00E+00
Skin-Melanoma::SP124406	0.00E+00
Skin-Melanoma::SP124382	0.00E+00
Skin-Melanoma::SP124415	0.00E+00
Skin-Melanoma::SP124436	0.00E+00
Skin-Melanoma::SP124460	0.00E+00
Skin-Melanoma::SP124425	0.00E+00
Skin-Melanoma::SP124367	0.00E+00
Skin-Melanoma::SP124377	0.00E+00
