Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.441	201760.143	97.691%	40325.814	120.967%	0.63343	0.183
Bladder-TCC::SP1059	59185	0.619	41520.377	70.154%	10191.444	89.92%	0.46734	0.479
Bladder-TCC::SP96136	51896	0.685	39134.369	75.409%	10095.321	73.291%	0.46482	0.616
Breast-AdenoCA::SP117369	55654	0.59	70483.495	126.646%	18576.647	81.346%	1.19525	0.555
Breast-AdenoCA::SP2293	65065	0.576	82285.64	126.467%	21323.117	82.034%	1.27337	0.536
CNS-GBM::SP25494	245043	0.705	264220.445	107.826%	53022.208	71.022%	0.89874	0.659
ColoRect-AdenoCA::SP18310	108227	0.355	112297.803	103.761%	25521.382	110.768%	0.82735	0.15
ColoRect-AdenoCA::SP17172	124362	0.387	117459.567	94.45%	26958.308	114.764%	0.68016	0.158
ColoRect-AdenoCA::SP96133	81348	0.455	67536.706	83.022%	15752.795	118.742%	0.52212	0.206
ColoRect-AdenoCA::SP110242	113975	0.435	103761.444	91.039%	22783.316	117.337%	0.58684	0.191
ColoRect-AdenoCA::SP21017	88434	0.42	78655.313	88.942%	18349.293	114.091%	0.58922	0.192
ColoRect-AdenoCA::SP22383	97478	0.438	87055.258	89.308%	19011.163	122.464%	0.55585	0.173
ColoRect-AdenoCA::SP81312	807487	0.419	885908.738	109.712%	255563.304	92.421%	0.93392	0.326
ColoRect-AdenoCA::SP22031	234231	0.317	271140.053	115.758%	91133.259	96.638%	1.16562	0.226
ColoRect-AdenoCA::SP19215	94904	0.397	97568.411	102.807%	19444.226	122.634%	0.70309	0.13
ColoRect-AdenoCA::SP16886	849282	0.302	1005796.746	118.429%	322461.187	97.841%	1.2125	0.203
ColoRect-AdenoCA::SP19295	259867	0.33	290330.634	111.723%	99570.042	96.03%	1.09036	0.241
ColoRect-AdenoCA::SP17905	2432617	0.334	2570043.429	105.649%	771187.94	98.791%	0.95026	0.212
ColoRect-AdenoCA::SP18121	161139	0.484	155189.635	96.308%	30438.795	115.077%	0.60855	0.252
ColoRect-AdenoCA::SP21400	793040	0.424	830654.848	104.743%	220579.382	94.282%	0.83373	0.308
ColoRect-AdenoCA::SP18946	960813	0.337	1041726.714	108.421%	331000.355	96.965%	0.98425	0.232
ColoRect-AdenoCA::SP80615	2426469	0.317	2654152.843	109.383%	841101.669	98.208%	1.05558	0.208
Eso-AdenoCA::SP111058	63983	0.229	80889.17	126.423%	23759.123	102.838%	1.29486	0.104
Eso-AdenoCA::SP111066	79659	0.311	91260.837	114.564%	23928.497	102.301%	1.00837	0.167
Eso-AdenoCA::SP111113	79140	0.265	94051.035	118.841%	25340.073	104.139%	1.10177	0.119
Eso-AdenoCA::SP110865	55751	0.588	39498.632	70.848%	9444.22	103.899%	0.37942	0.404
Eso-AdenoCA::SP23502	74471	0.333	79354.326	106.557%	20458.824	103.638%	0.88165	0.174
Eso-AdenoCA::SP111001	59462	0.373	54888.139	92.308%	15704.202	101.1%	0.71206	0.221
Eso-AdenoCA::SP111173	105594	0.297	127896.182	121.121%	29953.655	105.945%	1.0473	0.13
Eso-AdenoCA::SP111091	54578	0.38	52566.614	96.315%	13902.72	101.986%	0.76693	0.221
Eso-AdenoCA::SP111175	123973	0.262	135043.789	108.93%	39296.119	104.688%	1.00446	0.113
Eso-AdenoCA::SP111114	57609	0.394	52065.219	90.377%	13946.204	103.13%	0.65225	0.224
