Samples	SBS96A	SBS96B
Biliary-AdenoCA::SP99325	193294	13235
Bladder-TCC::SP1059	44398	14787
Bladder-TCC::SP96136	29114	22782
Breast-AdenoCA::SP117369	24323	31331
Breast-AdenoCA::SP2293	31142	33923
CNS-GBM::SP25494	82266	162777
ColoRect-AdenoCA::SP18310	103523	4704
ColoRect-AdenoCA::SP17172	119838	4524
ColoRect-AdenoCA::SP96133	78022	3326
ColoRect-AdenoCA::SP110242	109347	4628
ColoRect-AdenoCA::SP21017	84722	3712
ColoRect-AdenoCA::SP22383	94608	2870
ColoRect-AdenoCA::SP81312	744110	63377
ColoRect-AdenoCA::SP22031	231461	2770
ColoRect-AdenoCA::SP19215	92166	2738
ColoRect-AdenoCA::SP16886	849282	0
ColoRect-AdenoCA::SP19295	254742	5125
ColoRect-AdenoCA::SP17905	2430653	1964
ColoRect-AdenoCA::SP18121	144604	16535
ColoRect-AdenoCA::SP21400	746147	46893
ColoRect-AdenoCA::SP18946	949553	11260
ColoRect-AdenoCA::SP80615	2426469	0
Eso-AdenoCA::SP111058	63983	0
Eso-AdenoCA::SP111066	78794	865
Eso-AdenoCA::SP111113	79140	0
Eso-AdenoCA::SP110865	49823	5928
Eso-AdenoCA::SP23502	73226	1245
Eso-AdenoCA::SP111001	57391	2071
Eso-AdenoCA::SP111173	105594	0
Eso-AdenoCA::SP111091	52134	2444
Eso-AdenoCA::SP111175	123973	0
Eso-AdenoCA::SP111114	55740	1869
Head-SCC::SP30113	80019	7604
Head-SCC::SP30332	47036	5471
Head-SCC::SP30675	57359	5826
Liver-HCC::SP98090	56687	6999
Lung-AdenoCA::SP53460	49508	4026
Lung-AdenoCA::SP54113	97820	12507
Lung-AdenoCA::SP55235	101694	12109
Lung-AdenoCA::SP50611	50122	3282
Lung-AdenoCA::SP55142	132973	24070
Lung-AdenoCA::SP53618	57821	3501
Lung-AdenoCA::SP53810	180881	4703
Lung-AdenoCA::SP55509	61774	4361
Lung-SCC::SP56553	101092	32790
Lung-SCC::SP57941	71185	4317
Lung-SCC::SP57818	45903	4196
Lung-SCC::SP56704	48904	4844
Lung-SCC::SP59245	44501	10619
Lung-SCC::SP57933	50652	6895
Lung-SCC::SP57669	47531	3191
Lung-SCC::SP58342	65324	8900
Lung-SCC::SP57619	50001	3781
Lung-SCC::SP58245	53888	5289
Lung-SCC::SP57251	43849	8254
Lung-SCC::SP58668	58585	7385
Lung-SCC::SP58326	66358	5167
Lung-SCC::SP57267	46927	4464
