Samples	SBS96A	SBS96B
Biliary-AdenoCA::SP99325	5.26E+01	5.26E+01
Bladder-TCC::SP1059	2.17E+01	2.17E+01
Bladder-TCC::SP96136	2.17E+01	2.17E+01
Breast-AdenoCA::SP117369	2.30E+01	2.30E+01
Breast-AdenoCA::SP2293	2.84E+01	2.84E+01
CNS-GBM::SP25494	4.33E+01	4.33E+01
ColoRect-AdenoCA::SP18310	2.89E+01	2.89E+01
ColoRect-AdenoCA::SP17172	3.04E+01	3.04E+01
ColoRect-AdenoCA::SP96133	2.44E+01	2.44E+01
ColoRect-AdenoCA::SP110242	2.79E+01	2.79E+01
ColoRect-AdenoCA::SP21017	2.34E+01	2.34E+01
ColoRect-AdenoCA::SP22383	2.72E+01	2.72E+01
ColoRect-AdenoCA::SP81312	1.66E+02	1.66E+02
ColoRect-AdenoCA::SP22031	6.04E+01	6.04E+01
ColoRect-AdenoCA::SP19215	2.56E+01	2.56E+01
ColoRect-AdenoCA::SP16886	2.12E+02	2.12E+02
ColoRect-AdenoCA::SP19295	6.19E+01	6.19E+01
ColoRect-AdenoCA::SP17905	5.70E+02	5.70E+02
ColoRect-AdenoCA::SP18121	4.20E+01	4.20E+01
ColoRect-AdenoCA::SP21400	2.03E+02	2.03E+02
ColoRect-AdenoCA::SP18946	2.26E+02	2.26E+02
ColoRect-AdenoCA::SP80615	5.72E+02	5.72E+02
Eso-AdenoCA::SP111058	1.56E+01	1.56E+01
Eso-AdenoCA::SP111066	2.12E+01	2.12E+01
Eso-AdenoCA::SP111113	1.98E+01	1.98E+01
Eso-AdenoCA::SP110865	1.89E+01	1.89E+01
Eso-AdenoCA::SP23502	1.96E+01	1.96E+01
Eso-AdenoCA::SP111001	1.93E+01	1.93E+01
Eso-AdenoCA::SP111173	2.85E+01	2.85E+01
Eso-AdenoCA::SP111091	1.42E+01	1.42E+01
Eso-AdenoCA::SP111175	2.92E+01	2.92E+01
Eso-AdenoCA::SP111114	1.60E+01	1.60E+01
Head-SCC::SP30113	2.44E+01	2.44E+01
Head-SCC::SP30332	2.05E+01	2.05E+01
Head-SCC::SP30675	2.05E+01	2.05E+01
Liver-HCC::SP98090	2.28E+01	2.28E+01
Lung-AdenoCA::SP53460	1.58E+01	1.58E+01
Lung-AdenoCA::SP54113	3.05E+01	3.05E+01
Lung-AdenoCA::SP55235	3.18E+01	3.18E+01
Lung-AdenoCA::SP50611	1.69E+01	1.69E+01
Lung-AdenoCA::SP55142	3.65E+01	3.65E+01
Lung-AdenoCA::SP53618	1.78E+01	1.78E+01
Lung-AdenoCA::SP53810	4.62E+01	4.62E+01
Lung-AdenoCA::SP55509	1.86E+01	1.86E+01
Lung-SCC::SP56553	3.34E+01	3.34E+01
Lung-SCC::SP57941	2.01E+01	2.01E+01
Lung-SCC::SP57818	1.66E+01	1.66E+01
Lung-SCC::SP56704	1.69E+01	1.69E+01
Lung-SCC::SP59245	2.06E+01	2.06E+01
Lung-SCC::SP57933	2.18E+01	2.18E+01
Lung-SCC::SP57669	1.61E+01	1.61E+01
Lung-SCC::SP58342	2.35E+01	2.35E+01
Lung-SCC::SP57619	1.65E+01	1.65E+01
Lung-SCC::SP58245	1.96E+01	1.96E+01
Lung-SCC::SP57251	1.90E+01	1.90E+01
Lung-SCC::SP58668	2.27E+01	2.27E+01
Lung-SCC::SP58326	2.12E+01	2.12E+01
Lung-SCC::SP57267	1.60E+01	1.60E+01
Lung-SCC::SP57066	1.90E+01	1.90E+01
Lung-SCC::SP57846	1.91E+01	1.91E+01
Lung-SCC::SP57189	3.00E+01	3.00E+01
Lymph-BNHL::SP116668	1.70E+01	1.70E+01
Lymph-BNHL::SP116697	3.54E+01	3.54E+01
Panc-AdenoCA::SP125732	2.45E+01	2.45E+01
Panc-AdenoCA::SP125770	1.53E+01	1.53E+01
Skin-Melanoma::SP124389	1.10E+01	1.10E+01
Skin-Melanoma::SP124362	2.01E+01	2.01E+01
Skin-Melanoma::SP124394	1.10E+01	1.10E+01
Skin-Melanoma::SP124334	1.72E+01	1.72E+01
Skin-Melanoma::SP124454	1.32E+01	1.32E+01
Skin-Melanoma::SP124380	2.32E+01	2.32E+01
Skin-Melanoma::SP124399	1.97E+01	1.97E+01
Skin-Melanoma::SP124311	2.49E+01	2.49E+01
Skin-Melanoma::SP124434	1.30E+01	1.30E+01
Skin-Melanoma::SP124428	3.09E+01	3.09E+01
Skin-Melanoma::SP124449	1.51E+01	1.51E+01
Skin-Melanoma::SP124298	4.25E+01	4.25E+01
Skin-Melanoma::SP124431	1.91E+01	1.91E+01
Skin-Melanoma::SP124409	2.61E+01	2.61E+01
Skin-Melanoma::SP124376	8.08E+00	8.08E+00
