Samples	SBS96A	SBS96B	SBS96C
Biliary-AdenoCA::SP99325	9184	68771	128574
Bladder-TCC::SP1059	8657	0	50528
Bladder-TCC::SP96136	15750	0	36146
Breast-AdenoCA::SP117369	19186	0	36468
Breast-AdenoCA::SP2293	20462	0	44603
CNS-GBM::SP25494	158622	24806	61615
ColoRect-AdenoCA::SP18310	3225	43504	61498
ColoRect-AdenoCA::SP17172	3074	55087	66201
ColoRect-AdenoCA::SP96133	2049	32291	47008
ColoRect-AdenoCA::SP110242	2339	38166	73470
ColoRect-AdenoCA::SP21017	2336	34740	51358
ColoRect-AdenoCA::SP22383	1577	42811	53090
ColoRect-AdenoCA::SP81312	78402	729085	0
ColoRect-AdenoCA::SP22031	4920	229311	0
ColoRect-AdenoCA::SP19215	1098	35239	58567
ColoRect-AdenoCA::SP16886	2439	846843	0
ColoRect-AdenoCA::SP19295	7944	251923	0
ColoRect-AdenoCA::SP17905	22819	2409798	0
ColoRect-AdenoCA::SP18121	12910	47456	100773
ColoRect-AdenoCA::SP21400	59960	733080	0
ColoRect-AdenoCA::SP18946	21687	939126	0
ColoRect-AdenoCA::SP80615	10641	2415828	0
Eso-AdenoCA::SP111058	0	63983	0
Eso-AdenoCA::SP111066	1571	78088	0
Eso-AdenoCA::SP111113	0	79140	0
Eso-AdenoCA::SP110865	5636	29778	20337
Eso-AdenoCA::SP23502	1948	72523	0
Eso-AdenoCA::SP111001	2873	56589	0
Eso-AdenoCA::SP111173	204	105390	0
Eso-AdenoCA::SP111091	3308	51270	0
Eso-AdenoCA::SP111175	0	123973	0
Eso-AdenoCA::SP111114	2832	54777	0
Head-SCC::SP30113	2404	0	85219
Head-SCC::SP30332	2370	58	50079
Head-SCC::SP30675	2056	0	61129
Liver-HCC::SP98090	4560	11677	47449
Lung-AdenoCA::SP53460	924	0	52610
Lung-AdenoCA::SP54113	5229	0	105098
Lung-AdenoCA::SP55235	5133	0	108670
Lung-AdenoCA::SP50611	253	0	53151
Lung-AdenoCA::SP55142	11986	0	145057
Lung-AdenoCA::SP53618	125	0	61197
Lung-AdenoCA::SP53810	0	0	185584
Lung-AdenoCA::SP55509	553	0	65582
Lung-SCC::SP56553	17381	0	116501
Lung-SCC::SP57941	276	0	75226
Lung-SCC::SP57818	1083	0	49016
Lung-SCC::SP56704	1705	0	52043
Lung-SCC::SP59245	6045	0	49075
Lung-SCC::SP57933	2955	0	54592
Lung-SCC::SP57669	582	214	49926
Lung-SCC::SP58342	4072	0	70152
Lung-SCC::SP57619	824	0	52958
Lung-SCC::SP58245	1923	0	57254
Lung-SCC::SP57251	4494	0	47609
Lung-SCC::SP58668	3200	0	62770
Lung-SCC::SP58326	1223	0	70302
Lung-SCC::SP57267	1578	20	49793
Lung-SCC::SP57066	2040	0	55873
Lung-SCC::SP57846	7602	0	46362
Lung-SCC::SP57189	2826	0	111020
Lymph-BNHL::SP116668	322	66579	0
Lymph-BNHL::SP116697	14275	54840	43414
Panc-AdenoCA::SP125732	521	52104	43120
Panc-AdenoCA::SP125770	0	15823	39631
Skin-Melanoma::SP124389	70513	351	9
Skin-Melanoma::SP124362	214810	0	0
Skin-Melanoma::SP124394	105876	0	0
Skin-Melanoma::SP124334	83733	2445	1586
Skin-Melanoma::SP124454	57835	321	659
Skin-Melanoma::SP124380	157996	3571	1404
Skin-Melanoma::SP124399	142989	1386	0
Skin-Melanoma::SP124311	95586	7351	6442
Skin-Melanoma::SP124434	79378	1794	4089
Skin-Melanoma::SP124428	305689	0	0
Skin-Melanoma::SP124449	137987	0	0
Skin-Melanoma::SP124298	362294	4422	0
Skin-Melanoma::SP124431	83487	3246	5919
Skin-Melanoma::SP124409	245674	0	0
Skin-Melanoma::SP124376	53822	810	536
Skin-Melanoma::SP124439	303920	5074	10689
Skin-Melanoma::SP124406	65699	3972	4083
Skin-Melanoma::SP124382	466343	12618	0
Skin-Melanoma::SP124415	840222	0	18956
Skin-Melanoma::SP124436	313449	5366	0
Skin-Melanoma::SP124460	161232	2746	0
Skin-Melanoma::SP124425	86441	2990	2087
Skin-Melanoma::SP124367	143083	12884	0
Skin-Melanoma::SP124377	55357	2277	3385
Skin-Melanoma::SP124412	70841	95	6352
Skin-Melanoma::SP124329	51210	516	0
Skin-Melanoma::SP124326	59550	0	1740
Skin-Melanoma::SP124458	156720	4791	0
Skin-Melanoma::SP124401	424943	10161	861
Skin-Melanoma::SP124384	150280	11339	16163
Skin-Melanoma::SP124462	112413	1758	0
Skin-Melanoma::SP124452	90147	1762	0
Skin-Melanoma::SP124386	115342	493	0
Skin-Melanoma::SP124418	103719	1459	2203
Skin-Melanoma::SP124319	205301	0	0
Skin-Melanoma::SP124447	410817	14435	18839
Skin-Melanoma::SP124369	139855	602	0
Skin-Melanoma::SP124365	70012	2150	3374
Skin-Melanoma::SP124420	71144	0	0
Skin-Melanoma::SP124364	105262	3645	507
Skin-Melanoma::SP124307	121030	480	0
Skin-Melanoma::SP82445	710234	7614	26705
Skin-Melanoma::SP83242	60806	0	12442
Skin-Melanoma::SP103894	152510	4916	1923
Skin-Melanoma::SP83382	55073	1472	2337
Skin-Melanoma::SP82451	42206	2076	7251
Skin-Melanoma::SP83312	53213	1773	2756
Skin-Melanoma::SP82614	54905	1646	893
Skin-Melanoma::SP82431	322866	28195	22287
Skin-Melanoma::SP82459	78002	284	0
Skin-Melanoma::SP82532	183962	7811	21116
Skin-Melanoma::SP83482	64458	2980	1245
Skin-Melanoma::SP104530	59207	2295	9860
Skin-Melanoma::SP82644	240513	0	0
Skin-Melanoma::SP82988	90013	1138	1272
Skin-Melanoma::SP82461	80372	2972	1375
Skin-Melanoma::SP82900	272703	0	7111
Skin-Melanoma::SP82399	113626	2669	0
Skin-Melanoma::SP82417	250745	0	0
Skin-Melanoma::SP104056	316749	17255	0
Skin-Melanoma::SP83083	69241	2788	3648
Skin-Melanoma::SP83019	94518	2370	1235
Skin-Melanoma::SP83146	344175	2260	1451
Skin-Melanoma::SP103866	92933	1954	0
Skin-Melanoma::SP83844	53201	1877	2109
Stomach-AdenoCA::SP135287	1652	29602	35320
Stomach-AdenoCA::SP85122	1920	33428	45311
Stomach-AdenoCA::SP84384	4606	53314	60517
Stomach-AdenoCA::SP84491	153	64554	0
Stomach-AdenoCA::SP84743	3160	56846	0
Stomach-AdenoCA::SP84982	344	39351	24348
Stomach-AdenoCA::SP84392	2569	42445	59606
Stomach-AdenoCA::SP105018	3853	3739	51212
Stomach-AdenoCA::SP84439	17221	136203	235791
Stomach-AdenoCA::SP84922	0	68029	0
Uterus-AdenoCA::SP90209	29721	247695	272513
Uterus-AdenoCA::SP93540	2042	20812	42843
Uterus-AdenoCA::SP93227	22821	362539	542858
Uterus-AdenoCA::SP94933	1405	22237	38800
Uterus-AdenoCA::SP92364	0	41542	73809
Uterus-AdenoCA::SP92659	0	282262	0
