Samples	SBS96A	SBS96B	SBS96C
Biliary-AdenoCA::SP99325	8.35E+01	1.06E+04	1.06E+04
Bladder-TCC::SP1059	1.47E+02	1.37E+03	1.42E+03
Bladder-TCC::SP96136	9.15E+01	7.81E+02	8.02E+02
Breast-AdenoCA::SP117369	1.60E+02	8.87E+02	9.38E+02
Breast-AdenoCA::SP2293	1.91E+02	1.12E+03	1.18E+03
CNS-GBM::SP25494	8.99E+02	2.48E+03	2.87E+03
ColoRect-AdenoCA::SP18310	5.83E+01	6.24E+03	6.25E+03
ColoRect-AdenoCA::SP17172	5.12E+01	6.40E+03	6.43E+03
ColoRect-AdenoCA::SP96133	2.79E+01	3.49E+03	3.50E+03
ColoRect-AdenoCA::SP110242	5.33E+01	5.41E+03	5.45E+03
ColoRect-AdenoCA::SP21017	3.57E+01	4.09E+03	4.11E+03
ColoRect-AdenoCA::SP22383	3.77E+01	4.18E+03	4.20E+03
ColoRect-AdenoCA::SP81312	1.98E+03	8.21E+03	6.74E+03
ColoRect-AdenoCA::SP22031	2.07E+02	1.14E+03	9.84E+02
ColoRect-AdenoCA::SP19215	4.23E+01	5.03E+03	5.06E+03
ColoRect-AdenoCA::SP16886	4.70E+02	2.51E+03	2.17E+03
ColoRect-AdenoCA::SP19295	2.37E+02	1.57E+03	1.43E+03
ColoRect-AdenoCA::SP17905	9.37E+02	1.21E+04	1.21E+04
ColoRect-AdenoCA::SP18121	1.69E+02	8.24E+03	8.39E+03
ColoRect-AdenoCA::SP21400	1.13E+03	8.77E+03	8.07E+03
ColoRect-AdenoCA::SP18946	5.74E+02	7.06E+03	6.90E+03
ColoRect-AdenoCA::SP80615	1.14E+03	9.61E+03	9.11E+03
Eso-AdenoCA::SP111058	1.64E+01	2.66E+03	2.66E+03
Eso-AdenoCA::SP111066	6.10E+01	2.93E+03	2.98E+03
Eso-AdenoCA::SP111113	3.93E+01	3.07E+03	3.10E+03
Eso-AdenoCA::SP110865	5.78E+01	1.14E+03	1.15E+03
Eso-AdenoCA::SP23502	6.59E+01	2.52E+03	2.58E+03
Eso-AdenoCA::SP111001	6.41E+01	1.68E+03	1.73E+03
Eso-AdenoCA::SP111173	7.58E+01	3.83E+03	3.91E+03
Eso-AdenoCA::SP111091	6.77E+01	1.80E+03	1.86E+03
Eso-AdenoCA::SP111175	3.49E+01	4.39E+03	4.40E+03
Eso-AdenoCA::SP111114	4.57E+01	1.48E+03	1.52E+03
Head-SCC::SP30113	1.29E+02	2.29E+03	2.35E+03
Head-SCC::SP30332	8.40E+01	1.22E+03	1.27E+03
Head-SCC::SP30675	1.00E+02	1.61E+03	1.66E+03
Liver-HCC::SP98090	5.78E+01	1.34E+03	1.33E+03
Lung-AdenoCA::SP53460	7.64E+01	1.53E+03	1.57E+03
Lung-AdenoCA::SP54113	2.06E+02	2.86E+03	2.96E+03
Lung-AdenoCA::SP55235	1.98E+02	2.96E+03	3.06E+03
Lung-AdenoCA::SP50611	6.78E+01	1.55E+03	1.59E+03
Lung-AdenoCA::SP55142	3.52E+02	4.04E+03	4.20E+03
Lung-AdenoCA::SP53618	7.63E+01	1.79E+03	1.83E+03
Lung-AdenoCA::SP53810	1.94E+02	5.78E+03	5.88E+03
Lung-AdenoCA::SP55509	8.65E+01	1.92E+03	1.97E+03
Lung-SCC::SP56553	3.48E+02	3.48E+03	3.60E+03
Lung-SCC::SP57941	9.42E+01	2.12E+03	2.17E+03
Lung-SCC::SP57818	7.87E+01	1.45E+03	1.49E+03
Lung-SCC::SP56704	8.07E+01	1.32E+03	1.37E+03
Lung-SCC::SP59245	1.31E+02	1.32E+03	1.37E+03
Lung-SCC::SP57933	1.10E+02	1.49E+03	1.53E+03
Lung-SCC::SP57669	5.92E+01	1.25E+03	1.28E+03
Lung-SCC::SP58342	1.19E+02	1.64E+03	1.68E+03
Lung-SCC::SP57619	7.07E+01	1.41E+03	1.45E+03
Lung-SCC::SP58245	9.27E+01	1.39E+03	1.44E+03
Lung-SCC::SP57251	1.07E+02	1.20E+03	1.24E+03
Lung-SCC::SP58668	1.16E+02	1.64E+03	1.69E+03
Lung-SCC::SP58326	9.57E+01	1.85E+03	1.90E+03
Lung-SCC::SP57267	7.38E+01	1.22E+03	1.26E+03
Lung-SCC::SP57066	8.82E+01	1.49E+03	1.53E+03
Lung-SCC::SP57846	1.37E+02	1.30E+03	1.34E+03
Lung-SCC::SP57189	1.64E+02	3.15E+03	3.23E+03
Lymph-BNHL::SP116668	3.83E+01	2.11E+03	2.15E+03
Lymph-BNHL::SP116697	6.04E+01	1.57E+03	1.54E+03
Panc-AdenoCA::SP125732	4.11E+01	4.79E+03	4.81E+03
Panc-AdenoCA::SP125770	2.28E+01	1.81E+03	1.79E+03
Skin-Melanoma::SP124389	1.29E+01	2.17E+01	2.00E+01
Skin-Melanoma::SP124362	3.63E+01	4.00E+01	4.20E+01
Skin-Melanoma::SP124394	2.42E+01	3.39E+01	3.79E+01
Skin-Melanoma::SP124334	2.01E+01	8.80E+01	9.20E+01
Skin-Melanoma::SP124454	1.29E+01	6.77E+01	6.71E+01
Skin-Melanoma::SP124380	3.56E+01	8.11E+01	9.72E+01
Skin-Melanoma::SP124399	2.83E+01	6.59E+01	5.73E+01
Skin-Melanoma::SP124311	3.41E+01	1.67E+02	1.62E+02
Skin-Melanoma::SP124434	1.18E+01	6.44E+01	6.35E+01
Skin-Melanoma::SP124428	4.85E+01	5.51E+01	3.55E+01
Skin-Melanoma::SP124449	2.27E+01	6.15E+01	5.76E+01
