Samples	SBS96A	SBS96B	SBS96C	SBS96D
Biliary-AdenoCA::SP99325	12630	131304	61403	1192
Bladder-TCC::SP1059	8258	0	49279	1648
Bladder-TCC::SP96136	15430	0	35424	1042
Breast-AdenoCA::SP117369	17826	0	37828	0
Breast-AdenoCA::SP2293	18963	0	46102	0
CNS-GBM::SP25494	170718	64339	9986	0
ColoRect-AdenoCA::SP18310	5070	87646	15511	0
ColoRect-AdenoCA::SP17172	5011	89898	21895	7558
ColoRect-AdenoCA::SP96133	2828	47007	24486	7027
ColoRect-AdenoCA::SP110242	3345	69453	39331	1846
ColoRect-AdenoCA::SP21017	3272	60980	23041	1141
ColoRect-AdenoCA::SP22383	2475	53474	27120	14409
ColoRect-AdenoCA::SP81312	50989	751768	0	4730
ColoRect-AdenoCA::SP22031	0	224611	0	9620
ColoRect-AdenoCA::SP19215	2199	56838	28402	7465
ColoRect-AdenoCA::SP16886	0	748915	0	100367
ColoRect-AdenoCA::SP19295	603	253205	0	6059
ColoRect-AdenoCA::SP17905	0	2030125	0	402492
ColoRect-AdenoCA::SP18121	16862	94862	49415	0
ColoRect-AdenoCA::SP21400	38684	678832	0	75524
ColoRect-AdenoCA::SP18946	0	906669	0	54144
ColoRect-AdenoCA::SP80615	0	2057212	0	369257
Eso-AdenoCA::SP111058	0	0	0	63983
Eso-AdenoCA::SP111066	2007	0	0	77652
Eso-AdenoCA::SP111113	0	0	0	79140
Eso-AdenoCA::SP110865	5266	0	20383	30102
Eso-AdenoCA::SP23502	2474	0	0	71997
Eso-AdenoCA::SP111001	3326	0	0	56136
Eso-AdenoCA::SP111173	1104	0	0	104490
Eso-AdenoCA::SP111091	3476	0	801	50301
Eso-AdenoCA::SP111175	0	0	0	123973
Eso-AdenoCA::SP111114	2744	0	4829	50036
Head-SCC::SP30113	1675	5880	78484	1584
Head-SCC::SP30332	2004	4921	44374	1208
Head-SCC::SP30675	1537	4850	55781	1017
Liver-HCC::SP98090	5010	12181	38211	8284
Lung-AdenoCA::SP53460	357	3954	49029	194
Lung-AdenoCA::SP54113	4362	4159	98576	3230
Lung-AdenoCA::SP55235	4192	5515	99377	4719
Lung-AdenoCA::SP50611	0	3428	49976	0
Lung-AdenoCA::SP55142	10837	3633	139016	3557
Lung-AdenoCA::SP53618	0	4396	56926	0
Lung-AdenoCA::SP53810	0	12563	173021	0
Lung-AdenoCA::SP55509	0	4332	61803	0
Lung-SCC::SP56553	16136	0	117746	0
Lung-SCC::SP57941	0	6406	68979	117
Lung-SCC::SP57818	532	3105	46462	0
Lung-SCC::SP56704	1317	3906	47182	1343
Lung-SCC::SP59245	5687	0	46898	2535
Lung-SCC::SP57933	2489	2407	51462	1189
Lung-SCC::SP57669	136	4725	44432	1429
Lung-SCC::SP58342	3619	6030	63563	1012
Lung-SCC::SP57619	310	4965	48067	440
Lung-SCC::SP58245	1492	5166	50925	1594
Lung-SCC::SP57251	4199	2808	43594	1502
Lung-SCC::SP58668	2732	3883	57425	1930
Lung-SCC::SP58326	574	6513	63636	802
Lung-SCC::SP57267	1169	4951	44194	1077
Lung-SCC::SP57066	1530	5291	50513	579
Lung-SCC::SP57846	7339	0	46110	515
Lung-SCC::SP57189	1743	7056	104226	821
Lymph-BNHL::SP116668	961	0	0	65940
Lymph-BNHL::SP116697	14184	20166	40207	37972
Panc-AdenoCA::SP125732	1742	60665	12636	20702
Panc-AdenoCA::SP125770	0	16530	29866	9058
Skin-Melanoma::SP124389	70175	394	278	26
Skin-Melanoma::SP124362	214810	0	0	0
Skin-Melanoma::SP124394	105876	0	0	0
Skin-Melanoma::SP124334	83532	526	1806	1900
Skin-Melanoma::SP124454	57710	92	736	277
Skin-Melanoma::SP124380	157232	24	2519	3196
Skin-Melanoma::SP124399	142947	0	0	1428
Skin-Melanoma::SP124311	96332	4397	4537	4113
Skin-Melanoma::SP124434	79225	2249	3450	337
Skin-Melanoma::SP124428	305689	0	0	0
Skin-Melanoma::SP124449	137987	0	0	0
Skin-Melanoma::SP124298	361491	3687	0	1538
Skin-Melanoma::SP124431	84015	3720	3994	923
Skin-Melanoma::SP124409	245674	0	0	0
Skin-Melanoma::SP124376	53607	1158	403	0
Skin-Melanoma::SP124439	301903	61	12503	5216
Skin-Melanoma::SP124406	65596	0	4253	3905
Skin-Melanoma::SP124382	465702	6744	0	6515
Skin-Melanoma::SP124415	826116	0	29674	3388
Skin-Melanoma::SP124436	313644	0	0	5171
Skin-Melanoma::SP124460	161031	0	0	2947
Skin-Melanoma::SP124425	86467	1105	1879	2067
Skin-Melanoma::SP124367	142247	0	0	13720
Skin-Melanoma::SP124377	55586	2025	2450	958
Skin-Melanoma::SP124412	70968	600	5471	249
Skin-Melanoma::SP124329	51207	0	0	519
Skin-Melanoma::SP124326	59515	296	1479	0
Skin-Melanoma::SP124458	156241	3834	0	1436
Skin-Melanoma::SP124401	424462	7494	0	4009
Skin-Melanoma::SP124384	154458	17803	5521	0
Skin-Melanoma::SP124462	112189	1435	0	547
Skin-Melanoma::SP124452	89813	1967	0	129
Skin-Melanoma::SP124386	115047	788	0	0
Skin-Melanoma::SP124418	103320	106	2601	1354
Skin-Melanoma::SP124319	205301	0	0	0
Skin-Melanoma::SP124447	409730	8252	17677	8432
Skin-Melanoma::SP124369	139648	501	0	308
Skin-Melanoma::SP124365	70078	1152	2912	1394
Skin-Melanoma::SP124420	71043	101	0	0
Skin-Melanoma::SP124364	105181	3434	0	799
Skin-Melanoma::SP124307	120864	475	0	171
Skin-Melanoma::SP82445	701170	0	32627	10756
Skin-Melanoma::SP83242	61209	519	10965	555
Skin-Melanoma::SP103894	152368	2550	1688	2743
Skin-Melanoma::SP83382	55078	1947	1716	141
Skin-Melanoma::SP82451	42784	3209	5217	323
Skin-Melanoma::SP83312	53335	1350	2167	890
Skin-Melanoma::SP82614	55039	1096	492	817
Skin-Melanoma::SP82431	322200	9370	21957	19821
Skin-Melanoma::SP82459	77971	3	0	312
Skin-Melanoma::SP82532	185176	7108	16306	4299
Skin-Melanoma::SP83482	64265	555	1560	2303
Skin-Melanoma::SP104530	59671	2987	7842	862
Skin-Melanoma::SP82644	240513	0	0	0
Skin-Melanoma::SP82988	89223	770	2032	398
Skin-Melanoma::SP82461	80538	3127	470	584
Skin-Melanoma::SP82900	268849	0	8779	2186
Skin-Melanoma::SP82399	113411	1875	0	1009
Skin-Melanoma::SP82417	250745	0	0	0
Skin-Melanoma::SP104056	316306	9455	0	8243
Skin-Melanoma::SP83083	69420	2653	2646	958
Skin-Melanoma::SP83019	94392	2128	905	698
Skin-Melanoma::SP83146	341339	144	4748	1655
Skin-Melanoma::SP103866	92867	899	0	1121
Skin-Melanoma::SP83844	53246	1639	1614	688
Stomach-AdenoCA::SP135287	2663	54353	9558	0
Stomach-AdenoCA::SP85122	3097	62486	15076	0
Stomach-AdenoCA::SP84384	7159	99603	11675	0
Stomach-AdenoCA::SP84491	694	0	0	64013
Stomach-AdenoCA::SP84743	3122	0	4529	52355
Stomach-AdenoCA::SP84982	903	14342	16977	31821
Stomach-AdenoCA::SP84392	3829	58899	29700	12192
Stomach-AdenoCA::SP105018	3561	4252	45833	5158
Stomach-AdenoCA::SP84439	22780	204720	129065	32650
Stomach-AdenoCA::SP84922	358	0	0	67671
Uterus-AdenoCA::SP90209	40402	508858	669	0
Uterus-AdenoCA::SP93540	3023	43464	19210	0
Uterus-AdenoCA::SP93227	23777	656553	247888	0
Uterus-AdenoCA::SP94933	1949	23782	25437	11274
Uterus-AdenoCA::SP92364	0	54145	43542	17664
Uterus-AdenoCA::SP92659	0	278965	0	3297
