Samples	SBS96A	SBS96B	SBS96C	SBS96D
Biliary-AdenoCA::SP99325	1.77E+02	1.20E+04	6.75E+03	1.07E+04
Bladder-TCC::SP1059	8.04E+01	4.68E+02	4.62E+02	9.86E+01
Bladder-TCC::SP96136	4.27E+01	4.99E+02	4.32E+02	1.46E+02
Breast-AdenoCA::SP117369	7.76E+01	9.24E+02	9.66E+02	3.54E-01
Breast-AdenoCA::SP2293	7.54E+01	1.18E+03	1.21E+03	1.22E+00
CNS-GBM::SP25494	1.21E+03	3.83E+03	1.60E+03	2.48E+03
ColoRect-AdenoCA::SP18310	1.07E+02	6.70E+03	3.85E+03	6.06E+03
ColoRect-AdenoCA::SP17172	9.74E+01	7.21E+03	4.05E+03	6.50E+03
ColoRect-AdenoCA::SP96133	5.44E+01	4.04E+03	2.31E+03	3.53E+03
ColoRect-AdenoCA::SP110242	8.70E+01	6.21E+03	3.56E+03	5.36E+03
ColoRect-AdenoCA::SP21017	5.82E+01	4.61E+03	2.65E+03	4.01E+03
ColoRect-AdenoCA::SP22383	5.85E+01	4.99E+03	2.77E+03	4.36E+03
ColoRect-AdenoCA::SP81312	3.22E+03	4.22E+04	5.24E+02	3.97E+04
ColoRect-AdenoCA::SP22031	3.71E+02	1.47E+04	6.00E+01	1.45E+04
ColoRect-AdenoCA::SP19215	6.66E+01	5.73E+03	3.15E+03	5.17E+03
ColoRect-AdenoCA::SP16886	9.04E+02	5.39E+04	3.16E+02	5.29E+04
ColoRect-AdenoCA::SP19295	4.95E+02	1.53E+04	1.54E+02	1.50E+04
ColoRect-AdenoCA::SP17905	2.45E+03	1.21E+05	4.35E+03	1.19E+05
ColoRect-AdenoCA::SP18121	1.89E+02	9.37E+03	5.30E+03	8.30E+03
ColoRect-AdenoCA::SP21400	1.90E+03	3.61E+04	1.74E+03	3.51E+04
ColoRect-AdenoCA::SP18946	1.34E+03	5.07E+04	1.41E+03	5.02E+04
ColoRect-AdenoCA::SP80615	2.68E+03	1.35E+05	1.19E+03	1.32E+05
Eso-AdenoCA::SP111058	3.42E+01	5.45E+01	2.34E+02	1.77E+02
Eso-AdenoCA::SP111066	5.81E+01	1.93E+02	4.17E+02	2.57E+02
Eso-AdenoCA::SP111113	3.69E+01	4.02E+01	2.44E+02	2.40E+02
Eso-AdenoCA::SP110865	5.72E+01	3.27E+02	1.09E+02	3.72E+02
Eso-AdenoCA::SP23502	5.23E+01	1.58E+02	2.17E+02	3.27E+02
Eso-AdenoCA::SP111001	4.17E+01	2.95E+02	1.25E+02	3.16E+02
Eso-AdenoCA::SP111173	5.20E+01	2.81E+02	2.69E+02	5.20E+02
Eso-AdenoCA::SP111091	4.70E+01	7.36E+01	1.74E+02	1.98E+02
Eso-AdenoCA::SP111175	6.21E+01	1.58E+02	3.34E+02	1.71E+02
Eso-AdenoCA::SP111114	4.42E+01	2.72E+02	1.20E+02	2.96E+02
Head-SCC::SP30113	6.40E+01	3.89E+02	2.45E+02	1.83E+02
Head-SCC::SP30332	4.03E+01	3.68E+02	2.18E+02	2.01E+02
Head-SCC::SP30675	5.10E+01	3.12E+02	1.95E+02	1.47E+02
Liver-HCC::SP98090	4.03E+01	2.00E+03	1.03E+03	1.72E+03
Lung-AdenoCA::SP53460	3.84E+01	9.19E+01	7.62E+01	4.10E+01
Lung-AdenoCA::SP54113	1.02E+02	3.72E+02	2.41E+02	1.90E+02
Lung-AdenoCA::SP55235	8.98E+01	2.80E+02	1.70E+02	1.95E+02
Lung-AdenoCA::SP50611	2.99E+01	1.12E+02	9.72E+01	2.27E+01
Lung-AdenoCA::SP55142	1.86E+02	5.10E+02	4.63E+02	1.98E+02
Lung-AdenoCA::SP53618	3.55E+01	1.11E+02	9.80E+01	2.71E+01
Lung-AdenoCA::SP53810	4.44E+01	2.55E+02	2.57E+02	5.67E+01
Lung-AdenoCA::SP55509	4.07E+01	1.18E+02	1.09E+02	3.34E+01
Lung-SCC::SP56553	1.77E+02	1.45E+03	1.52E+03	6.87E+01
Lung-SCC::SP57941	4.20E+01	1.77E+02	1.44E+02	6.66E+01
Lung-SCC::SP57818	4.25E+01	1.06E+02	1.07E+02	2.45E+01
Lung-SCC::SP56704	4.08E+01	3.37E+02	2.10E+02	1.72E+02
Lung-SCC::SP59245	7.08E+01	2.19E+02	1.87E+02	1.02E+02
Lung-SCC::SP57933	5.48E+01	2.43E+02	1.60E+02	1.15E+02
Lung-SCC::SP57669	2.92E+01	3.31E+02	2.04E+02	1.94E+02
Lung-SCC::SP58342	6.93E+01	7.38E+02	3.66E+02	4.47E+02
Lung-SCC::SP57619	3.78E+01	2.51E+02	1.69E+02	1.05E+02
Lung-SCC::SP58245	4.37E+01	4.58E+02	2.67E+02	2.57E+02
Lung-SCC::SP57251	5.87E+01	2.99E+02	1.56E+02	1.70E+02
Lung-SCC::SP58668	5.72E+01	3.31E+02	1.88E+02	1.82E+02
Lung-SCC::SP58326	4.82E+01	3.47E+02	2.35E+02	1.47E+02
Lung-SCC::SP57267	3.89E+01	3.35E+02	2.05E+02	1.75E+02
Lung-SCC::SP57066	4.59E+01	2.57E+02	1.66E+02	1.13E+02
Lung-SCC::SP57846	7.20E+01	2.77E+02	2.80E+02	5.67E+01
Lung-SCC::SP57189	8.69E+01	3.17E+02	2.53E+02	1.03E+02
Lymph-BNHL::SP116668	3.78E+01	3.56E+02	2.05E+02	4.96E+02
Lymph-BNHL::SP116697	4.50E+01	1.31E+03	7.11E+02	1.30E+03
Panc-AdenoCA::SP125732	6.28E+01	5.46E+03	2.95E+03	4.99E+03
Panc-AdenoCA::SP125770	2.69E+01	2.46E+03	1.28E+03	2.08E+03
Skin-Melanoma::SP124389	2.16E+01	2.78E+01	2.34E+01	2.08E+01
Skin-Melanoma::SP124362	4.06E+01	6.06E+01	5.90E+01	4.13E+01
Skin-Melanoma::SP124394	2.11E+01	4.91E+01	3.39E+01	3.93E+01
Skin-Melanoma::SP124334	2.65E+01	7.97E+01	4.27E+01	7.79E+01
Skin-Melanoma::SP124454	1.97E+01	9.52E+01	5.03E+01	7.17E+01
Skin-Melanoma::SP124380	4.88E+01	5.23E+01	5.19E+01	5.01E+01
Skin-Melanoma::SP124399	3.87E+01	7.90E+01	5.45E+01	6.32E+01
Skin-Melanoma::SP124311	3.79E+01	1.66E+02	9.13E+01	1.62E+02
Skin-Melanoma::SP124434	2.69E+01	7.29E+01	4.29E+01	5.50E+01
Skin-Melanoma::SP124428	6.86E+01	8.69E+01	8.77E+01	5.03E+01
Skin-Melanoma::SP124449	3.50E+01	8.71E+01	5.73E+01	6.47E+01
Skin-Melanoma::SP124298	8.39E+01	1.52E+02	1.20E+02	1.26E+02
Skin-Melanoma::SP124431	2.53E+01	8.48E+01	5.34E+01	6.62E+01
Skin-Melanoma::SP124409	5.53E+01	7.90E+01	7.74E+01	6.01E+01
Skin-Melanoma::SP124376	1.69E+01	5.14E+01	3.01E+01	3.62E+01
Skin-Melanoma::SP124439	1.04E+02	1.76E+02	1.19E+02	8.84E+01
Skin-Melanoma::SP124406	3.00E+01	5.18E+01	3.60E+01	8.21E+01
Skin-Melanoma::SP124382	1.31E+02	1.64E+02	1.44E+02	1.42E+02
