Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
Biliary-AdenoCA::SP99325	9540	181671	0	15318	0
Bladder-TCC::SP1059	4312	0	26011	28862	0
Bladder-TCC::SP96136	12012	0	32858	7026	0
Breast-AdenoCA::SP117369	12138	0	43516	0	0
Breast-AdenoCA::SP2293	12224	0	52841	0	0
CNS-GBM::SP25494	145733	95364	0	3946	0
ColoRect-AdenoCA::SP18310	2481	105746	0	0	0
ColoRect-AdenoCA::SP17172	2819	119222	0	0	2321
ColoRect-AdenoCA::SP96133	2175	66365	0	9045	3763
ColoRect-AdenoCA::SP110242	2491	94217	0	17267	0
ColoRect-AdenoCA::SP21017	2386	80632	0	5416	0
ColoRect-AdenoCA::SP22383	1773	78856	0	8536	8313
ColoRect-AdenoCA::SP81312	0	454376	313210	0	39901
ColoRect-AdenoCA::SP22031	0	114502	98399	0	21330
ColoRect-AdenoCA::SP19215	1396	84201	0	6448	2859
ColoRect-AdenoCA::SP16886	0	369009	345443	0	134830
ColoRect-AdenoCA::SP19295	0	133129	107510	0	19228
ColoRect-AdenoCA::SP17905	0	1099084	868985	0	464548
ColoRect-AdenoCA::SP18121	12881	132340	0	15918	0
ColoRect-AdenoCA::SP21400	0	435344	261818	0	95878
ColoRect-AdenoCA::SP18946	0	503142	361985	0	95686
ColoRect-AdenoCA::SP80615	0	1070933	910542	0	444994
Eso-AdenoCA::SP111058	0	0	0	0	63983
Eso-AdenoCA::SP111066	2861	0	0	0	76798
Eso-AdenoCA::SP111113	406	0	0	0	78734
Eso-AdenoCA::SP110865	4800	0	5648	16274	29029
Eso-AdenoCA::SP23502	3360	0	0	0	71111
Eso-AdenoCA::SP111001	3869	0	0	1793	53800
Eso-AdenoCA::SP111173	2305	0	0	0	103289
Eso-AdenoCA::SP111091	3888	0	0	2769	47921
Eso-AdenoCA::SP111175	0	0	0	44	123929
Eso-AdenoCA::SP111114	3149	0	861	5402	48197
Head-SCC::SP30113	2770	5291	105	78139	1318
Head-SCC::SP30332	2549	5317	0	43656	985
Head-SCC::SP30675	2217	4318	374	55432	844
Liver-HCC::SP98090	4710	22624	0	30961	5391
Lung-AdenoCA::SP53460	1049	1197	0	50914	374
Lung-AdenoCA::SP54113	4537	1740	5145	96791	2114
Lung-AdenoCA::SP55235	5361	3519	408	100700	3815
Lung-AdenoCA::SP50611	387	905	0	52112	0
Lung-AdenoCA::SP55142	7773	0	22949	126321	0
Lung-AdenoCA::SP53618	247	1165	0	59910	0
Lung-AdenoCA::SP53810	0	26	0	185558	0
Lung-AdenoCA::SP55509	744	1153	0	64238	0
Lung-SCC::SP56553	5613	0	64129	64140	0
Lung-SCC::SP57941	471	3030	0	71629	372
Lung-SCC::SP57818	648	0	2335	47116	0
Lung-SCC::SP56704	1867	4119	0	46786	976
Lung-SCC::SP59245	3869	0	12077	38746	428
Lung-SCC::SP57933	1510	0	7876	47875	286
Lung-SCC::SP57669	778	4776	0	43994	1174
Lung-SCC::SP58342	2786	6409	7733	57296	0
Lung-SCC::SP57619	1001	3802	0	48490	489
Lung-SCC::SP58245	2152	6043	214	49512	1256
Lung-SCC::SP57251	3468	1986	6181	39847	621
Lung-SCC::SP58668	2899	3574	2714	55478	1305
Lung-SCC::SP58326	1446	5424	0	63907	748
Lung-SCC::SP57267	1758	5125	0	43608	900
Lung-SCC::SP57066	1788	3788	1801	50090	446
Lung-SCC::SP57846	4712	0	16451	32801	0
Lung-SCC::SP57189	2160	2770	4654	103815	447
Lymph-BNHL::SP116668	1593	0	0	1829	63479
Lymph-BNHL::SP116697	10869	29863	15714	25110	30973
Panc-AdenoCA::SP125732	330	84768	0	0	10647
Panc-AdenoCA::SP125770	0	27923	0	21715	5816
Skin-Melanoma::SP124389	69623	0	1250	0	0
Skin-Melanoma::SP124362	214810	0	0	0	0
Skin-Melanoma::SP124394	105876	0	0	0	0
Skin-Melanoma::SP124334	82919	712	0	2497	1636
Skin-Melanoma::SP124454	57495	30	388	719	183
Skin-Melanoma::SP124380	156468	0	2044	2064	2395
Skin-Melanoma::SP124399	143062	0	0	0	1313
Skin-Melanoma::SP124311	93202	5954	0	6792	3431
Skin-Melanoma::SP124434	78943	1486	3134	1673	25
Skin-Melanoma::SP124428	301068	0	4621	0	0
Skin-Melanoma::SP124449	137726	0	261	0	0
Skin-Melanoma::SP124298	354147	2936	0	8123	1510
Skin-Melanoma::SP124431	81236	3799	0	6746	871
Skin-Melanoma::SP124409	244186	0	1488	0	0
Skin-Melanoma::SP124376	53020	322	1826	0	0
Skin-Melanoma::SP124439	301092	0	11560	4532	2499
Skin-Melanoma::SP124406	64697	484	0	5287	3286
Skin-Melanoma::SP124382	453937	6134	0	13168	5722
Skin-Melanoma::SP124415	797331	0	61847	0	0
Skin-Melanoma::SP124436	308304	0	0	6200	4311
Skin-Melanoma::SP124460	161252	0	0	0	2726
Skin-Melanoma::SP124425	85240	1605	0	2929	1744
Skin-Melanoma::SP124367	142939	0	0	0	13028
Skin-Melanoma::SP124377	54246	2313	0	3606	854
Skin-Melanoma::SP124412	69606	255	0	7242	185
Skin-Melanoma::SP124329	51252	0	0	0	474
Skin-Melanoma::SP124326	58779	0	0	2511	0
Skin-Melanoma::SP124458	154119	3723	0	2225	1444
Skin-Melanoma::SP124401	414850	6057	0	11259	3799
Skin-Melanoma::SP124384	147925	27069	0	2788	0
Skin-Melanoma::SP124462	111899	1694	0	0	578
Skin-Melanoma::SP124452	89056	2277	0	358	218
Skin-Melanoma::SP124386	114976	859	0	0	0
Skin-Melanoma::SP124418	102564	0	118	3587	1112
Skin-Melanoma::SP124319	200270	0	5031	0	0
Skin-Melanoma::SP124447	406871	6364	8826	15472	6558
Skin-Melanoma::SP124369	138739	261	0	1141	316
Skin-Melanoma::SP124365	69334	1739	34	3264	1165
Skin-Melanoma::SP124420	70942	202	0	0	0
Skin-Melanoma::SP124364	103504	3180	0	1839	891
Skin-Melanoma::SP124307	120566	0	856	0	88
Skin-Melanoma::SP82445	690465	0	54088	0	0
Skin-Melanoma::SP83242	59462	167	0	13231	388
Skin-Melanoma::SP103894	150396	2807	0	3715	2431
Skin-Melanoma::SP83382	54693	1765	1655	768	1
Skin-Melanoma::SP82451	41491	4082	0	5653	307
Skin-Melanoma::SP83312	52620	1859	0	2500	763
Skin-Melanoma::SP82614	53738	1172	0	1824	710
Skin-Melanoma::SP82431	318321	11402	6312	20999	16314
Skin-Melanoma::SP82459	77796	194	0	0	296
Skin-Melanoma::SP82532	178729	7716	0	22738	3706
Skin-Melanoma::SP83482	63516	724	0	2479	1964
Skin-Melanoma::SP104530	58560	3805	0	8224	773
Skin-Melanoma::SP82644	240513	0	0	0	0
Skin-Melanoma::SP82988	84710	0	7713	0	0
Skin-Melanoma::SP82461	79034	3310	0	1738	637
Skin-Melanoma::SP82900	262240	0	17574	0	0
Skin-Melanoma::SP82399	112852	2467	0	0	976
Skin-Melanoma::SP82417	250571	0	174	0	0
Skin-Melanoma::SP104056	310398	13225	0	3258	7123
Skin-Melanoma::SP83083	68453	3240	429	2730	825
Skin-Melanoma::SP83019	93752	1965	1559	342	505
Skin-Melanoma::SP83146	329704	0	18182	0	0
Skin-Melanoma::SP103866	92589	1263	0	0	1035
Skin-Melanoma::SP83844	52861	1791	1208	833	494
Stomach-AdenoCA::SP135287	1328	65246	0	0	0
Stomach-AdenoCA::SP85122	1765	78894	0	0	0
Stomach-AdenoCA::SP84384	3459	114978	0	0	0
Stomach-AdenoCA::SP84491	1427	0	0	0	63280
Stomach-AdenoCA::SP84743	3656	0	0	6891	49459
Stomach-AdenoCA::SP84982	653	35615	0	6608	21167
Stomach-AdenoCA::SP84392	2800	86837	0	8547	6436
Stomach-AdenoCA::SP105018	2717	6036	6990	39374	3687
Stomach-AdenoCA::SP84439	17767	298638	0	56383	16427
Stomach-AdenoCA::SP84922	1098	0	0	0	66931
Uterus-AdenoCA::SP90209	18214	531715	0	0	0
Uterus-AdenoCA::SP93540	2125	60092	0	3480	0
