Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
Biliary-AdenoCA::SP99325	1.97E+02	9.03E+03	1.62E+02	9.68E+02	8.43E+03
Bladder-TCC::SP1059	5.92E+02	2.15E+02	1.72E+03	1.30E+03	1.94E+02
Bladder-TCC::SP96136	1.03E+03	3.70E+02	2.08E+03	1.37E+03	3.39E+02
Breast-AdenoCA::SP117369	1.79E+03	2.93E+01	3.76E+03	2.00E+03	6.54E+00
Breast-AdenoCA::SP2293	1.95E+03	4.33E+01	4.46E+03	2.54E+03	2.33E+00
CNS-GBM::SP25494	1.17E+03	3.01E+03	3.15E+01	0.00E+00	1.92E+03
ColoRect-AdenoCA::SP18310	1.39E+02	5.05E+03	1.56E+02	3.87E+02	4.78E+03
ColoRect-AdenoCA::SP17172	1.20E+02	5.42E+03	1.46E+02	4.76E+02	5.14E+03
ColoRect-AdenoCA::SP96133	8.01E+01	3.00E+03	2.05E+02	4.31E+02	2.74E+03
ColoRect-AdenoCA::SP110242	1.25E+02	4.64E+03	2.92E+02	7.79E+02	4.10E+03
ColoRect-AdenoCA::SP21017	8.87E+01	3.43E+03	2.75E+02	4.93E+02	3.13E+03
ColoRect-AdenoCA::SP22383	8.71E+01	3.70E+03	2.22E+02	5.29E+02	3.38E+03
ColoRect-AdenoCA::SP81312	3.49E+03	4.29E+04	5.05E+04	9.88E+00	3.56E+04
ColoRect-AdenoCA::SP22031	4.37E+02	1.42E+04	1.60E+04	5.92E+01	1.29E+04
ColoRect-AdenoCA::SP19215	8.29E+01	4.34E+03	5.14E+01	4.78E+02	4.01E+03
ColoRect-AdenoCA::SP16886	1.12E+03	5.12E+04	5.75E+04	5.30E+02	4.76E+04
ColoRect-AdenoCA::SP19295	5.53E+02	1.50E+04	1.72E+04	9.92E+01	1.35E+04
ColoRect-AdenoCA::SP17905	3.21E+03	1.18E+05	1.42E+05	3.76E+03	1.12E+05
ColoRect-AdenoCA::SP18121	2.14E+02	7.09E+03	1.11E+02	9.65E+02	6.39E+03
ColoRect-AdenoCA::SP21400	2.20E+03	3.68E+04	4.60E+04	0.00E+00	3.31E+04
ColoRect-AdenoCA::SP18946	1.62E+03	5.09E+04	6.04E+04	4.28E+02	4.60E+04
ColoRect-AdenoCA::SP80615	3.31E+03	1.31E+05	1.52E+05	1.66E+03	1.21E+05
Eso-AdenoCA::SP111058	3.20E+01	6.25E+01	8.07E+01	1.46E+02	1.08E+02
Eso-AdenoCA::SP111066	1.48E+02	1.17E+02	5.04E+02	3.25E+02	1.63E+02
Eso-AdenoCA::SP111113	4.01E+01	8.43E+01	4.72E+01	2.20E+02	1.47E+02
Eso-AdenoCA::SP110865	2.33E+02	2.71E+02	6.13E+02	4.14E+02	3.55E+02
Eso-AdenoCA::SP23502	8.43E+01	1.20E+02	1.83E+02	1.62E+02	2.36E+02
Eso-AdenoCA::SP111001	8.11E+01	2.10E+02	9.25E+01	8.54E+01	2.74E+02
Eso-AdenoCA::SP111173	6.44E+01	2.05E+02	7.02E+01	2.60E+02	3.36E+02
Eso-AdenoCA::SP111091	1.19E+02	6.21E+01	2.38E+02	1.41E+02	1.59E+02
Eso-AdenoCA::SP111175	4.88E+01	1.91E+02	1.20E+02	2.96E+02	1.50E+02
Eso-AdenoCA::SP111114	1.31E+02	2.23E+02	2.75E+02	2.29E+02	3.00E+02
Head-SCC::SP30113	5.87E+01	3.22E+02	3.79E+02	1.33E+02	8.04E+01
Head-SCC::SP30332	2.65E+01	2.91E+02	1.92E+02	9.82E+01	1.05E+02
Head-SCC::SP30675	4.35E+01	2.54E+02	2.76E+02	1.13E+02	6.79E+01
