Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
Biliary-AdenoCA::SP99325	7432	3428	165855	19269	6670	3875
Bladder-TCC::SP1059	0	470	4429	24767	2020	27499
Bladder-TCC::SP96136	4944	818	6016	5005	1461	33652
Breast-AdenoCA::SP117369	3080	0	0	0	0	52574
Breast-AdenoCA::SP2293	1444	608	0	0	0	63013
CNS-GBM::SP25494	138976	0	94468	11599	0	0
ColoRect-AdenoCA::SP18310	2429	2156	102808	0	463	371
ColoRect-AdenoCA::SP17172	2414	2565	111274	0	7148	961
ColoRect-AdenoCA::SP96133	1961	2857	60194	10412	5473	451
ColoRect-AdenoCA::SP110242	2580	2967	85095	19497	3836	0
ColoRect-AdenoCA::SP21017	2197	3700	71688	7681	2935	233
ColoRect-AdenoCA::SP22383	1857	2770	72379	10906	9566	0
ColoRect-AdenoCA::SP81312	76686	592970	133364	0	0	4467
ColoRect-AdenoCA::SP22031	1439	231565	0	829	0	398
ColoRect-AdenoCA::SP19215	1475	10	77590	9415	6352	62
ColoRect-AdenoCA::SP16886	0	790092	0	0	59190	0
ColoRect-AdenoCA::SP19295	4429	244550	9866	0	0	1022
ColoRect-AdenoCA::SP17905	0	1923324	42431	177266	289596	0
ColoRect-AdenoCA::SP18121	12482	395	122800	20701	4761	0
ColoRect-AdenoCA::SP21400	58464	527302	162431	0	44843	0
ColoRect-AdenoCA::SP18946	6475	823094	81423	35913	13908	0
ColoRect-AdenoCA::SP80615	0	2110962	0	49146	266361	0
Eso-AdenoCA::SP111058	113	0	0	0	62775	1095
Eso-AdenoCA::SP111066	95	177	792	2163	67985	8447
Eso-AdenoCA::SP111113	1312	883	648	2355	72835	1107
Eso-AdenoCA::SP110865	1831	554	7192	12656	23561	9957
Eso-AdenoCA::SP23502	2411	1404	4931	2225	59847	3653
Eso-AdenoCA::SP111001	2643	1115	6549	2358	43466	3331
Eso-AdenoCA::SP111173	2860	3701	7144	0	90041	1848
Eso-AdenoCA::SP111091	2293	267	3006	4217	40278	4517
Eso-AdenoCA::SP111175	80	1691	1705	11411	106621	2465
Eso-AdenoCA::SP111114	848	1565	7691	3055	38472	5978
Head-SCC::SP30113	1270	337	5139	74550	1238	5089
Head-SCC::SP30332	1695	491	4915	41623	941	2842
Head-SCC::SP30675	1154	478	4051	52926	799	3777
Liver-HCC::SP98090	4351	0	23009	29432	5593	1301
Lung-AdenoCA::SP53460	850	897	0	50163	86	1538
Lung-AdenoCA::SP54113	1921	291	4523	90705	2186	10701
Lung-AdenoCA::SP55235	3759	835	3270	96938	3061	5940
Lung-AdenoCA::SP50611	621	385	0	51740	0	658
Lung-AdenoCA::SP55142	1895	1570	5882	116598	2283	28815
Lung-AdenoCA::SP53618	719	683	0	59647	0	273
Lung-AdenoCA::SP53810	0	2105	0	183479	0	0
Lung-AdenoCA::SP55509	333	797	0	62762	0	2243
Lung-SCC::SP56553	0	1147	2020	60777	1533	68405
Lung-SCC::SP57941	441	1224	972	71119	104	1642
Lung-SCC::SP57818	9	993	0	45354	0	3743
Lung-SCC::SP56704	1669	0	4100	45438	1021	1520
Lung-SCC::SP59245	962	530	2961	34981	1693	13993
Lung-SCC::SP57933	0	670	3406	42973	843	9655
Lung-SCC::SP57669	227	524	4212	42496	1072	2191
Lung-SCC::SP58342	0	605	10014	51026	924	11655
Lung-SCC::SP57619	486	752	2774	47184	382	2204
Lung-SCC::SP58245	937	370	6023	46688	1260	3899
Lung-SCC::SP57251	1496	502	4833	35697	1087	8488
Lung-SCC::SP58668	1250	329	4913	51685	1425	6368
Lung-SCC::SP58326	1012	715	4281	62416	695	2406
Lung-SCC::SP57267	915	562	4556	41720	843	2795
Lung-SCC::SP57066	832	1076	3410	47940	445	4210
Lung-SCC::SP57846	932	490	3066	30298	383	18795
Lung-SCC::SP57189	34	1263	3471	98907	597	9574
Lymph-BNHL::SP116668	1718	2349	6582	3967	51508	777
Lymph-BNHL::SP116697	8422	12975	29806	21579	25010	14737
Panc-AdenoCA::SP125732	418	1458	81521	0	12015	333
Panc-AdenoCA::SP125770	0	423	27047	20988	5978	1018
Skin-Melanoma::SP124389	68622	255	0	0	0	1996
Skin-Melanoma::SP124362	214810	0	0	0	0	0
Skin-Melanoma::SP124394	105876	0	0	0	0	0
Skin-Melanoma::SP124334	82731	479	365	1642	1327	1220
Skin-Melanoma::SP124454	56975	52	173	143	214	1258
Skin-Melanoma::SP124380	155336	832	0	618	2120	4065
Skin-Melanoma::SP124399	142881	421	0	0	1073	0
Skin-Melanoma::SP124311	93312	1055	4659	7338	3015	0
Skin-Melanoma::SP124434	77495	951	1915	792	227	3881
Skin-Melanoma::SP124428	296727	485	0	0	0	8477
Skin-Melanoma::SP124449	135402	0	0	0	0	2585
Skin-Melanoma::SP124298	352090	0	599	11956	2071	0
Skin-Melanoma::SP124431	81240	582	2592	7346	892	0
Skin-Melanoma::SP124409	238904	0	0	0	0	6770
Skin-Melanoma::SP124376	51904	421	578	0	0	2265
