Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
Biliary-AdenoCA::SP99325	8.18E+01	7.64E+01	3.31E+03	2.51E+02	1.56E+02	3.77E+03
Bladder-TCC::SP1059	2.96E+02	1.44E+01	1.73E+02	5.33E+02	3.20E+01	5.95E+02
Bladder-TCC::SP96136	5.15E+02	2.11E+01	2.34E+02	6.70E+02	2.07E+01	8.32E+02
Breast-AdenoCA::SP117369	8.67E+02	1.27E+01	1.94E+01	1.08E+03	2.16E+00	1.86E+03
Breast-AdenoCA::SP2293	9.38E+02	2.50E+01	1.79E+01	1.38E+03	9.83E-01	2.21E+03
CNS-GBM::SP25494	9.09E+02	0.00E+00	1.22E+03	6.00E+00	2.00E-02	4.18E+02
ColoRect-AdenoCA::SP18310	9.67E+01	8.26E+01	5.96E+02	6.62E+01	1.28E+01	8.13E+02
ColoRect-AdenoCA::SP17172	8.97E+01	7.89E+01	9.59E+02	1.13E+02	2.39E+01	1.21E+03
ColoRect-AdenoCA::SP96133	6.56E+01	3.96E+01	5.28E+02	1.45E+02	1.82E+01	7.47E+02
ColoRect-AdenoCA::SP110242	1.09E+02	5.33E+01	8.32E+02	2.29E+02	2.73E+01	1.18E+03
ColoRect-AdenoCA::SP21017	8.38E+01	5.49E+01	4.37E+02	1.57E+02	1.75E+01	6.80E+02
ColoRect-AdenoCA::SP22383	8.33E+01	3.70E+01	7.84E+02	1.94E+02	4.55E+01	1.08E+03
ColoRect-AdenoCA::SP81312	8.24E+02	7.24E+02	6.16E+02	2.75E+00	0.00E+00	8.92E+02
ColoRect-AdenoCA::SP22031	4.67E+01	1.72E+02	1.78E+02	3.27E+01	2.00E+01	5.75E+01
ColoRect-AdenoCA::SP19215	6.34E+01	2.83E+01	1.31E+03	1.13E+02	8.26E+01	1.55E+03
ColoRect-AdenoCA::SP16886	1.43E+02	3.72E+02	2.84E+02	1.92E+02	1.79E+02	3.67E+02
ColoRect-AdenoCA::SP19295	6.82E+01	2.34E+02	2.34E+02	1.90E+01	3.31E+01	8.34E+01
ColoRect-AdenoCA::SP17905	2.88E+02	1.22E+03	3.96E+03	1.39E+03	1.89E+03	7.92E+03
ColoRect-AdenoCA::SP18121	1.01E+02	4.00E+01	2.50E+03	2.87E+02	1.07E+02	2.95E+03
ColoRect-AdenoCA::SP21400	5.50E+02	4.31E+02	1.19E+03	0.00E+00	1.10E+02	1.79E+03
ColoRect-AdenoCA::SP18946	1.97E+02	5.77E+02	4.35E+02	1.72E+02	7.02E+01	1.09E+03
ColoRect-AdenoCA::SP80615	3.21E+02	1.23E+03	1.13E+03	7.33E+02	1.02E+03	3.53E+03
Eso-AdenoCA::SP111058	2.15E+01	3.00E+01	8.45E+01	4.61E+01	9.03E+01	5.22E+01
Eso-AdenoCA::SP111066	7.99E+01	3.53E+01	1.09E+02	1.84E+02	1.52E+02	3.00E+02
Eso-AdenoCA::SP111113	2.21E+01	3.46E+01	1.03E+02	4.80E+01	9.81E+01	2.37E+01
Eso-AdenoCA::SP110865	1.08E+02	2.02E+01	1.46E+02	1.71E+02	4.35E+01	1.18E+02
Eso-AdenoCA::SP23502	5.09E+01	3.21E+01	1.14E+02	6.39E+01	9.34E+01	2.89E+01
Eso-AdenoCA::SP111001	5.39E+01	2.30E+01	7.00E+01	5.51E+01	9.98E+01	9.76E+01
Eso-AdenoCA::SP111173	5.09E+01	5.00E+01	2.13E+02	6.23E+01	1.89E+02	2.99E+02
Eso-AdenoCA::SP111091	6.02E+01	2.43E+01	7.98E+01	6.16E+01	6.73E+01	5.74E+01
Eso-AdenoCA::SP111175	3.58E+01	5.70E+01	1.45E+02	7.70E+01	1.52E+02	6.69E+01
Eso-AdenoCA::SP111114	6.05E+01	2.70E+01	1.01E+02	1.40E+02	9.76E+01	1.68E+02
Head-SCC::SP30113	1.13E+02	3.75E+01	1.00E+02	2.95E+02	2.32E+01	3.68E+02
Head-SCC::SP30332	5.82E+01	2.33E+01	9.12E+01	1.80E+02	1.56E+01	2.56E+02
Head-SCC::SP30675	8.34E+01	2.78E+01	7.72E+01	1.95E+02	1.53E+01	2.60E+02
Liver-HCC::SP98090	2.46E+01	1.35E+01	8.12E+02	4.90E+02	1.60E+02	1.42E+03
