Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
Biliary-AdenoCA::SP99325	5280	2705	70472	4494	120152	0	3426
Bladder-TCC::SP1059	0	519	0	20433	11287	1247	25699
Bladder-TCC::SP96136	5590	760	1648	3738	8842	936	30382
Breast-AdenoCA::SP117369	4721	0	0	0	0	0	50933
Breast-AdenoCA::SP2293	3286	637	0	0	0	0	61142
CNS-GBM::SP25494	138119	0	87593	19331	0	0	0
ColoRect-AdenoCA::SP18310	29	0	82128	0	23304	2023	743
ColoRect-AdenoCA::SP17172	96	297	79686	0	35589	7531	1163
ColoRect-AdenoCA::SP96133	695	1638	41303	9781	21747	5390	794
ColoRect-AdenoCA::SP110242	882	1267	57145	18169	32500	3610	402
ColoRect-AdenoCA::SP21017	514	1985	54396	8820	18305	3814	600
ColoRect-AdenoCA::SP22383	460	1538	45644	8964	32013	8520	339
ColoRect-AdenoCA::SP81312	74730	599234	125022	0	3452	0	5049
ColoRect-AdenoCA::SP22031	1225	226155	4938	1439	0	0	474
ColoRect-AdenoCA::SP19215	354	0	39339	4161	47333	3522	195
ColoRect-AdenoCA::SP16886	0	788460	0	4984	0	55838	0
ColoRect-AdenoCA::SP19295	3812	240261	14676	0	0	0	1118
ColoRect-AdenoCA::SP17905	0	1839813	0	103926	248320	240558	0
ColoRect-AdenoCA::SP18121	10111	58	51110	8496	91227	0	137
ColoRect-AdenoCA::SP21400	54641	511067	98022	0	91412	37898	0
ColoRect-AdenoCA::SP18946	5281	805575	58532	31878	48478	11069	0
ColoRect-AdenoCA::SP80615	0	2053007	0	24456	113856	235150	0
Eso-AdenoCA::SP111058	175	0	409	0	0	62073	1326
Eso-AdenoCA::SP111066	346	293	218	2507	2615	65566	8114
Eso-AdenoCA::SP111113	1291	895	1441	3248	0	70930	1335
Eso-AdenoCA::SP110865	1957	534	3000	10849	7969	21981	9461
Eso-AdenoCA::SP23502	2468	1522	2009	2039	5947	56913	3573
Eso-AdenoCA::SP111001	2501	855	6564	3245	0	42919	3378
Eso-AdenoCA::SP111173	2861	3869	0	0	15257	81848	1759
Eso-AdenoCA::SP111091	2384	359	891	3743	4744	38117	4340
Eso-AdenoCA::SP111175	0	1421	4334	12005	0	103268	2945
Eso-AdenoCA::SP111114	819	1388	6322	3557	1655	37995	5873
Head-SCC::SP30113	1191	135	776	66348	12051	732	6390
Head-SCC::SP30332	1606	381	1235	36608	8616	517	3544
Head-SCC::SP30675	1077	304	957	47297	8366	484	4700
Liver-HCC::SP98090	3996	235	0	18095	38186	1664	1510
Lung-AdenoCA::SP53460	742	601	649	47262	1241	384	2655
Lung-AdenoCA::SP54113	1911	0	1210	82161	11108	1914	12023
Lung-AdenoCA::SP55235	3602	349	1725	89164	8080	3072	7811
Lung-AdenoCA::SP50611	438	49	1421	49512	0	86	1898
Lung-AdenoCA::SP55142	2255	1029	1914	105811	14531	2055	29448
Lung-AdenoCA::SP53618	553	350	944	57114	588	70	1703
Lung-AdenoCA::SP53810	0	1152	1962	181173	0	0	1297
Lung-AdenoCA::SP55509	207	457	808	59559	1413	51	3640
Lung-SCC::SP56553	0	933	0	53903	12059	1274	65713
Lung-SCC::SP57941	270	840	959	66040	3830	340	3223
Lung-SCC::SP57818	0	727	982	43709	0	5	4676
Lung-SCC::SP56704	1554	0	559	39962	8699	559	2415
Lung-SCC::SP59245	1202	379	849	31341	6188	1458	13703
Lung-SCC::SP57933	0	516	883	38425	7160	590	9973
Lung-SCC::SP57669	206	456	339	37070	9165	547	2939
Lung-SCC::SP58342	74	478	2887	44125	14720	177	11763
Lung-SCC::SP57619	408	562	767	42635	6047	235	3128
Lung-SCC::SP58245	919	346	454	40080	12325	496	4557
Lung-SCC::SP57251	1600	479	290	30554	10279	450	8451
Lung-SCC::SP58668	1284	290	0	44717	12048	696	6935
Lung-SCC::SP58326	921	553	389	55411	10379	247	3625
Lung-SCC::SP57267	878	484	575	36421	9212	348	3473
Lung-SCC::SP57066	794	882	1030	43107	6860	248	4992
Lung-SCC::SP57846	1305	340	945	27055	6101	221	17997
Lung-SCC::SP57189	63	924	0	88736	12792	231	11100
Lymph-BNHL::SP116668	1688	2486	1997	3061	8507	48241	921
Lymph-BNHL::SP116697	8071	12420	13368	16831	26107	21922	13810
Panc-AdenoCA::SP125732	0	99	47962	0	37497	10187	0
Panc-AdenoCA::SP125770	0	932	3151	12029	35961	2238	1143
Skin-Melanoma::SP124389	68540	245	424	0	0	57	1607
Skin-Melanoma::SP124362	214810	0	0	0	0	0	0
Skin-Melanoma::SP124394	105876	0	0	0	0	0	0
Skin-Melanoma::SP124334	81483	466	0	1526	2374	1092	823
Skin-Melanoma::SP124454	56400	0	720	517	0	253	925
Skin-Melanoma::SP124380	153603	748	262	1314	1947	1923	3174
Skin-Melanoma::SP124399	140201	394	0	0	3018	762	0
Skin-Melanoma::SP124311	90300	1150	48	5593	10314	1974	0
Skin-Melanoma::SP124434	76932	777	2294	1412	159	342	3345
Skin-Melanoma::SP124428	298239	664	0	0	0	0	6786
Skin-Melanoma::SP124449	136137	0	0	0	0	33	1817
Skin-Melanoma::SP124298	344512	0	0	13011	7759	1434	0
Skin-Melanoma::SP124431	79562	488	1236	6919	3808	639	0
Skin-Melanoma::SP124409	240429	0	0	0	0	0	5245
Skin-Melanoma::SP124376	51816	381	1051	0	0	0	1920
Skin-Melanoma::SP124439	294482	1852	2141	4638	517	3268	12785
Skin-Melanoma::SP124406	64230	125	1378	5056	0	2722	243
Skin-Melanoma::SP124382	441145	0	0	18208	15382	4226	0
Skin-Melanoma::SP124415	782924	0	0	0	0	5491	70763
Skin-Melanoma::SP124436	298542	0	0	4581	13192	2500	0
Skin-Melanoma::SP124460	160759	714	0	0	298	2207	0
Skin-Melanoma::SP124425	84130	399	440	2437	2888	1224	0
Skin-Melanoma::SP124367	142455	0	626	2086	0	10800	0
Skin-Melanoma::SP124377	53456	405	945	3360	2239	614	0
Skin-Melanoma::SP124412	68949	0	357	7076	650	256	0
Skin-Melanoma::SP124329	50240	142	0	0	1078	266	0
Skin-Melanoma::SP124326	58275	0	215	2543	169	88	0
Skin-Melanoma::SP124458	152199	1248	1164	2604	3339	957	0
