Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
Biliary-AdenoCA::SP99325	6.61E+01	2.10E+01	5.73E+02	8.70E+01	4.27E+02	1.34E+02	1.82E+01
Bladder-TCC::SP1059	2.53E+01	1.35E+01	8.54E+00	5.07E+01	5.16E+01	1.60E+01	3.86E+01
Bladder-TCC::SP96136	4.06E+01	1.12E+01	3.01E+01	2.59E+01	2.73E+01	1.36E+01	4.27E+01
Breast-AdenoCA::SP117369	8.15E+01	9.84E+00	1.65E+01	2.99E+01	1.14E+01	2.16E+00	7.62E+01
Breast-AdenoCA::SP2293	7.83E+01	1.59E+01	2.52E+01	3.12E+01	6.00E-02	2.26E+00	7.85E+01
CNS-GBM::SP25494	2.58E+02	0.00E+00	2.60E+02	0.00E+00	0.00E+00	0.00E+00	1.83E+01
ColoRect-AdenoCA::SP18310	8.42E+01	6.93E+00	2.11E+02	2.35E+01	2.69E+02	2.74E+01	8.47E+00
ColoRect-AdenoCA::SP17172	8.55E+01	1.63E+01	2.43E+02	3.20E+01	2.76E+02	4.18E+01	1.07E+01
ColoRect-AdenoCA::SP96133	5.95E+01	1.53E+01	1.33E+02	3.48E+01	1.51E+02	2.92E+01	1.73E+01
ColoRect-AdenoCA::SP110242	8.97E+01	1.61E+01	2.05E+02	3.45E+01	2.35E+02	3.62E+01	1.92E+01
ColoRect-AdenoCA::SP21017	7.50E+01	1.48E+01	1.37E+02	3.50E+01	1.78E+02	2.80E+01	1.73E+01
ColoRect-AdenoCA::SP22383	5.68E+01	1.64E+01	1.87E+02	3.61E+01	1.89E+02	4.21E+01	1.41E+01
ColoRect-AdenoCA::SP81312	1.14E+02	4.29E+02	4.18E+02	0.00E+00	1.93E+02	0.00E+00	8.92E+00
ColoRect-AdenoCA::SP22031	2.05E+01	1.24E+02	1.30E+02	1.57E+01	2.63E+01	1.69E+01	3.83E+00
ColoRect-AdenoCA::SP19215	4.22E+01	0.00E+00	2.53E+02	3.37E+01	2.17E+02	5.35E+01	6.07E+00
ColoRect-AdenoCA::SP16886	4.94E+01	4.43E+02	4.79E+02	4.28E+01	9.27E+01	7.01E+01	1.15E+01
ColoRect-AdenoCA::SP19295	2.76E+01	1.37E+02	1.36E+02	1.56E+01	1.24E+01	1.96E+01	6.12E+00
ColoRect-AdenoCA::SP17905	2.54E+02	1.10E+03	1.67E+03	2.20E+02	6.82E+02	3.68E+02	0.00E+00
ColoRect-AdenoCA::SP18121	4.72E+01	5.79E+00	4.21E+02	7.03E+01	3.16E+02	9.96E+01	1.07E+01
ColoRect-AdenoCA::SP21400	8.01E+01	4.05E+02	5.18E+02	0.00E+00	3.17E+02	8.76E+01	7.12E+00
ColoRect-AdenoCA::SP18946	8.03E+01	4.88E+02	5.45E+02	4.05E+01	2.21E+02	7.16E+01	8.92E+00
ColoRect-AdenoCA::SP80615	1.71E+02	1.19E+03	1.43E+03	1.35E+02	3.90E+02	2.11E+02	2.71E+01
Eso-AdenoCA::SP111058	1.02E+01	1.45E+01	3.83E+01	2.95E+01	4.46E+00	2.81E+01	8.38E+00
Eso-AdenoCA::SP111066	1.65E+01	1.62E+01	4.00E+01	3.51E+01	2.18E+01	3.99E+01	2.01E+01
Eso-AdenoCA::SP111113	1.44E+01	1.78E+01	3.99E+01	4.16E+01	2.72E+01	3.96E+01	1.01E+01
Eso-AdenoCA::SP110865	1.44E+01	1.17E+01	2.39E+01	3.71E+01	3.06E+01	2.87E+01	2.35E+01
Eso-AdenoCA::SP23502	1.54E+01	1.65E+01	3.69E+01	3.14E+01	2.59E+01	3.21E+01	1.23E+01
