Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
Biliary-AdenoCA::SP99325	1559	2639	72799	2532	108817	0	14405	3778
Bladder-TCC::SP1059	0	419	0	19283	11213	1161	1673	25436
Bladder-TCC::SP96136	4704	722	1414	3287	8561	865	1972	30371
Breast-AdenoCA::SP117369	4663	0	0	0	18	0	0	50973
Breast-AdenoCA::SP2293	3237	542	0	0	0	0	0	61286
CNS-GBM::SP25494	20249	0	0	0	0	0	224794	0
ColoRect-AdenoCA::SP18310	3562	0	87553	0	15048	1855	0	209
ColoRect-AdenoCA::SP17172	3575	137	85448	0	27324	7276	0	602
ColoRect-AdenoCA::SP96133	1649	1585	43474	9332	17334	5250	2150	574
ColoRect-AdenoCA::SP110242	1343	1200	59534	17209	26106	3448	4942	193
ColoRect-AdenoCA::SP21017	1849	1949	56914	8449	12824	3699	2408	342
ColoRect-AdenoCA::SP22383	237	1517	47250	8242	26737	8283	4924	288
ColoRect-AdenoCA::SP81312	79929	596826	126997	0	0	0	0	3735
ColoRect-AdenoCA::SP22031	1272	226291	3683	1455	0	0	1094	436
ColoRect-AdenoCA::SP19215	174	0	41739	3652	41733	3264	4217	125
ColoRect-AdenoCA::SP16886	0	788418	0	5978	0	54886	0	0
ColoRect-AdenoCA::SP19295	963	238761	11034	0	0	0	7606	1503
ColoRect-AdenoCA::SP17905	0	1834735	0	93128	247826	234170	22758	0
ColoRect-AdenoCA::SP18121	0	433	45323	4432	81503	0	28399	1049
ColoRect-AdenoCA::SP21400	58822	510921	104230	0	82466	36601	0	0
ColoRect-AdenoCA::SP18946	3091	805373	55786	29702	42846	10468	13547	0
ColoRect-AdenoCA::SP80615	0	2053612	0	22013	117854	230154	2836	0
Eso-AdenoCA::SP111058	0	0	0	275	0	61911	540	1257
Eso-AdenoCA::SP111066	61	233	0	2759	3032	64835	685	8054
Eso-AdenoCA::SP111113	694	869	823	3567	0	70430	1446	1311
Eso-AdenoCA::SP110865	1174	510	2671	10159	7820	21634	2319	9464
Eso-AdenoCA::SP23502	1939	1493	1746	2138	6089	56221	1302	3543
Eso-AdenoCA::SP111001	2736	811	6568	3434	0	42501	145	3267
Eso-AdenoCA::SP111173	2089	3851	0	0	15454	80869	1606	1725
Eso-AdenoCA::SP111091	2060	328	732	3701	4933	37655	868	4301
Eso-AdenoCA::SP111175	312	1305	4123	12685	0	102821	0	2727
Eso-AdenoCA::SP111114	1147	1339	6588	3673	1409	37682	0	5771
Head-SCC::SP30113	508	0	442	63163	12281	675	4480	6074
Head-SCC::SP30332	827	299	856	34654	8633	472	3342	3424
Head-SCC::SP30675	284	186	512	44921	8469	455	3838	4520
Liver-HCC::SP98090	550	271	0	15312	36557	1375	7780	1841
Lung-AdenoCA::SP53460	1391	422	938	45711	1534	402	868	2268
Lung-AdenoCA::SP54113	1276	0	797	78313	11415	1840	5079	11607
Lung-AdenoCA::SP55235	4136	18	2092	85831	8426	3057	3067	7176
Lung-AdenoCA::SP50611	1213	0	1793	48037	0	122	767	1472
Lung-AdenoCA::SP55142	1392	688	1416	101006	14890	2012	6690	28949
Lung-AdenoCA::SP53618	1673	110	1516	55488	873	107	382	1173
Lung-AdenoCA::SP53810	2752	395	4461	177856	0	0	0	120
Lung-AdenoCA::SP55509	1418	202	1452	57859	1715	85	307	3097
Lung-SCC::SP56553	0	665	204	52581	12365	1208	715	66144
Lung-SCC::SP57941	1324	576	1565	63950	4130	359	946	2652
Lung-SCC::SP57818	763	549	1393	42581	0	61	407	4345
Lung-SCC::SP56704	684	0	95	37777	8795	504	3608	2285
Lung-SCC::SP59245	936	270	744	29891	6265	1420	2030	13564
Lung-SCC::SP57933	0	386	837	36714	7223	559	2121	9707
Lung-SCC::SP57669	378	322	654	35560	9215	504	1414	2675
Lung-SCC::SP58342	536	277	3725	42413	14314	121	1394	11444
Lung-SCC::SP57619	555	413	917	40956	6155	223	1723	2840
Lung-SCC::SP58245	166	244	233	37957	12315	432	3423	4407
Lung-SCC::SP57251	740	404	0	28786	10258	392	3159	8364
Lung-SCC::SP58668	428	163	0	42187	12034	634	3762	6762
Lung-SCC::SP58326	751	377	436	52991	10536	212	2925	3297
Lung-SCC::SP57267	548	375	532	34709	9230	307	2404	3286
Lung-SCC::SP57066	889	735	1168	41343	6967	226	1869	4716
Lung-SCC::SP57846	1170	229	974	25833	6114	196	1570	17878
Lung-SCC::SP57189	789	601	220	85591	13333	198	2645	10469
Lymph-BNHL::SP116668	182	2513	1100	2716	8542	47429	3366	1053
Lymph-BNHL::SP116697	2217	12491	10099	14095	24417	21243	13580	14387
Panc-AdenoCA::SP125732	1221	0	52623	0	31985	9916	0	0
Panc-AdenoCA::SP125770	266	773	5320	11687	34349	2043	0	1016
Skin-Melanoma::SP124389	67435	148	709	0	0	5	1098	1478
Skin-Melanoma::SP124362	214328	0	416	0	0	0	66	0
Skin-Melanoma::SP124394	105876	0	0	0	0	0	0	0
Skin-Melanoma::SP124334	80383	312	422	1825	2219	1020	993	590
Skin-Melanoma::SP124454	55828	0	1266	829	0	184	0	708
Skin-Melanoma::SP124380	148053	563	0	908	1448	1817	6982	3200
Skin-Melanoma::SP124399	139858	272	0	0	3639	606	0	0
Skin-Melanoma::SP124311	83009	1109	0	3372	9168	1840	10881	0
Skin-Melanoma::SP124434	72752	751	1012	942	0	291	5996	3517
Skin-Melanoma::SP124428	297024	198	2606	0	0	0	0	5861
Skin-Melanoma::SP124449	136027	0	607	0	0	0	0	1353
Skin-Melanoma::SP124298	319037	0	0	5659	4454	1293	36273	0
Skin-Melanoma::SP124431	71379	539	0	4465	2848	600	12821	0
Skin-Melanoma::SP124409	241234	0	0	0	0	0	0	4440
Skin-Melanoma::SP124376	50690	308	1090	0	0	0	1238	1842
Skin-Melanoma::SP124439	275945	1660	0	1215	0	2997	24252	13614
Skin-Melanoma::SP124406	61930	46	938	4791	0	2639	3195	215
Skin-Melanoma::SP124382	417256	0	0	11807	12623	3842	33433	0
Skin-Melanoma::SP124415	785026	0	0	0	0	5072	0	69080
Skin-Melanoma::SP124436	295735	0	0	6774	14313	1993	0	0
Skin-Melanoma::SP124460	159823	482	1083	0	509	2081	0	0
Skin-Melanoma::SP124425	81547	289	303	2295	2661	1146	3277	0
Skin-Melanoma::SP124367	137735	0	0	1808	0	10539	5885	0
Skin-Melanoma::SP124377	48645	432	0	2122	1756	576	7488	0
Skin-Melanoma::SP124412	68337	0	1171	7098	491	191	0	0
Skin-Melanoma::SP124329	50123	98	5	0	1289	211	0	0
Skin-Melanoma::SP124326	57764	0	836	2651	1	38	0	0
Skin-Melanoma::SP124458	145774	1130	0	1971	2889	850	8897	0
Skin-Melanoma::SP124401	376643	509	0	8026	1435	3347	46005	0
Skin-Melanoma::SP124384	138814	705	17231	2859	7593	694	9264	622
Skin-Melanoma::SP124462	108726	415	845	51	2286	264	1584	0
Skin-Melanoma::SP124452	83730	352	117	592	1046	188	5884	0
Skin-Melanoma::SP124386	113366	107	1945	0	0	6	411	0
Skin-Melanoma::SP124418	99947	126	0	3237	2793	554	0	724
Skin-Melanoma::SP124319	198358	0	0	0	0	88	0	6855
Skin-Melanoma::SP124447	373852	4231	0	6446	10291	4378	32407	12486
Skin-Melanoma::SP124369	131476	0	0	578	1162	163	7078	0
Skin-Melanoma::SP124365	66591	252	688	2287	3168	641	1047	862
Skin-Melanoma::SP124420	69438	0	753	0	595	0	358	0
Skin-Melanoma::SP124364	100363	951	1314	2054	2326	436	1970	0
Skin-Melanoma::SP124307	118444	126	1628	0	0	112	0	1200
Skin-Melanoma::SP82445	673824	3418	6429	0	0	7000	0	53882
