Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
Biliary-AdenoCA::SP99325	1.21E+02	9.81E+01	8.13E+02	1.83E+02	4.49E+02	5.11E+01	4.67E+02	2.65E+01
Bladder-TCC::SP1059	1.01E+01	1.20E+01	9.69E+00	2.96E+02	2.81E+02	1.57E+01	5.91E+02	2.66E+01
Bladder-TCC::SP96136	4.20E+01	1.04E+01	2.40E+01	1.03E+02	1.50E+02	1.12E+01	2.57E+02	4.37E+01
Breast-AdenoCA::SP117369	4.93E+01	4.58E+00	1.34E+01	1.53E+01	1.27E+01	1.35E+00	2.75E+01	4.81E+01
Breast-AdenoCA::SP2293	5.10E+01	1.14E+01	2.07E+01	1.42E+01	0.00E+00	1.02E+00	0.00E+00	4.65E+01
CNS-GBM::SP25494	5.50E+03	0.00E+00	3.37E+03	2.90E+01	9.13E+01	9.05E+00	8.75E+03	2.01E+01
ColoRect-AdenoCA::SP18310	1.37E+02	5.57E+01	5.62E+02	7.96E+01	6.27E+02	1.78E+01	1.11E+02	7.31E+00
ColoRect-AdenoCA::SP17172	1.51E+02	6.08E+01	6.22E+02	3.10E+01	5.38E+02	3.50E+01	1.75E+02	8.50E+00
ColoRect-AdenoCA::SP96133	3.76E+01	3.65E+01	3.30E+02	3.19E+01	3.21E+02	2.25E+01	1.02E+02	1.19E+01
ColoRect-AdenoCA::SP110242	4.16E+01	5.11E+01	5.28E+02	1.09E+02	6.03E+02	1.84E+01	2.64E+02	1.08E+01
ColoRect-AdenoCA::SP21017	4.86E+01	4.19E+01	4.03E+02	7.38E+01	4.46E+02	1.66E+01	1.62E+02	1.07E+01
ColoRect-AdenoCA::SP22383	2.86E+01	3.78E+01	4.15E+02	7.52E+01	4.53E+02	2.52E+01	1.80E+02	1.00E+01
ColoRect-AdenoCA::SP81312	2.37E+02	1.64E+02	3.94E+02	0.00E+00	4.81E+02	0.00E+00	0.00E+00	7.37E+00
ColoRect-AdenoCA::SP22031	2.23E+01	3.51E+01	4.28E+01	2.27E+01	3.24E+01	1.74E+01	3.10E+01	3.84E+00
ColoRect-AdenoCA::SP19215	3.46E+01	2.45E+01	5.06E+02	7.38E+01	5.18E+02	2.87E+01	1.61E+02	6.12E+00
ColoRect-AdenoCA::SP16886	9.75E+01	1.19E+02	5.81E+01	9.11E+01	9.29E+01	9.40E+01	6.21E+01	1.06E+01
ColoRect-AdenoCA::SP19295	2.72E+01	4.48E+01	7.43E+01	1.59E+01	3.68E+01	1.75E+01	1.14E+02	5.91E+00
ColoRect-AdenoCA::SP17905	7.46E+02	4.00E+02	6.69E+02	8.88E+02	1.14E+03	4.29E+02	1.48E+03	0.00E+00
ColoRect-AdenoCA::SP18121	3.57E+02	5.73E+01	2.78E+02	1.15E+02	3.26E+02	4.20E+01	3.70E+02	2.22E+01
ColoRect-AdenoCA::SP21400	1.76E+02	1.35E+02	7.12E+02	0.00E+00	7.99E+02	6.41E+01	3.94E+01	7.95E+00
ColoRect-AdenoCA::SP18946	7.79E+01	1.57E+02	4.96E+02	1.20E+02	5.47E+02	6.48E+01	2.33E+02	8.13E+00
ColoRect-AdenoCA::SP80615	4.34E+02	3.24E+02	3.03E+02	4.64E+02	4.55E+02	3.96E+02	6.85E+02	3.49E+01
Eso-AdenoCA::SP111058	1.94E+01	1.67E+01	3.13E+01	2.17E+01	2.71E+01	1.07E+02	1.11E+02	1.23E+01
Eso-AdenoCA::SP111066	2.43E+01	2.00E+01	3.68E+01	2.48E+01	3.51E+01	1.06E+02	9.51E+01	1.75E+01
Eso-AdenoCA::SP111113	3.33E+01	2.16E+01	4.42E+01	2.99E+01	3.73E+01	1.36E+02	1.34E+02	1.44E+01
Eso-AdenoCA::SP110865	1.82E+01	1.68E+01	2.20E+01	2.03E+02	2.06E+02	1.06E+02	5.06E+02	2.11E+01
Eso-AdenoCA::SP23502	2.19E+01	1.64E+01	3.24E+01	3.87E+01	4.78E+01	1.33E+02	2.11E+02	1.38E+01
Eso-AdenoCA::SP111001	2.46E+01	1.52E+01	4.15E+01	3.03E+01	1.41E+01	9.42E+01	1.41E+02	1.30E+01
Eso-AdenoCA::SP111173	3.99E+01	2.10E+01	4.53E+01	5.25E+01	8.65E+01	1.72E+02	2.91E+02	1.92E+01
Eso-AdenoCA::SP111091	1.84E+01	9.99E+00	2.21E+01	5.20E+01	7.50E+01	1.13E+02	2.31E+02	1.55E+01
Eso-AdenoCA::SP111175	2.62E+01	2.65E+01	6.85E+01	4.84E+01	5.13E+01	1.92E+02	2.85E+02	2.34E+01
Eso-AdenoCA::SP111114	2.27E+01	1.53E+01	3.76E+01	3.68E+01	2.78E+01	8.98E+01	1.83E+02	1.37E+01
Head-SCC::SP30113	3.10E+01	1.27E+01	3.36E+01	4.60E+02	3.17E+02	1.71E+01	7.21E+02	5.67E+01
Head-SCC::SP30332	2.56E+01	1.19E+01	2.24E+01	2.75E+02	2.02E+02	1.20E+01	4.38E+02	3.03E+01
Head-SCC::SP30675	3.06E+01	1.43E+01	2.44E+01	2.72E+02	2.00E+02	1.24E+01	4.14E+02	3.68E+01
Liver-HCC::SP98090	7.94E+01	3.12E+01	5.32E+01	5.25E+02	8.95E+02	2.55E+01	1.39E+03	2.64E+01
Lung-AdenoCA::SP53460	2.54E+01	1.33E+01	2.77E+01	2.12E+02	1.25E+02	1.07E+01	2.91E+02	4.21E+01
Lung-AdenoCA::SP54113	4.98E+01	8.72E+00	4.69E+01	3.93E+02	2.70E+02	2.39E+01	5.46E+02	6.56E+01
Lung-AdenoCA::SP55235	4.48E+01	1.97E+01	5.00E+01	4.20E+02	2.53E+02	2.38E+01	5.91E+02	7.17E+01
Lung-AdenoCA::SP50611	2.62E+01	1.08E+01	3.90E+01	1.48E+02	8.77E+01	1.02E+01	1.42E+02	5.38E+01
Lung-AdenoCA::SP55142	6.47E+01	2.68E+01	5.80E+01	5.57E+02	3.78E+02	2.59E+01	8.28E+02	7.86E+01
Lung-AdenoCA::SP53618	3.07E+01	1.58E+01	4.23E+01	1.62E+02	1.05E+02	1.15E+01	1.56E+02	5.49E+01
Lung-AdenoCA::SP53810	1.25E+02	5.16E+01	1.38E+02	5.34E+02	3.24E+02	3.53E+01	5.01E+02	1.62E+02
Lung-AdenoCA::SP55509	2.69E+01	1.76E+01	4.44E+01	1.73E+02	1.08E+02	1.23E+01	1.74E+02	5.19E+01
Lung-SCC::SP56553	0.00E+00	2.02E+01	3.27E+01	4.59E+02	3.42E+02	1.88E+01	7.99E+02	5.13E+01
Lung-SCC::SP57941	3.15E+01	1.98E+01	4.59E+01	2.41E+02	1.42E+02	1.57E+01	2.99E+02	5.86E+01
Lung-SCC::SP57818	2.02E+01	1.24E+01	3.22E+01	1.28E+02	7.98E+01	8.32E+00	1.39E+02	3.84E+01
Lung-SCC::SP56704	2.90E+01	1.55E+00	2.17E+01	2.76E+02	2.05E+02	1.09E+01	4.28E+02	3.23E+01
Lung-SCC::SP59245	2.53E+01	1.17E+01	1.81E+01	2.21E+02	1.56E+02	1.48E+01	3.67E+02	2.88E+01
Lung-SCC::SP57933	0.00E+00	1.32E+01	2.25E+01	2.95E+02	2.03E+02	1.07E+01	4.72E+02	3.23E+01
Lung-SCC::SP57669	2.40E+01	1.33E+01	3.24E+01	2.65E+02	1.83E+02	1.19E+01	4.48E+02	3.15E+01
