Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
Biliary-AdenoCA::SP99325	1437	3332	67556	0	104596	11329	0	14470	3809
Bladder-TCC::SP1059	0	600	0	12743	4480	16025	723	492	24122
Bladder-TCC::SP96136	4601	751	1384	1215	5622	6733	702	1277	29611
Breast-AdenoCA::SP117369	4616	0	0	0	149	0	0	0	50889
Breast-AdenoCA::SP2293	3252	356	0	0	0	0	0	0	61457
CNS-GBM::SP25494	18354	0	0	416	0	0	0	226273	0
ColoRect-AdenoCA::SP18310	3435	0	81200	0	12800	9184	1608	0	0
ColoRect-AdenoCA::SP17172	3395	69	78948	0	23086	12009	6532	0	323
ColoRect-AdenoCA::SP96133	1768	1638	40784	7468	15637	6956	4820	1795	482
ColoRect-AdenoCA::SP110242	1465	1147	56074	17290	28679	0	3483	5582	255
ColoRect-AdenoCA::SP21017	1901	1873	53800	8454	14083	1721	3539	2734	329
ColoRect-AdenoCA::SP22383	230	1547	44688	8600	28477	0	8071	5512	353
ColoRect-AdenoCA::SP81312	79924	596764	122559	0	4685	0	0	0	3555
ColoRect-AdenoCA::SP22031	1417	225796	4034	1528	0	0	0	1027	429
ColoRect-AdenoCA::SP19215	138	0	38575	4192	43456	0	3395	4959	189
ColoRect-AdenoCA::SP16886	0	770661	0	0	0	30300	48321	0	0
ColoRect-AdenoCA::SP19295	935	238734	11077	130	0	0	0	7447	1544
ColoRect-AdenoCA::SP17905	0	1808098	0	26977	151605	231357	210767	3813	0
ColoRect-AdenoCA::SP18121	0	864	41607	4746	83923	0	0	28853	1146
ColoRect-AdenoCA::SP21400	59603	514346	99863	0	83984	0	35244	0	0
ColoRect-AdenoCA::SP18946	3218	801711	50561	31659	48044	0	10666	14954	0
ColoRect-AdenoCA::SP80615	0	2016657	0	0	61648	139805	208359	0	0
Eso-AdenoCA::SP111058	0	0	323	1495	0	0	60183	692	1290
Eso-AdenoCA::SP111066	0	241	0	2981	4601	1245	61596	804	8191
Eso-AdenoCA::SP111113	605	884	834	4167	1555	692	67399	1618	1386
Eso-AdenoCA::SP110865	1176	679	2783	5864	3184	12820	19191	1100	8954
Eso-AdenoCA::SP23502	1852	1641	1853	311	4403	8535	51819	633	3424
Eso-AdenoCA::SP111001	2772	816	6694	3297	0	2293	40276	28	3286
Eso-AdenoCA::SP111173	2038	3815	0	0	12751	10377	74354	731	1528
Eso-AdenoCA::SP111091	2004	452	915	1747	2925	7642	34499	236	4158
Eso-AdenoCA::SP111175	348	1208	4706	14279	0	0	100102	447	2883
Eso-AdenoCA::SP111114	946	1384	6366	2414	595	5530	34708	0	5666
Head-SCC::SP30113	709	81	0	52437	5368	19308	341	3411	5968
Head-SCC::SP30332	926	405	664	27973	3815	12739	233	2442	3310
Head-SCC::SP30675	436	238	106	38157	4363	11896	276	3211	4502
Liver-HCC::SP98090	574	1067	159	1940	15917	39347	303	3193	1186
Lung-AdenoCA::SP53460	1525	352	375	40982	0	6602	317	989	2392
Lung-AdenoCA::SP54113	1530	0	0	68864	6814	15078	1603	4696	11742
Lung-AdenoCA::SP55235	4389	0	940	76322	4574	14416	2747	3041	7374
Lung-AdenoCA::SP50611	1364	0	976	45301	90	2432	167	1386	1688
Lung-AdenoCA::SP55142	1696	634	257	88040	8159	21558	1675	6045	28979
Lung-AdenoCA::SP53618	1863	0	531	52822	1284	1972	205	1207	1438
Lung-AdenoCA::SP53810	5116	0	2712	176442	0	0	496	142	676
Lung-AdenoCA::SP55509	1611	4	448	54853	1907	2566	195	1132	3419
Lung-SCC::SP56553	0	716	31	41220	3527	23431	694	0	64263
Lung-SCC::SP57941	1533	446	599	58782	2792	6651	369	1436	2894
Lung-SCC::SP57818	893	396	678	40453	214	1651	146	1033	4635
Lung-SCC::SP56704	820	0	0	31359	4452	11730	315	2823	2249
Lung-SCC::SP59245	1008	302	516	24799	2851	9621	1171	1523	13329
Lung-SCC::SP57933	0	466	635	29823	2506	12868	301	1467	9481
Lung-SCC::SP57669	492	413	357	29311	4960	11370	302	890	2627
Lung-SCC::SP58342	669	350	2954	36046	10367	11303	11	1121	11403
Lung-SCC::SP57619	679	399	375	36274	3944	7321	165	1689	2936
Lung-SCC::SP58245	329	397	79	30221	6367	15050	164	2333	4237
Lung-SCC::SP57251	819	538	0	22177	4782	13547	131	2089	8020
Lung-SCC::SP58668	567	355	0	32719	4773	18497	245	2376	6438
Lung-SCC::SP58326	921	452	0	44795	5530	14215	16	2298	3298
Lung-SCC::SP57267	658	443	199	29147	5517	10089	167	1909	3262
