Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,90.59%,84.36%,126.65%,93.35%,136.34,0.5639,1.3261,0.333,0.771,0.565,0.015
2,1.0,1.0,NO,N/A,70.43%,55.92%,124.88%,64.89%,85.67,0.2566,1.2703,0.169,0.462,0.733,0.25
3,0.84,0.7,NO,N/A,59.73%,22.36%,125.27%,26.9%,85.14,0.1769,1.0714,0.115,0.475,0.828,0.258
4,0.76,0.41,NO,N/A,51.68%,17.66%,121.1%,25.27%,89.79,0.1261,0.9816,0.085,0.458,0.873,0.207
5,0.68,0.17,NO,N/A,60.63%,15.75%,98.83%,13.5%,75.76,0.0895,0.6695,0.052,0.306,0.927,0.318
6,0.94,0.74,NO,N/A,16.42%,13.57%,91.42%,10.37%,68.84,0.0404,0.6231,0.02,0.25,0.968,0.357
7,1.0,1.0,YES,6.58e-03,14.76%,11.82%,85.11%,9.61%,65.0,13.727,1000.0,0.012,0.238,0.982,0.726
8*,0.97,0.76,YES,6.28e-02,14.3%,11.44%,45.34%,8.88%,42.68,0.0235,0.1904,0.01,0.092,0.985,0.779
9,0.98,0.91,YES,2.80e-01,14.31%,10.39%,44.85%,8.18%,42.45,0.0214,0.186,0.008,0.091,0.987,0.881
10,0.94,0.44,YES,Most Stab Sigs,13.48%,9.12%,42.06%,7.61%,40.86,0.0198,0.1722,0.008,0.084,0.988,0.89
11,0.82,-0.58,NO,N/A,14.11%,15.21%,50.23%,10.55%,47.11,0.0341,0.2275,0.009,0.115,0.986,0.849
12,0.82,0.03,NO,N/A,12.67%,9.26%,38.91%,6.67%,34.54,0.0193,0.1337,0.007,0.06,0.99,0.899
