Samples	SBS1	SBS2	SBS4	SBS5	SBS7a	SBS7b	SBS10a	SBS10b	SBS11	SBS13	SBS15	SBS17a	SBS17b	SBS19	SBS22a	SBS26	SBS28	SBS34	SBS44	SBS100
Biliary-AdenoCA::SP99325	23926	0	0	42558	0	0	0	0	0	0	0	0	0	0	0	66247	0	0	73798	0
Bladder-TCC::SP1059	0	10276	0	24839	0	0	0	0	0	15211	0	0	0	0	0	0	0	0	0	8859
Bladder-TCC::SP96136	512	17728	0	20687	0	0	0	0	0	12969	0	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP117369	181	30514	0	939	0	0	0	0	0	24020	0	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::SP2293	531	31885	0	1392	0	0	0	0	0	31257	0	0	0	0	0	0	0	0	0	0
CNS-GBM::SP25494	2243	0	0	12040	0	0	0	0	198942	0	0	0	0	31818	0	0	0	0	0	0
ColoRect-AdenoCA::SP18310	33489	0	0	24992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49746	0
ColoRect-AdenoCA::SP17172	33907	0	0	29832	0	0	0	0	0	0	0	0	0	0	0	11135	0	0	49488	0
ColoRect-AdenoCA::SP96133	14234	0	0	33155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33959	0
ColoRect-AdenoCA::SP110242	15222	0	15179	28044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55530	0
ColoRect-AdenoCA::SP21017	8430	0	0	28806	0	0	0	0	0	0	23555	0	0	0	0	0	0	0	27643	0
ColoRect-AdenoCA::SP22383	8090	0	0	25134	0	0	0	0	0	0	17474	0	4701	0	0	15520	0	0	26559	0
ColoRect-AdenoCA::SP81312	0	0	0	84413	0	0	277874	284492	0	0	80774	0	0	0	0	0	79934	0	0	0
ColoRect-AdenoCA::SP22031	4452	0	0	22126	0	0	118301	40955	0	0	0	0	0	0	0	0	48397	0	0	0
ColoRect-AdenoCA::SP19215	12906	0	0	14942	0	0	0	0	0	0	0	0	0	0	0	27473	0	0	39583	0
ColoRect-AdenoCA::SP16886	2305	0	0	89028	0	0	400486	105154	0	0	0	0	0	0	0	0	252309	0	0	0
ColoRect-AdenoCA::SP19295	6221	0	0	36253	0	0	130926	42840	0	0	0	0	0	0	0	0	43627	0	0	0
ColoRect-AdenoCA::SP17905	0	0	0	654227	0	0	950115	198756	0	0	0	0	0	0	0	0	629519	0	0	0
ColoRect-AdenoCA::SP18121	3100	0	0	20974	0	0	0	0	16535	0	16739	0	0	0	0	53227	0	0	50564	0
ColoRect-AdenoCA::SP21400	28386	0	0	187892	0	0	219862	206948	0	0	0	0	0	0	0	0	149952	0	0	0
ColoRect-AdenoCA::SP18946	17532	0	0	208984	0	0	441291	127740	0	0	0	0	0	0	0	0	165266	0	0	0
ColoRect-AdenoCA::SP80615	1045	0	0	458148	0	0	1043297	235890	0	0	0	0	0	0	0	0	688089	0	0	0
Eso-AdenoCA::SP111058	741	0	0	11170	0	0	0	0	0	0	0	12662	39410	0	0	0	0	0	0	0
Eso-AdenoCA::SP111066	390	0	0	22596	0	0	0	0	0	0	0	19117	37556	0	0	0	0	0	0	0
Eso-AdenoCA::SP111113	496	0	0	22148	0	0	0	0	0	0	0	13718	42778	0	0	0	0	0	0	0
Eso-AdenoCA::SP110865	1328	4709	0	27132	0	0	0	0	0	4951	0	5679	11952	0	0	0	0	0	0	0
Eso-AdenoCA::SP23502	1402	0	0	22482	0	0	0	0	0	0	0	15738	28508	0	0	0	6341	0	0	0
Eso-AdenoCA::SP111001	3736	0	0	22279	0	0	0	0	0	0	0	7325	26122	0	0	0	0	0	0	0
Eso-AdenoCA::SP111173	311	0	0	30507	0	0	0	0	0	0	0	22094	38668	0	0	0	14014	0	0	0
Eso-AdenoCA::SP111091	847	3401	0	16685	0	0	0	0	0	0	0	12642	21003	0	0	0	0	0	0	0
Eso-AdenoCA::SP111175	3084	0	0	36503	0	0	0	0	0	0	0	15947	68439	0	0	0	0	0	0	0
Eso-AdenoCA::SP111114	3719	0	0	23871	0	0	0	0	0	0	0	7945	22074	0	0	0	0	0	0	0
Head-SCC::SP30113	0	0	0	35914	0	0	0	0	0	0	0	0	0	0	8538	0	0	0	0	43171
