Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.946	60910.472	29.492%	11133.129	33.397%	0.07968	0.913
Bladder-TCC::SP1059	59185	0.989	12341.356	20.852%	1823.347	16.088%	0.06561	0.986
Bladder-TCC::SP96136	51896	0.998	5806.445	11.189%	869.31	6.311%	0.02015	0.998
Breast-AdenoCA::SP117369	55654	0.997	5926.957	10.65%	1681.572	7.364%	0.02586	0.997
Breast-AdenoCA::SP2293	65065	0.998	6037.244	9.279%	1569.331	6.037%	0.01946	0.998
CNS-GBM::SP25494	245043	0.995	27932.661	11.399%	7125.485	9.544%	0.01719	0.995
ColoRect-AdenoCA::SP18310	108227	0.991	19717.692	18.219%	3081.148	13.373%	0.04242	0.988
ColoRect-AdenoCA::SP17172	124362	0.981	26934.726	21.658%	4762.577	20.275%	0.06185	0.974
ColoRect-AdenoCA::SP96133	81348	0.969	21195.935	26.056%	3432.217	25.871%	0.08376	0.952
ColoRect-AdenoCA::SP110242	113975	0.974	30565.406	26.818%	4435.386	22.843%	0.07173	0.958
ColoRect-AdenoCA::SP21017	88434	0.973	23710.166	26.811%	3934.937	24.466%	0.07523	0.963
ColoRect-AdenoCA::SP22383	97478	0.974	24659.357	25.297%	3799.765	24.477%	0.06176	0.96
ColoRect-AdenoCA::SP81312	807487	0.997	136222.862	16.87%	23119.613	8.361%	0.04757	0.997
ColoRect-AdenoCA::SP22031	234231	0.998	33786.649	14.424%	5870.536	6.225%	0.03599	0.998
ColoRect-AdenoCA::SP19215	94904	0.977	21493.055	22.647%	3513.626	22.16%	0.0572	0.964
ColoRect-AdenoCA::SP16886	849282	0.998	122176.911	14.386%	22416.012	6.801%	0.04207	0.998
ColoRect-AdenoCA::SP19295	259867	0.996	53930.515	20.753%	9239.008	8.911%	0.0559	0.996
ColoRect-AdenoCA::SP17905	2432617	0.994	549128.971	22.574%	87249.2	11.177%	0.08623	0.993
ColoRect-AdenoCA::SP18121	161139	0.962	43190.128	26.803%	7385.788	27.923%	0.05917	0.938
ColoRect-AdenoCA::SP21400	793040	0.988	225802.335	28.473%	36812.939	15.735%	0.11757	0.986
ColoRect-AdenoCA::SP18946	960813	0.995	225244.236	23.443%	35739.73	10.47%	0.09013	0.994
ColoRect-AdenoCA::SP80615	2426469	0.997	419572.934	17.292%	64429.876	7.523%	0.05927	0.997
Eso-AdenoCA::SP111058	63983	0.997	11699.656	18.286%	2118.809	9.171%	0.05171	0.997
Eso-AdenoCA::SP111066	79659	0.986	22942.546	28.801%	4249.979	18.17%	0.12892	0.984
Eso-AdenoCA::SP111113	79140	0.993	18008.736	22.756%	3816.499	15.684%	0.04814	0.992
Eso-AdenoCA::SP110865	55751	0.983	14007.364	25.125%	2066.625	22.736%	0.05915	0.98
Eso-AdenoCA::SP23502	74471	0.992	16513.761	22.175%	2738.841	13.874%	0.06125	0.991
Eso-AdenoCA::SP111001	59462	0.987	16131.869	27.13%	2771.921	17.845%	0.09194	0.985
Eso-AdenoCA::SP111173	105594	0.993	23993.531	22.722%	3819.121	13.508%	0.05573	0.992
Eso-AdenoCA::SP111091	54578	0.987	13562.343	24.849%	2493.109	18.289%	0.06506	0.986
Eso-AdenoCA::SP111175	123973	0.993	35088.594	28.303%	6345.562	16.905%	0.11222	0.993
Eso-AdenoCA::SP111114	57609	0.979	17421.19	30.24%	3045.828	22.523%	0.11116	0.975
Head-SCC::SP30113	87623	0.974	18609.522	21.238%	2685.13	22.971%	0.04044	0.939
Head-SCC::SP30332	52507	0.973	11447.493	21.802%	1605.693	23.47%	0.03969	0.929
Head-SCC::SP30675	63185	0.965	16402.129	25.959%	2328.918	27.341%	0.06972	0.924
Liver-HCC::SP98090	63686	0.889	27527.803	43.224%	3915.616	46.007%	0.13739	0.715
Lung-AdenoCA::SP53460	53534	0.985	9780.381	18.269%	1427.19	17.65%	0.03349	0.972
Lung-AdenoCA::SP54113	110327	0.992	14000.015	12.69%	1942.979	12.684%	0.01732	0.984
Lung-AdenoCA::SP55235	113803	0.987	18010.958	15.826%	2584.9	16.255%	0.02243	0.974
Lung-AdenoCA::SP50611	53404	0.991	8007.745	14.995%	1164.896	14.013%	0.02225	0.985
Lung-AdenoCA::SP55142	157043	0.993	20129.134	12.818%	2756.572	11.985%	0.01732	0.987
