Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
Biliary-AdenoCA::SP99325	0	0	75555	0	113083	0	17891	0
Bladder-TCC::SP1059	0	0	0	20559	12208	0	0	26418
Bladder-TCC::SP96136	4704	722	1414	3287	8561	865	1972	30371
Breast-AdenoCA::SP117369	4665	0	0	0	0	0	0	50989
Breast-AdenoCA::SP2293	3301	0	0	0	0	0	0	61764
CNS-GBM::SP25494	20249	0	0	0	0	0	224794	0
ColoRect-AdenoCA::SP18310	0	0	91450	0	16777	0	0	0
ColoRect-AdenoCA::SP17172	3901	0	85736	0	27405	7320	0	0
ColoRect-AdenoCA::SP96133	1649	1585	43474	9332	17334	5250	2150	574
ColoRect-AdenoCA::SP110242	1343	1200	59535	17209	26106	3447	4942	193
ColoRect-AdenoCA::SP21017	1849	1949	56915	8449	12824	3698	2408	342
ColoRect-AdenoCA::SP22383	237	1517	47251	8241	26737	8283	4924	288
ColoRect-AdenoCA::SP81312	81973	598229	127285	0	0	0	0	0
ColoRect-AdenoCA::SP22031	0	234231	0	0	0	0	0	0
ColoRect-AdenoCA::SP19215	0	0	43406	0	43388	3391	4719	0
ColoRect-AdenoCA::SP16886	0	794011	0	0	0	55271	0	0
ColoRect-AdenoCA::SP19295	0	259867	0	0	0	0	0	0
ColoRect-AdenoCA::SP17905	0	1914475	0	0	276778	241364	0	0
ColoRect-AdenoCA::SP18121	0	0	47182	0	84238	0	29719	0
ColoRect-AdenoCA::SP21400	68161	584727	140152	0	0	0	0	0
ColoRect-AdenoCA::SP18946	0	878929	81884	0	0	0	0	0
ColoRect-AdenoCA::SP80615	0	2169723	0	0	0	256746	0	0
Eso-AdenoCA::SP111058	0	0	0	0	0	63983	0	0
Eso-AdenoCA::SP111066	0	0	0	0	0	70577	0	9082
Eso-AdenoCA::SP111113	0	0	0	0	0	79140	0	0
Eso-AdenoCA::SP110865	1174	510	2671	10160	7820	21633	2319	9464
Eso-AdenoCA::SP23502	1939	1493	1746	2138	6089	56221	1302	3543
Eso-AdenoCA::SP111001	3029	0	7844	0	0	44956	0	3633
Eso-AdenoCA::SP111173	0	4478	0	0	16738	84378	0	0
Eso-AdenoCA::SP111091	2060	328	732	3701	4933	37655	868	4301
Eso-AdenoCA::SP111175	0	0	0	17034	0	106939	0	0
Eso-AdenoCA::SP111114	0	0	7283	4980	0	38838	0	6508
Head-SCC::SP30113	0	0	0	63592	12768	0	4984	6279
Head-SCC::SP30332	827	300	856	34653	8633	472	3342	3424
Head-SCC::SP30675	284	186	512	44921	8469	455	3838	4520
Liver-HCC::SP98090	0	0	0	16468	38145	0	9073	0
Lung-AdenoCA::SP53460	1391	422	938	45711	1534	402	868	2268
Lung-AdenoCA::SP54113	0	0	0	78508	11693	1848	6220	12058
Lung-AdenoCA::SP55235	4136	19	2092	85830	8426	3057	3067	7176
Lung-AdenoCA::SP50611	1594	0	2033	48358	0	0	0	1419
Lung-AdenoCA::SP55142	1392	688	1417	101005	14890	2012	6690	28949
Lung-AdenoCA::SP53618	1673	110	1516	55488	873	107	382	1173
Lung-AdenoCA::SP53810	0	0	0	185584	0	0	0	0
Lung-AdenoCA::SP55509	1418	202	1452	57859	1715	85	307	3097
Lung-SCC::SP56553	0	0	0	53838	13160	0	0	66884
Lung-SCC::SP57941	1324	576	1565	63950	4130	359	946	2652
Lung-SCC::SP57818	0	0	1703	43549	0	0	0	4847
