Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.971	47515.683	23.007%	8036.931	24.109%	0.05005	0.951
Bladder-TCC::SP1059	59185	0.988	11703.697	19.775%	1914.926	16.896%	0.03896	0.983
Bladder-TCC::SP96136	51896	0.989	9581.669	18.463%	2044.544	14.843%	0.02804	0.987
Breast-AdenoCA::SP117369	55654	0.991	8772.033	15.762%	3315.837	14.52%	0.01989	0.991
Breast-AdenoCA::SP2293	65065	0.999	4393.982	6.753%	1146.898	4.412%	0.00824	0.999
CNS-GBM::SP25494	245043	0.996	38596.896	15.751%	8643.064	11.577%	0.03212	0.995
ColoRect-AdenoCA::SP18310	108227	0.965	29027.85	26.821%	6111.323	26.524%	0.06199	0.955
ColoRect-AdenoCA::SP17172	124362	0.981	22063.526	17.741%	4545.458	19.35%	0.02796	0.973
ColoRect-AdenoCA::SP96133	81348	0.993	9832.78	12.087%	1589.037	11.978%	0.01293	0.988
ColoRect-AdenoCA::SP110242	113975	0.982	19672.979	17.261%	3749.011	19.308%	0.02872	0.973
ColoRect-AdenoCA::SP21017	88434	0.984	12371.293	13.989%	2851.761	17.732%	0.01789	0.977
ColoRect-AdenoCA::SP22383	97478	0.988	15221.462	15.615%	2439.454	15.714%	0.02351	0.979
ColoRect-AdenoCA::SP81312	807487	0.962	241517.926	29.91%	76901.809	27.81%	0.09348	0.958
ColoRect-AdenoCA::SP22031	234231	0.999	24366.449	10.403%	4127.166	4.376%	1000.0	0.999
ColoRect-AdenoCA::SP19215	94904	0.981	15983.122	16.841%	3056.975	19.28%	0.03038	0.97
ColoRect-AdenoCA::SP16886	849282	0.993	140103.538	16.497%	38008.932	11.533%	0.03206	0.993
ColoRect-AdenoCA::SP19295	259867	0.996	44913.487	17.283%	9828.759	9.479%	1000.0	0.995
ColoRect-AdenoCA::SP17905	2432617	0.99	538319.297	22.129%	109598.491	14.04%	0.05057	0.989
ColoRect-AdenoCA::SP18121	161139	0.962	40549.325	25.164%	7280.948	27.526%	0.04766	0.937
ColoRect-AdenoCA::SP21400	793040	0.962	270754.285	34.141%	68110.21	29.112%	0.08614	0.957
ColoRect-AdenoCA::SP18946	960813	0.996	155099.109	16.142%	34460.102	10.095%	1000.0	0.996
ColoRect-AdenoCA::SP80615	2426469	0.993	435221.663	17.936%	110657.164	12.92%	0.03325	0.992
Eso-AdenoCA::SP111058	63983	0.99	12811.709	20.024%	3474.8	15.04%	0.09877	0.99
Eso-AdenoCA::SP111066	79659	0.993	13581.944	17.05%	2943.099	12.583%	0.05035	0.992
Eso-AdenoCA::SP111113	79140	0.997	16267.737	20.556%	3099.011	12.736%	0.14571	0.997
Eso-AdenoCA::SP110865	55751	0.993	8591.874	15.411%	1144.044	12.586%	0.02457	0.991
Eso-AdenoCA::SP23502	74471	0.995	8368.283	11.237%	1902.579	9.638%	0.01014	0.995
Eso-AdenoCA::SP111001	59462	0.993	11069.335	18.616%	1810.596	11.656%	0.04472	0.992
Eso-AdenoCA::SP111173	105594	0.989	21965.029	20.801%	4509.266	15.949%	0.066	0.987
Eso-AdenoCA::SP111091	54578	0.987	8411.083	15.411%	2167.144	15.897%	0.02227	0.985
Eso-AdenoCA::SP111175	123973	0.987	31840.197	25.683%	6120.454	16.305%	0.07307	0.985
Eso-AdenoCA::SP111114	57609	0.995	8132.088	14.116%	1339.634	9.906%	0.02765	0.994
Head-SCC::SP30113	87623	0.996	8496.615	9.697%	1080.075	9.24%	0.00881	0.991
Head-SCC::SP30332	52507	0.993	5472.904	10.423%	789.935	11.546%	0.00924	0.984
Head-SCC::SP30675	63185	0.997	4726.434	7.48%	674.421	7.917%	0.00513	0.993
Liver-HCC::SP98090	63686	0.903	25662.045	40.295%	3784.455	44.466%	0.12729	0.772
Lung-AdenoCA::SP53460	53534	0.997	5000.153	9.34%	693.587	8.577%	0.00887	0.994
Lung-AdenoCA::SP54113	110327	0.998	7040.17	6.381%	968.612	6.323%	0.00407	0.996
Lung-AdenoCA::SP55235	113803	0.997	7016.379	6.165%	1144.851	7.199%	0.00317	0.994
Lung-AdenoCA::SP50611	53404	0.994	6714.079	12.572%	933.969	11.235%	0.01631	0.989
Lung-AdenoCA::SP55142	157043	0.998	8124.757	5.174%	1307.062	5.683%	0.0022	0.997
Lung-AdenoCA::SP53618	61322	0.994	8365.644	13.642%	1121.063	11.559%	0.01523	0.991
Lung-AdenoCA::SP53810	185584	0.979	39229.578	21.138%	6598.082	20.882%	0.09388	0.967
Lung-AdenoCA::SP55509	66135	0.995	8387.714	12.683%	1129.445	10.921%	0.01287	0.992
Lung-SCC::SP56553	133882	0.975	24628.239	18.395%	6559.749	22.692%	0.02565	0.968
Lung-SCC::SP57941	75502	0.997	6279.953	8.318%	886.994	7.825%	0.00543	0.996
Lung-SCC::SP57818	50099	0.993	7171.49	14.315%	955.901	12.114%	0.02257	0.988
Lung-SCC::SP56704	53748	0.995	5327.356	9.912%	719.096	10.119%	0.01005	0.988
Lung-SCC::SP59245	55120	0.998	3594.791	6.522%	529.662	6.373%	0.00397	0.997
Lung-SCC::SP57933	57547	0.992	6856.267	11.914%	1071.144	13.505%	0.01231	0.984
Lung-SCC::SP57669	50722	0.997	3770.053	7.433%	531.081	8.017%	0.00517	0.993
Lung-SCC::SP58342	74224	0.969	11950.418	16.1%	2511.171	24.908%	0.0427	0.929
Lung-SCC::SP57619	53782	0.998	3276.149	6.092%	506.92	6.732%	0.00339	0.995
Lung-SCC::SP58245	59177	0.989	8156.919	13.784%	1133.903	14.722%	0.01429	0.972
Lung-SCC::SP57251	52103	0.992	6176.003	11.853%	909.967	13.011%	0.01267	0.982
Lung-SCC::SP58668	65970	0.992	8469.484	12.838%	1146.866	13.41%	0.01416	0.981
Lung-SCC::SP58326	71525	0.998	3880.052	5.425%	547.387	5.65%	0.00264	0.996
Lung-SCC::SP57267	51391	0.995	4614.414	8.979%	702.844	10.303%	0.00788	0.987
Lung-SCC::SP57066	57913	0.997	4320.619	7.461%	585.448	7.431%	0.00476	0.994
Lung-SCC::SP57846	53964	0.998	4381.629	8.12%	635.754	6.861%	0.00592	0.997
Lung-SCC::SP57189	113846	0.998	6827.21	5.997%	932.708	5.778%	0.00331	0.997
Lymph-BNHL::SP116668	66901	0.992	11222.726	16.775%	2206.911	13.821%	0.02329	0.991
Lymph-BNHL::SP116697	112529	0.943	36765.165	32.672%	5420.563	34.697%	0.09988	0.885
Panc-AdenoCA::SP125732	95745	0.962	24064.753	25.134%	4926.557	27.622%	0.05152	0.946
Panc-AdenoCA::SP125770	55454	0.955	15496.544	27.945%	2588.553	30.091%	0.07932	0.921
Skin-Melanoma::SP124389	70873	0.999	5476.926	7.728%	1304.956	4.845%	0.02191	0.999
Skin-Melanoma::SP124362	214810	0.999	16218.741	7.55%	4448.675	5.195%	0.01536	0.999
Skin-Melanoma::SP124394	105876	0.996	12048.69	11.38%	4215.854	9.835%	0.02378	0.996
