Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
LUAD.US_SP50827	18651	10083	2232	1326	1333	3466	1985	1725	386	532
LUAD.US_SP50263	679	60	241	1033	1536	1554	232	4435	268	396
LUAD.US_SP50317	722	730	158	7360	467	4493	756	1372	0	250
LUAD.US_SP54113	42861	19258	13983	8496	16417	3281	6192	384	2879	2036
LUSC.US_SP56537	16987	4425	8013	1650	2681	4808	785	1072	1809	196
LUAD.US_SP50406	65	18	0	4	0	3	8	486	0	5
LUSC.US_SP57586	4671	7419	7608	384	6756	5627	1268	1802	1089	498
LUAD.US_SP51824	3968	5050	2906	2686	3019	1270	2671	2536	792	140
LUAD.US_SP55387	9428	5201	2502	350	1077	1588	480	351	0	140
LUAD.US_SP52779	16889	10386	2503	2500	0	3241	2386	1593	415	53
LUSC.US_SP56541	16827	5843	3715	10372	3613	1609	796	1291	962	228
LUSC.US_SP56553	3942	19244	5134	71361	19466	9046	5478	896	791	757
LUAD.US_SP55235	38186	29992	9886	2974	17715	4697	7546	1631	1790	3584
LUAD.US_SP50713	2543	2424	489	3979	2267	0	1674	883	175	0
LUSC.US_SP56771	2050	345	3835	504	466	1579	883	1974	718	193
LUSC.US_SP57941	37482	17650	6590	2647	4110	5713	1150	1267	1658	572
LUAD.US_SP50611	29891	13572	0	1517	6735	1406	769	1698	296	0
LUSC.US_SP57818	27994	12502	906	4888	622	3441	1139	945	272	188
LUAD.US_SP50485	169	35	243	6	33	95	152	1506	35	62
LUSC.US_SP56460	5220	796	4373	3799	1795	6591	5855	1046	1167	423
LUSC.US_SP56474	0	0	663	5543	4034	2839	1832	2516	397	605
LUAD.US_SP51037	5	261	0	280	0	247	67	3003	160	272
LUSC.US_SP56704	13632	10679	11870	596	10641	3260	2236	1071	759	371
LUAD.US_SP55142	52398	26685	15319	24644	22703	5374	11471	1373	2415	2372
LUSC.US_SP56533	5120	2129	6233	767	1985	2320	930	1670	888	367
LUSC.US_SP56730	7702	6033	9599	1083	4768	3746	1208	1326	1140	439
LUSC.US_SP59245	13016	6934	5752	10261	8124	3122	6502	558	1126	1688
LUAD.US_SP53387	11854	7301	1232	3249	1492	2841	14890	177	339	352
LUSC.US_SP57024	4730	3149	6149	1513	1709	3041	1036	1616	926	173
LUAD.US_SP54745	4384	3433	0	9869	0	0	10689	0	0	20087
LUSC.US_SP57933	13328	6957	5623	9101	12219	7859	1593	566	1665	312
LUSC.US_SP56754	9887	3018	4764	4570	2705	2111	1556	1274	1615	209
LUSC.US_SP56827	19360	6157	5273	4425	4798	3021	759	672	1473	1208
LUAD.US_SP52284	143	0	493	230	529	1389	444	1862	66	119
LUAD.US_SP53618	34919	16929	3311	1400	1345	2480	1137	1229	918	192
LUAD.US_SP52232	10618	7445	901	340	4754	36	688	1572	552	115
LUAD.US_SP50412	0	36	558	15	120	160	82	982	76	86
LUSC.US_SP57084	7546	5959	8867	2493	5962	5812	3572	1800	1426	360
LUAD.US_SP50321	5855	3093	729	232	433	1132	335	1069	136	147
LUAD.US_SP53548	0	0	216	0	30	635	3	1139	271	7851
LUSC.US_SP57538	5216	5638	12478	4910	6142	2531	196	1943	1406	612
LUSC.US_SP57735	11629	5807	8145	5124	7102	3256	1303	1148	1687	435
LUSC.US_SP57669	14363	11248	8922	2283	7038	3896	422	1090	3159	745
LUSC.US_SP56566	2987	973	1490	8442	0	2241	6071	881	503	13
LUSC.US_SP56569	9439	4151	6258	4019	5761	3051	842	766	1709	484
LUSC.US_SP58342	16669	11411	1963	10855	4405	3851	2157	3619	20636	390
LUSC.US_SP58349	9165	4592	9964	840	13285	5525	943	1463	1638	933
LUSC.US_SP56644	10703	7074	9059	2828	6690	7322	3045	1729	1116	355
LUSC.US_SP57629	5850	1305	6845	477	1781	9442	2267	2693	795	353
LUSC.US_SP56941	112	0	85	2914	0	0	913	1223	129	14
LUSC.US_SP57619	24681	9507	6434	2441	6213	3455	941	713	2598	339
LUSC.US_SP58245	17898	4300	13602	3322	12749	4417	1230	957	2722	395
LUSC.US_SP57251	9720	6592	11430	5626	7527	5827	4570	563	1935	447
LUAD.US_SP55004	62	1	97	10	3	37	0	331	22	7
LUAD.US_SP56079	20000	15096	871	1288	7881	89	1618	1778	465	1117
LUSC.US_SP56502	12614	4996	7820	5603	5176	4432	3037	1675	1243	398
LUSC.US_SP58668	6091	18408	13682	4621	11373	7278	3111	482	2417	421
LUSC.US_SP58101	7585	5640	11479	1816	8085	2380	491	952	2192	506
LUSC.US_SP58991	3905	3836	5773	669	4114	5947	2152	1468	1051	297
LUSC.US_SP56607	3519	2883	5041	897	2170	3246	1320	1006	1532	137
LUAD.US_SP56168	283	449	113	13821	164	3100	13931	746	199	563
LUSC.US_SP58326	21009	14143	13335	2051	10119	7786	1819	402	2809	51
LUAD.US_SP54363	16666	8239	1782	5631	501	4204	5871	685	530	455
LUAD.US_SP53810	72341	105137	0	2120	0	9429	897	0	426	303
LUAD.US_SP50518	436	0	205	274	1166	869	481	2597	131	232
LUAD.US_SP56303	2213	611	0	1074	277	7811	403	2765	271	512
LUSC.US_SP57267	18487	6269	12379	2204	4931	3762	1850	932	2228	558
LUAD.US_SP55711	234	82	522	902	775	1450	1239	2502	0	223
LUSC.US_SP57066	13186	16008	8671	3338	4618	7855	2568	1482	1768	166
LUSC.US_SP57901	6086	2961	5316	908	4281	5212	1385	1587	1998	404
LUAD.US_SP55509	37324	15218	5162	3553	207	3701	1378	600	1127	222
LUSC.US_SP57651	666	3211	3438	2192	3706	2065	866	1371	838	369
LUAD.US_SP55309	118	7	14	23	52	0	113	1415	44	26
LUAD.US_SP52607	170	335	14	397	102	81	516	2193	157	71
LUAD.US_SP52667	14083	11157	0	171	5790	1067	911	1293	8	311
LUSC.US_SP57450	1978	707	1474	9992	2758	2275	3354	2332	296	308
LUSC.US_SP57846	7254	11070	6241	14325	2249	2373	8579	1087	1672	237
LUSC.US_SP58612	8175	2511	4565	660	1070	748	968	3692	6075	709
LUSC.US_SP56821	7528	5978	5119	270	2727	3049	1421	1304	4388	234
LUAD.US_SP51446	0	594	547	73	169	722	637	2714	136	66
LUAD.US_SP50592	5	242	511	57	0	689	417	2869	176	146
LUAD.US_SP53073	5155	6953	3816	279	949	575	534	1011	648	4327
LUSC.US_SP58882	1794	1112	8385	2829	3196	2242	901	2304	1267	621
LUSC.US_SP57189	46100	21422	18988	10146	8308	6683	2909	0	3631	322
