Samples	SBS96A
LUAD.US_SP50827	41719
LUAD.US_SP50263	10434
LUAD.US_SP50317	16308
LUAD.US_SP54113	115787
LUSC.US_SP56537	42426
LUAD.US_SP50406	589
LUSC.US_SP57586	37122
LUAD.US_SP51824	25038
LUAD.US_SP55387	21117
LUAD.US_SP52779	39966
LUSC.US_SP56541	45256
LUSC.US_SP56553	136115
LUAD.US_SP55235	118001
LUAD.US_SP50713	14434
LUSC.US_SP56771	12547
LUSC.US_SP57941	78839
LUAD.US_SP50611	55884
LUSC.US_SP57818	52897
LUAD.US_SP50485	2336
LUSC.US_SP56460	31065
LUSC.US_SP56474	18429
LUAD.US_SP51037	4295
LUSC.US_SP56704	55115
LUAD.US_SP55142	164754
LUSC.US_SP56533	22409
LUSC.US_SP56730	37044
LUSC.US_SP59245	57083
LUAD.US_SP53387	43727
LUSC.US_SP57024	24042
LUAD.US_SP54745	48462
LUSC.US_SP57933	59223
LUSC.US_SP56754	31709
LUSC.US_SP56827	47146
LUAD.US_SP52284	5275
LUAD.US_SP53618	63860
LUAD.US_SP52232	27021
LUAD.US_SP50412	2115
LUSC.US_SP57084	43797
LUAD.US_SP50321	13161
LUAD.US_SP53548	10145
LUSC.US_SP57538	41072
LUSC.US_SP57735	45636
LUSC.US_SP57669	53166
LUSC.US_SP56566	23601
LUSC.US_SP56569	36480
LUSC.US_SP58342	75956
LUSC.US_SP58349	48348
LUSC.US_SP56644	49921
LUSC.US_SP57629	31808
LUSC.US_SP56941	5390
LUSC.US_SP57619	57322
LUSC.US_SP58245	61592
LUSC.US_SP57251	54237
LUAD.US_SP55004	570
LUAD.US_SP56079	50203
LUSC.US_SP56502	46994
LUSC.US_SP58668	67884
LUSC.US_SP58101	41126
LUSC.US_SP58991	29212
LUSC.US_SP56607	21751
LUAD.US_SP56168	33369
LUSC.US_SP58326	73524
LUAD.US_SP54363	44564
LUAD.US_SP53810	190653
LUAD.US_SP50518	6391
LUAD.US_SP56303	15937
LUSC.US_SP57267	53600
LUAD.US_SP55711	7929
LUSC.US_SP57066	59660
LUSC.US_SP57901	30138
LUAD.US_SP55509	68492
LUSC.US_SP57651	18722
LUAD.US_SP55309	1812
LUAD.US_SP52607	4036
LUAD.US_SP52667	34791
LUSC.US_SP57450	25474
LUSC.US_SP57846	55087
LUSC.US_SP58612	29173
LUSC.US_SP56821	32018
LUAD.US_SP51446	5658
LUAD.US_SP50592	5112
LUAD.US_SP53073	24247
LUSC.US_SP58882	24651
LUSC.US_SP57189	118509
