Samples	SBS96A
LUAD.US_SP50827	0.00E+00
LUAD.US_SP50263	0.00E+00
LUAD.US_SP50317	0.00E+00
LUAD.US_SP54113	0.00E+00
LUSC.US_SP56537	0.00E+00
LUAD.US_SP50406	0.00E+00
LUSC.US_SP57586	0.00E+00
LUAD.US_SP51824	0.00E+00
LUAD.US_SP55387	0.00E+00
LUAD.US_SP52779	0.00E+00
LUSC.US_SP56541	0.00E+00
LUSC.US_SP56553	0.00E+00
LUAD.US_SP55235	0.00E+00
LUAD.US_SP50713	0.00E+00
LUSC.US_SP56771	0.00E+00
LUSC.US_SP57941	0.00E+00
LUAD.US_SP50611	0.00E+00
LUSC.US_SP57818	0.00E+00
LUAD.US_SP50485	0.00E+00
LUSC.US_SP56460	0.00E+00
LUSC.US_SP56474	0.00E+00
LUAD.US_SP51037	0.00E+00
LUSC.US_SP56704	0.00E+00
LUAD.US_SP55142	0.00E+00
LUSC.US_SP56533	0.00E+00
LUSC.US_SP56730	0.00E+00
LUSC.US_SP59245	0.00E+00
LUAD.US_SP53387	0.00E+00
LUSC.US_SP57024	0.00E+00
LUAD.US_SP54745	0.00E+00
LUSC.US_SP57933	0.00E+00
LUSC.US_SP56754	0.00E+00
LUSC.US_SP56827	0.00E+00
LUAD.US_SP52284	0.00E+00
LUAD.US_SP53618	0.00E+00
LUAD.US_SP52232	0.00E+00
LUAD.US_SP50412	0.00E+00
LUSC.US_SP57084	0.00E+00
LUAD.US_SP50321	0.00E+00
LUAD.US_SP53548	0.00E+00
LUSC.US_SP57538	0.00E+00
LUSC.US_SP57735	0.00E+00
LUSC.US_SP57669	0.00E+00
LUSC.US_SP56566	0.00E+00
LUSC.US_SP56569	0.00E+00
LUSC.US_SP58342	0.00E+00
LUSC.US_SP58349	0.00E+00
LUSC.US_SP56644	0.00E+00
LUSC.US_SP57629	0.00E+00
LUSC.US_SP56941	0.00E+00
LUSC.US_SP57619	0.00E+00
LUSC.US_SP58245	0.00E+00
LUSC.US_SP57251	0.00E+00
LUAD.US_SP55004	0.00E+00
LUAD.US_SP56079	0.00E+00
LUSC.US_SP56502	0.00E+00
LUSC.US_SP58668	0.00E+00
LUSC.US_SP58101	0.00E+00
LUSC.US_SP58991	0.00E+00
LUSC.US_SP56607	0.00E+00
LUAD.US_SP56168	0.00E+00
LUSC.US_SP58326	0.00E+00
LUAD.US_SP54363	0.00E+00
LUAD.US_SP53810	0.00E+00
LUAD.US_SP50518	0.00E+00
LUAD.US_SP56303	0.00E+00
LUSC.US_SP57267	0.00E+00
LUAD.US_SP55711	0.00E+00
LUSC.US_SP57066	0.00E+00
LUSC.US_SP57901	0.00E+00
LUAD.US_SP55509	0.00E+00
LUSC.US_SP57651	0.00E+00
LUAD.US_SP55309	0.00E+00
LUAD.US_SP52607	0.00E+00
LUAD.US_SP52667	0.00E+00
LUSC.US_SP57450	0.00E+00
LUSC.US_SP57846	0.00E+00
LUSC.US_SP58612	0.00E+00
LUSC.US_SP56821	0.00E+00
LUAD.US_SP51446	0.00E+00
LUAD.US_SP50592	0.00E+00
LUAD.US_SP53073	0.00E+00
LUSC.US_SP58882	0.00E+00
LUSC.US_SP57189	0.00E+00
