NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9496.07	33.421	1822.671	39.603	0.137	0.801	20000.0
2	9490.476	33.427	1816.601	39.64	0.137	0.8	20000.0
3	9469.394	33.304	1813.549	39.494	0.137	0.801	20000.0
4	9515.129	33.482	1825.867	39.713	0.136	0.799	20000.0
5	9459.468	33.272	1818.078	39.528	0.137	0.801	20000.0
6	9490.305	33.293	1821.297	39.529	0.136	0.802	40000.0
7	9499.633	33.502	1822.711	39.618	0.137	0.801	20000.0
8	9488.542	33.407	1817.045	39.624	0.138	0.8	20000.0
9	9491.773	33.535	1824.845	39.686	0.14	0.8	20000.0
10	9480.549	33.462	1818.515	39.663	0.138	0.799	30000.0
11	9492.354	33.407	1821.906	39.637	0.136	0.8	20000.0
12	9467.686	33.292	1816.374	39.486	0.137	0.801	20000.0
13	9523.321	33.519	1824.459	39.608	0.138	0.801	20000.0
14	9504.073	33.429	1816.452	39.51	0.137	0.801	20000.0
15	9528.447	33.571	1826.722	39.756	0.139	0.799	30000.0
16	9496.284	33.543	1822.588	39.69	0.138	0.799	20000.0
17	9477.756	33.583	1819.227	39.636	0.139	0.8	20000.0
18	9502.809	33.491	1822.196	39.633	0.137	0.8	20000.0
19	9490.992	33.346	1818.214	39.489	0.135	0.802	20000.0
20	9507.282	33.425	1824.633	39.622	0.137	0.801	20000.0
21	9520.979	33.682	1822.651	39.756	0.14	0.798	20000.0
22	9520.443	33.429	1825.38	39.597	0.137	0.801	20000.0
23	9471.658	33.364	1813.699	39.537	0.136	0.801	30000.0
24	9508.971	33.451	1824.291	39.62	0.137	0.801	20000.0
25	9487.352	33.411	1819.072	39.571	0.138	0.8	40000.0
26	9486.611	33.373	1813.904	39.493	0.137	0.802	20000.0
27	9467.198	33.26	1814.819	39.562	0.137	0.801	20000.0
28	9487.27	33.436	1816.235	39.554	0.137	0.801	20000.0
29	9451.758	33.183	1816.672	39.424	0.136	0.803	40000.0
30	9486.325	33.481	1819.911	39.668	0.137	0.799	20000.0
31	9453.239	33.345	1813.058	39.467	0.137	0.801	20000.0
32	9465.838	33.369	1816.988	39.524	0.138	0.801	40000.0
33	9467.029	33.332	1816.978	39.531	0.136	0.801	20000.0
34	9460.755	33.387	1814.009	39.582	0.138	0.8	20000.0
35	9497.518	33.549	1819.972	39.719	0.139	0.799	20000.0
36	9465.948	33.289	1817.839	39.487	0.136	0.801	20000.0
37	9453.537	33.296	1811.6	39.398	0.137	0.802	20000.0
38	9468.536	33.242	1815.617	39.438	0.135	0.803	30000.0
39	9490.594	33.469	1825.66	39.7	0.137	0.8	20000.0
40	9484.446	33.509	1822.643	39.709	0.139	0.799	40000.0
41	9507.964	33.494	1825.177	39.652	0.138	0.8	20000.0
42	9473.147	33.391	1818.182	39.567	0.137	0.801	20000.0
43	9493.167	33.486	1815.297	39.439	0.138	0.802	20000.0
44	9462.489	33.279	1817.36	39.492	0.136	0.802	40000.0
45	9484.789	33.432	1819.056	39.583	0.138	0.8	20000.0
46	9510.067	33.59	1825.212	39.701	0.139	0.8	20000.0
47	9458.684	33.383	1815.639	39.56	0.137	0.801	20000.0
48	9502.089	33.359	1821.782	39.569	0.137	0.801	30000.0
49	9510.565	33.43	1821.044	39.534	0.137	0.802	20000.0
50	9498.526	33.465	1820.018	39.639	0.137	0.8	20000.0
51	9489.84	33.397	1821.897	39.621	0.136	0.801	20000.0
52	9487.196	33.511	1819.538	39.677	0.138	0.799	20000.0
53	9513.555	33.506	1828.236	39.64	0.137	0.801	20000.0
54	9497.484	33.401	1819.963	39.546	0.136	0.801	20000.0
55	9466.347	33.367	1819.033	39.596	0.138	0.8	20000.0
56	9477.854	33.457	1818.042	39.608	0.138	0.8	20000.0
57	9476.927	33.262	1819.647	39.565	0.136	0.8	20000.0
58	9486.164	33.423	1820.037	39.679	0.138	0.799	20000.0
59	9493.725	33.424	1824.183	39.673	0.137	0.799	20000.0
60	9519.276	33.524	1824.851	39.661	0.138	0.8	20000.0
61	9460.533	33.33	1814.958	39.469	0.136	0.802	20000.0
62	9509.57	33.418	1824.012	39.66	0.137	0.8	20000.0
63	9492.067	33.366	1818.292	39.461	0.137	0.802	20000.0
64	9504.776	33.367	1823.123	39.61	0.136	0.801	20000.0
65	9484.835	33.452	1821.03	39.683	0.138	0.799	20000.0
66	9491.114	33.519	1820.01	39.64	0.138	0.799	20000.0
67	9483.248	33.415	1819.604	39.476	0.137	0.802	20000.0
68	9492.268	33.504	1824.542	39.758	0.139	0.798	20000.0
69	9511.644	33.501	1823.567	39.641	0.137	0.8	40000.0
70	9461.752	33.369	1818.724	39.612	0.138	0.8	20000.0
71	9483.295	33.45	1823.041	39.664	0.138	0.8	30000.0
72	9442.732	33.306	1816.355	39.529	0.137	0.801	20000.0
73	9487.433	33.334	1822.236	39.585	0.136	0.801	30000.0
74	9495.521	33.436	1820.372	39.612	0.137	0.801	30000.0
75	9465.714	33.456	1816.929	39.494	0.138	0.801	20000.0
76	9518.491	33.577	1822.417	39.706	0.138	0.799	20000.0
77	9502.843	33.369	1822.526	39.648	0.136	0.801	30000.0
78	9476.073	33.212	1813.661	39.413	0.135	0.803	20000.0
79	9488.1	33.573	1817.292	39.7	0.139	0.798	20000.0
80	9508.552	33.463	1823.015	39.63	0.137	0.8	20000.0
81	9515.314	33.537	1826.511	39.601	0.138	0.801	30000.0
82	9474.287	33.422	1817.814	39.612	0.138	0.799	30000.0
83	9496.511	33.42	1818.016	39.564	0.138	0.801	20000.0
84	9483.489	33.336	1813.851	39.498	0.136	0.802	20000.0
85	9495.877	33.343	1820.836	39.614	0.137	0.801	30000.0
86	9491.092	33.259	1820.951	39.557	0.136	0.801	20000.0
87	9490.002	33.322	1820.568	39.472	0.136	0.803	30000.0
88	9472.636	33.411	1815.17	39.504	0.138	0.801	20000.0
89	9480.171	33.39	1819.237	39.482	0.136	0.802	20000.0
90	9467.471	33.336	1814.119	39.55	0.137	0.801	20000.0
91	9500.205	33.538	1822.053	39.663	0.137	0.799	20000.0
92	9493.69	33.351	1819.415	39.593	0.137	0.8	20000.0
