Samples	SBS96A	SBS96B
LUAD.US_SP50827	36077	5642
LUAD.US_SP50263	5798	4636
LUAD.US_SP50317	4098	12210
LUAD.US_SP54113	90202	25585
LUSC.US_SP56537	36564	5862
LUAD.US_SP50406	372	217
LUSC.US_SP57586	30887	6235
LUAD.US_SP51824	15385	9653
LUAD.US_SP55387	19392	1725
LUAD.US_SP52779	32642	7324
LUSC.US_SP56541	28624	16632
LUSC.US_SP56553	29155	106960
LUAD.US_SP55235	97815	20186
LUAD.US_SP50713	6144	8290
LUSC.US_SP56771	8653	3894
LUSC.US_SP57941	71522	7317
LUAD.US_SP50611	51676	4208
LUSC.US_SP57818	44540	8357
LUAD.US_SP50485	1370	966
LUSC.US_SP56460	15073	15992
LUSC.US_SP56474	4814	13615
LUAD.US_SP51037	2208	2087
LUSC.US_SP56704	47067	8048
LUAD.US_SP55142	108434	56320
LUSC.US_SP56533	17626	4783
LUSC.US_SP56730	30468	6576
LUSC.US_SP59245	30651	26432
LUAD.US_SP53387	20213	23514
LUSC.US_SP57024	18058	5984
LUAD.US_SP54745	8882	39580
LUSC.US_SP57933	39592	19631
LUSC.US_SP56754	21146	10563
LUSC.US_SP56827	37586	9560
LUAD.US_SP52284	2997	2278
LUAD.US_SP53618	59761	4099
LUAD.US_SP52232	24450	2571
LUAD.US_SP50412	1333	782
LUSC.US_SP57084	31039	12758
LUAD.US_SP50321	11860	1301
LUAD.US_SP53548	4323	5822
LUSC.US_SP57538	28876	12196
LUSC.US_SP57735	32957	12679
LUSC.US_SP57669	45678	7488
LUSC.US_SP56566	4342	19259
LUSC.US_SP56569	26590	9890
LUSC.US_SP58342	50800	25156
LUSC.US_SP58349	40200	8148
LUSC.US_SP56644	37411	12510
LUSC.US_SP57629	24067	7741
LUSC.US_SP56941	0	5390
LUSC.US_SP57619	50165	7157
LUSC.US_SP58245	49629	11963
LUSC.US_SP57251	35251	18986
LUAD.US_SP55004	398	172
LUAD.US_SP56079	44463	5740
LUSC.US_SP56502	31546	15448
LUSC.US_SP58668	51183	16701
LUSC.US_SP58101	33578	7548
LUSC.US_SP58991	21957	7255
LUSC.US_SP56607	16355	5396
LUAD.US_SP56168	0	33369
LUSC.US_SP58326	63544	9980
LUAD.US_SP54363	28761	15803
LUAD.US_SP53810	187468	3185
LUAD.US_SP50518	3616	2775
LUAD.US_SP56303	11427	4510
LUSC.US_SP57267	44431	9169
LUAD.US_SP55711	3122	4807
LUSC.US_SP57066	48019	11641
LUSC.US_SP57901	23632	6506
LUAD.US_SP55509	61158	7334
LUSC.US_SP57651	11745	6977
LUAD.US_SP55309	954	858
LUAD.US_SP52607	1633	2403
LUAD.US_SP52667	32184	2607
LUSC.US_SP57450	5402	20072
LUSC.US_SP57846	22573	32514
LUSC.US_SP58612	23531	5642
LUSC.US_SP56821	27056	4962
LUAD.US_SP51446	3173	2485
LUAD.US_SP50592	2853	2259
LUAD.US_SP53073	20594	3653
LUSC.US_SP58882	15074	9577
LUSC.US_SP57189	96205	22304
