Samples	SBS96A	SBS96B
LUAD.US_SP50827	3.22E+01	3.22E+01
LUAD.US_SP50263	1.13E+01	1.13E+01
LUAD.US_SP50317	1.19E+01	1.19E+01
LUAD.US_SP54113	8.01E+01	8.01E+01
LUSC.US_SP56537	3.46E+01	3.46E+01
LUAD.US_SP50406	2.46E+00	2.46E+00
LUSC.US_SP57586	3.06E+01	3.06E+01
LUAD.US_SP51824	1.84E+01	1.84E+01
LUAD.US_SP55387	1.79E+01	1.79E+01
LUAD.US_SP52779	2.95E+01	2.95E+01
LUSC.US_SP56541	3.29E+01	3.29E+01
LUSC.US_SP56553	6.65E+01	6.65E+01
LUAD.US_SP55235	8.06E+01	8.06E+01
LUAD.US_SP50713	1.16E+01	1.16E+01
LUSC.US_SP56771	1.22E+01	1.22E+01
LUSC.US_SP57941	6.04E+01	6.04E+01
LUAD.US_SP50611	4.43E+01	4.43E+01
LUSC.US_SP57818	3.78E+01	3.78E+01
LUAD.US_SP50485	4.70E+00	4.70E+00
LUSC.US_SP56460	2.33E+01	2.33E+01
LUSC.US_SP56474	1.36E+01	1.36E+01
LUAD.US_SP51037	6.17E+00	6.17E+00
LUSC.US_SP56704	4.31E+01	4.31E+01
LUAD.US_SP55142	9.95E+01	9.95E+01
LUSC.US_SP56533	1.91E+01	1.91E+01
LUSC.US_SP56730	2.69E+01	2.69E+01
LUSC.US_SP59245	3.78E+01	3.78E+01
LUAD.US_SP53387	2.71E+01	2.71E+01
LUSC.US_SP57024	2.06E+01	2.06E+01
LUAD.US_SP54745	2.59E+01	2.59E+01
LUSC.US_SP57933	4.13E+01	4.13E+01
LUSC.US_SP56754	2.46E+01	2.46E+01
LUSC.US_SP56827	3.63E+01	3.63E+01
LUAD.US_SP52284	7.44E+00	7.44E+00
LUAD.US_SP53618	5.05E+01	5.05E+01
LUAD.US_SP52232	2.14E+01	2.14E+01
LUAD.US_SP50412	5.15E+00	5.15E+00
LUSC.US_SP57084	3.08E+01	3.08E+01
LUAD.US_SP50321	1.10E+01	1.10E+01
LUAD.US_SP53548	0.00E+00	0.00E+00
LUSC.US_SP57538	3.18E+01	3.18E+01
LUSC.US_SP57735	3.43E+01	3.43E+01
LUSC.US_SP57669	3.95E+01	3.95E+01
LUSC.US_SP56566	1.71E+01	1.71E+01
LUSC.US_SP56569	2.80E+01	2.80E+01
LUSC.US_SP58342	5.42E+01	5.42E+01
LUSC.US_SP58349	3.75E+01	3.75E+01
LUSC.US_SP56644	3.33E+01	3.33E+01
LUSC.US_SP57629	2.51E+01	2.51E+01
LUSC.US_SP56941	5.22E+00	5.22E+00
LUSC.US_SP57619	4.38E+01	4.38E+01
LUSC.US_SP58245	4.50E+01	4.50E+01
LUSC.US_SP57251	3.95E+01	3.95E+01
LUAD.US_SP55004	2.22E+00	2.21E+00
LUAD.US_SP56079	3.93E+01	3.93E+01
LUSC.US_SP56502	3.24E+01	3.24E+01
LUSC.US_SP58668	4.83E+01	4.83E+01
LUSC.US_SP58101	3.44E+01	3.44E+01
LUSC.US_SP58991	2.06E+01	2.06E+01
LUSC.US_SP56607	2.12E+01	2.12E+01
LUAD.US_SP56168	2.04E+01	2.04E+01
LUSC.US_SP58326	5.23E+01	5.23E+01
LUAD.US_SP54363	2.88E+01	2.88E+01
LUAD.US_SP53810	1.54E+02	1.54E+02
LUAD.US_SP50518	8.00E+00	8.00E+00
LUAD.US_SP56303	1.29E+01	1.29E+01
LUSC.US_SP57267	3.83E+01	3.83E+01
LUAD.US_SP55711	9.21E+00	9.21E+00
LUSC.US_SP57066	4.19E+01	4.19E+01
LUSC.US_SP57901	2.55E+01	2.55E+01
LUAD.US_SP55509	5.03E+01	5.03E+01
LUSC.US_SP57651	1.50E+01	1.50E+01
LUAD.US_SP55309	3.78E+00	3.78E+00
LUAD.US_SP52607	6.16E+00	6.16E+00
LUAD.US_SP52667	2.76E+01	2.76E+01
LUSC.US_SP57450	1.77E+01	1.77E+01
LUSC.US_SP57846	3.27E+01	3.27E+01
LUSC.US_SP58612	2.44E+01	2.44E+01
LUSC.US_SP56821	2.67E+01	2.67E+01
LUAD.US_SP51446	7.06E+00	7.06E+00
LUAD.US_SP50592	8.40E+00	8.40E+00
LUAD.US_SP53073	1.91E+01	1.91E+01
LUSC.US_SP58882	2.10E+01	2.10E+01
LUSC.US_SP57189	8.69E+01	8.69E+01
