Samples	SBS96A	SBS96B	SBS96C
LUAD.US_SP50827	34549	2995	4175
LUAD.US_SP50263	2395	6030	2009
LUAD.US_SP50317	4307	1910	10091
LUAD.US_SP54113	80067	17669	18051
LUSC.US_SP56537	29210	10093	3123
LUAD.US_SP50406	102	437	50
LUSC.US_SP57586	20858	13720	2544
LUAD.US_SP51824	12154	6369	6515
LUAD.US_SP55387	17965	2042	1110
LUAD.US_SP52779	32135	1994	5837
LUSC.US_SP56541	28278	3399	13579
LUSC.US_SP56553	37718	2958	95439
LUAD.US_SP55235	87198	17283	13520
LUAD.US_SP50713	6329	1208	6897
LUSC.US_SP56771	4330	6583	1634
LUSC.US_SP57941	67378	6370	5091
LUAD.US_SP50611	52375	0	3509
LUSC.US_SP57818	45737	0	7160
LUAD.US_SP50485	307	1761	268
LUSC.US_SP56460	11552	8376	11137
LUSC.US_SP56474	2998	5987	9444
LUAD.US_SP51037	365	3299	631
LUSC.US_SP56704	35362	15904	3849
LUAD.US_SP55142	101908	19084	43762
LUSC.US_SP56533	11152	9178	2079
LUSC.US_SP56730	20909	13197	2938
LUSC.US_SP59245	27553	9466	20064
LUAD.US_SP53387	21781	1970	19976
LUSC.US_SP57024	12137	8810	3095
LUAD.US_SP54745	4178	19700	24584
LUSC.US_SP57933	33789	11413	14021
LUSC.US_SP56754	17478	6899	7332
LUSC.US_SP56827	33123	7453	6570
LUAD.US_SP52284	1226	3068	981
LUAD.US_SP53618	59829	723	3308
LUAD.US_SP52232	22519	2852	1650
LUAD.US_SP50412	228	1722	165
LUSC.US_SP57084	22163	14181	7453
LUAD.US_SP50321	10882	1459	820
LUAD.US_SP53548	0	9973	172
LUSC.US_SP57538	17961	16785	6326
LUSC.US_SP57735	25713	11855	8068
LUSC.US_SP57669	35334	14111	3721
LUSC.US_SP56566	5218	1892	16491
LUSC.US_SP56569	20499	9812	6169
LUSC.US_SP58342	37760	22297	15899
LUSC.US_SP58349	26121	19132	3095
LUSC.US_SP56644	28311	14161	7449
LUSC.US_SP57629	15315	12873	3620
LUSC.US_SP56941	0	854	4536
LUSC.US_SP57619	43932	8903	4487
LUSC.US_SP58245	35433	20059	6100
LUSC.US_SP57251	26213	15849	12175
LUAD.US_SP55004	109	429	32
LUAD.US_SP56079	42695	3351	4157
LUSC.US_SP56502	25406	11156	10432
LUSC.US_SP58668	38323	19697	9864
LUSC.US_SP58101	21464	16582	3080
LUSC.US_SP58991	14717	10803	3692
LUSC.US_SP56607	10765	8263	2723
LUAD.US_SP56168	938	1174	31257
LUSC.US_SP58326	50583	17664	5277
LUAD.US_SP54363	29750	1517	13297
LUAD.US_SP53810	187675	0	2978
LUAD.US_SP50518	1474	3746	1171
LUAD.US_SP56303	8076	5436	2425
LUSC.US_SP57267	33744	14996	4860
LUAD.US_SP55711	1461	3737	2731
LUSC.US_SP57066	40213	11987	7460
LUSC.US_SP57901	15979	11032	3127
LUAD.US_SP55509	61031	1482	5979
LUSC.US_SP57651	7506	7244	3972
LUAD.US_SP55309	148	1416	248
LUAD.US_SP52607	562	2277	1197
LUAD.US_SP52667	31317	1601	1873
LUSC.US_SP57450	5175	4231	16068
LUSC.US_SP57846	22254	6337	26496
LUSC.US_SP58612	13987	13202	1984
LUSC.US_SP56821	19127	10755	2136
LUAD.US_SP51446	1139	3526	993
LUAD.US_SP50592	677	3710	725
LUAD.US_SP53073	14169	8988	1090
LUSC.US_SP58882	7039	13129	4483
LUSC.US_SP57189	85557	17241	15711
