Samples	SBS96A	SBS96B	SBS96C
LUAD.US_SP50827	5.63E+01	1.80E+01	6.17E+01
LUAD.US_SP50263	9.16E+00	1.32E+01	1.07E+01
LUAD.US_SP50317	2.77E+01	2.70E+01	3.32E+01
LUAD.US_SP54113	1.40E+02	4.85E+01	1.45E+02
LUSC.US_SP56537	4.79E+01	2.28E+01	5.00E+01
LUAD.US_SP50406	1.79E+00	2.11E+00	1.42E+00
LUSC.US_SP57586	3.64E+01	2.19E+01	3.05E+01
LUAD.US_SP51824	2.96E+01	2.16E+01	3.00E+01
LUAD.US_SP55387	2.77E+01	1.33E+01	3.27E+01
LUAD.US_SP52779	5.48E+01	2.21E+01	6.19E+01
LUSC.US_SP56541	6.18E+01	3.50E+01	6.22E+01
LUSC.US_SP56553	2.34E+02	2.19E+02	2.80E+02
LUAD.US_SP55235	1.38E+02	4.50E+01	1.47E+02
LUAD.US_SP50713	2.31E+01	1.68E+01	2.46E+01
LUSC.US_SP56771	1.18E+01	1.37E+01	1.02E+01
LUSC.US_SP57941	1.03E+02	3.47E+01	1.20E+02
LUAD.US_SP50611	7.73E+01	2.58E+01	9.43E+01
LUSC.US_SP57818	7.33E+01	2.43E+01	8.66E+01
LUAD.US_SP50485	3.61E+00	5.03E+00	3.76E+00
LUSC.US_SP56460	3.56E+01	3.29E+01	3.84E+01
LUSC.US_SP56474	2.49E+01	2.76E+01	3.03E+01
LUAD.US_SP51037	5.81E+00	8.03E+00	6.15E+00
LUSC.US_SP56704	6.02E+01	2.79E+01	6.00E+01
LUAD.US_SP55142	2.12E+02	9.59E+01	2.11E+02
LUSC.US_SP56533	2.62E+01	1.87E+01	1.95E+01
LUSC.US_SP56730	4.02E+01	2.29E+01	3.23E+01
LUSC.US_SP59245	7.07E+01	4.97E+01	7.28E+01
LUAD.US_SP53387	6.69E+01	4.56E+01	7.10E+01
LUSC.US_SP57024	2.55E+01	1.87E+01	2.21E+01
LUAD.US_SP54745	5.19E+01	7.30E+01	7.33E+01
LUSC.US_SP57933	7.32E+01	4.20E+01	7.02E+01
LUSC.US_SP56754	3.73E+01	2.02E+01	3.56E+01
LUSC.US_SP56827	5.64E+01	2.28E+01	5.76E+01
LUAD.US_SP52284	6.09E+00	8.20E+00	6.92E+00
LUAD.US_SP53618	8.76E+01	2.73E+01	1.07E+02
LUAD.US_SP52232	3.62E+01	1.48E+01	4.09E+01
LUAD.US_SP50412	2.75E+00	3.56E+00	2.80E+00
LUSC.US_SP57084	4.58E+01	2.96E+01	4.19E+01
LUAD.US_SP50321	1.91E+01	8.53E+00	1.85E+01
LUAD.US_SP53548	2.00E-02	1.24E+01	1.24E+01
LUSC.US_SP57538	4.32E+01	3.27E+01	3.49E+01
LUSC.US_SP57735	4.95E+01	3.06E+01	4.86E+01
LUSC.US_SP57669	5.95E+01	2.80E+01	5.83E+01
LUSC.US_SP56566	4.13E+01	4.12E+01	5.26E+01
LUSC.US_SP56569	4.34E+01	2.52E+01	3.68E+01
LUSC.US_SP58342	8.38E+01	5.72E+01	7.16E+01
LUSC.US_SP58349	4.56E+01	2.93E+01	3.75E+01
LUSC.US_SP56644	5.50E+01	2.85E+01	5.10E+01
LUSC.US_SP57629	3.13E+01	2.18E+01	2.54E+01
LUSC.US_SP56941	9.14E+00	1.26E+01	1.43E+01
LUSC.US_SP57619	6.85E+01	2.53E+01	7.42E+01
LUSC.US_SP58245	6.32E+01	3.32E+01	5.79E+01
LUSC.US_SP57251	5.99E+01	4.21E+01	5.24E+01
LUAD.US_SP55004	1.68E+00	1.94E+00	1.30E+00
LUAD.US_SP56079	6.57E+01	2.09E+01	7.52E+01
LUSC.US_SP56502	5.20E+01	3.49E+01	5.27E+01
LUSC.US_SP58668	7.16E+01	4.01E+01	6.95E+01
LUSC.US_SP58101	3.89E+01	2.77E+01	3.17E+01
LUSC.US_SP58991	3.06E+01	2.03E+01	2.48E+01
LUSC.US_SP56607	2.25E+01	1.76E+01	1.89E+01
LUAD.US_SP56168	7.06E+01	7.65E+01	9.40E+01
LUSC.US_SP58326	8.40E+01	3.24E+01	8.95E+01
LUAD.US_SP54363	6.06E+01	3.17E+01	6.38E+01
LUAD.US_SP53810	2.73E+02	8.99E+01	3.52E+02
LUAD.US_SP50518	7.23E+00	9.94E+00	7.24E+00
LUAD.US_SP56303	1.78E+01	1.49E+01	1.47E+01
LUSC.US_SP57267	5.68E+01	2.61E+01	5.46E+01
LUAD.US_SP55711	9.91E+00	1.24E+01	1.24E+01
LUSC.US_SP57066	6.87E+01	2.93E+01	7.21E+01
LUSC.US_SP57901	3.01E+01	2.16E+01	2.47E+01
LUAD.US_SP55509	9.32E+01	3.05E+01	1.11E+02
LUSC.US_SP57651	1.86E+01	1.71E+01	1.79E+01
LUAD.US_SP55309	2.41E+00	3.72E+00	3.02E+00
LUAD.US_SP52607	5.30E+00	7.37E+00	7.01E+00
LUAD.US_SP52667	4.64E+01	1.77E+01	5.43E+01
LUSC.US_SP57450	4.27E+01	4.23E+01	5.31E+01
LUSC.US_SP57846	7.81E+01	6.16E+01	8.60E+01
LUSC.US_SP58612	2.77E+01	2.22E+01	1.92E+01
LUSC.US_SP56821	3.42E+01	2.22E+01	3.07E+01
LUAD.US_SP51446	5.86E+00	8.90E+00	6.57E+00
LUAD.US_SP50592	5.08E+00	8.26E+00	6.42E+00
LUAD.US_SP53073	2.34E+01	1.54E+01	1.79E+01
LUSC.US_SP58882	2.27E+01	2.79E+01	2.18E+01
LUSC.US_SP57189	1.44E+02	5.44E+01	1.57E+02
