Samples	SBS96A	SBS96B	SBS96C	SBS96D
LUAD.US_SP50827	29775	7630	3388	926
LUAD.US_SP50263	1364	6752	1764	554
LUAD.US_SP50317	3383	4190	8673	62
LUAD.US_SP54113	67232	30462	15103	2990
LUSC.US_SP56537	23549	15966	2574	337
LUAD.US_SP50406	37	485	48	19
LUSC.US_SP57586	16108	17853	2125	1036
LUAD.US_SP51824	9837	9086	5649	466
LUAD.US_SP55387	15272	4710	848	287
LUAD.US_SP52779	27712	7038	4882	334
LUSC.US_SP56541	23795	9876	11585	0
LUSC.US_SP56553	31455	23055	81605	0
LUAD.US_SP55235	74461	27007	10994	5539
LUAD.US_SP50713	5422	3004	5985	23
LUSC.US_SP56771	2824	7979	1440	304
LUSC.US_SP57941	57431	16488	3982	938
LUAD.US_SP50611	45620	7266	2726	272
LUSC.US_SP57818	41125	5385	6146	241
LUAD.US_SP50485	56	1924	248	108
LUSC.US_SP56460	9069	11346	9629	1021
LUSC.US_SP56474	1946	7547	8175	761
LUAD.US_SP51037	0	3371	565	359
LUSC.US_SP56704	28251	22668	3186	1010
LUAD.US_SP55142	86410	37732	37302	3310
LUSC.US_SP56533	8334	11756	1781	538
LUSC.US_SP56730	16131	17679	2476	758
LUSC.US_SP59245	23162	14471	17168	2282
LUAD.US_SP53387	19925	4536	17327	1939
LUSC.US_SP57024	9166	11893	2668	315
LUAD.US_SP54745	7174	0	18957	22331
LUSC.US_SP57933	27329	19407	11963	524
LUSC.US_SP56754	14095	11082	6298	234
LUSC.US_SP56827	27707	12652	5440	1347
LUAD.US_SP52284	680	3492	865	238
LUAD.US_SP53618	51864	9045	2485	466
LUAD.US_SP52232	19259	6049	1299	414
LUAD.US_SP50412	0	1845	153	117
LUSC.US_SP57084	17169	19290	6398	940
LUAD.US_SP50321	9274	2988	642	257
LUAD.US_SP53548	0	1468	0	8677
LUSC.US_SP57538	12965	22037	5470	600
LUSC.US_SP57735	20443	17722	6889	582
LUSC.US_SP57669	28625	20438	3058	1045
LUSC.US_SP56566	4546	4469	14361	225
LUSC.US_SP56569	16279	14344	5255	602
LUSC.US_SP58342	29549	32356	13810	241
LUSC.US_SP58349	19913	24295	2572	1568
LUSC.US_SP56644	22371	20293	6339	918
LUSC.US_SP57629	11338	16536	3099	835
LUSC.US_SP56941	0	1445	3945	0
LUSC.US_SP57619	36746	16333	3657	586
LUSC.US_SP58245	27451	28244	5174	723
LUSC.US_SP57251	20394	22407	10481	955
LUAD.US_SP55004	36	491	31	12
LUAD.US_SP56079	37112	8051	3271	1769
LUSC.US_SP56502	20378	17006	8946	664
LUSC.US_SP58668	30208	28137	8402	1137
LUSC.US_SP58101	16082	21680	2625	739
LUSC.US_SP58991	11195	14079	3156	782
LUSC.US_SP56607	8063	10981	2345	362
LUAD.US_SP56168	1648	3099	27245	1377
LUSC.US_SP58326	40793	27776	4350	605
LUAD.US_SP54363	26029	6227	11350	958
LUAD.US_SP53810	179585	6645	2634	1789
LUAD.US_SP50518	863	4106	1029	393
LUAD.US_SP56303	6192	6941	2024	780
LUSC.US_SP57267	26896	21804	4071	829
LUAD.US_SP55711	873	4243	2390	423
LUSC.US_SP57066	33022	19680	6282	676
LUSC.US_SP57901	12239	14468	2655	776
LUAD.US_SP55509	52594	10758	4797	343
LUSC.US_SP57651	5545	9186	3432	559
LUAD.US_SP55309	0	1517	229	66
LUAD.US_SP52607	252	2558	1074	152
LUAD.US_SP52667	27284	5318	1412	777
LUSC.US_SP57450	4061	7183	13956	274
LUSC.US_SP57846	18789	12805	22968	525
LUSC.US_SP58612	10398	16194	1710	871
LUSC.US_SP56821	15033	14635	1799	551
LUAD.US_SP51446	566	3996	895	201
LUAD.US_SP50592	157	4034	661	260
LUAD.US_SP53073	12107	6632	585	4923
LUSC.US_SP58882	4243	15782	3926	700
LUSC.US_SP57189	71029	33866	13178	436
