Samples	SBS96A	SBS96B	SBS96C	SBS96D
LUAD.US_SP50827	4.91E+01	6.80E+01	4.32E+01	8.69E+00
LUAD.US_SP50263	1.58E+01	2.27E+01	2.22E+01	4.39E+00
LUAD.US_SP50317	1.49E+01	2.65E+01	2.57E+01	5.12E+00
LUAD.US_SP54113	1.26E+02	1.75E+02	1.22E+02	1.86E+01
LUSC.US_SP56537	5.72E+01	7.39E+01	5.33E+01	7.23E+00
LUAD.US_SP50406	1.83E+00	2.18E+00	1.88E+00	8.13E-01
LUSC.US_SP57586	5.18E+01	6.59E+01	5.70E+01	8.55E+00
LUAD.US_SP51824	2.69E+01	3.99E+01	3.33E+01	5.21E+00
LUAD.US_SP55387	2.83E+01	3.77E+01	2.30E+01	4.69E+00
LUAD.US_SP52779	4.60E+01	6.28E+01	4.33E+01	7.84E+00
LUSC.US_SP56541	4.65E+01	6.93E+01	5.03E+01	8.59E+00
LUSC.US_SP56553	9.81E+01	1.91E+02	1.91E+02	3.61E+01
LUAD.US_SP55235	1.35E+02	1.77E+02	1.20E+02	2.06E+01
LUAD.US_SP50713	1.45E+01	2.19E+01	1.95E+01	3.39E+00
LUSC.US_SP56771	2.06E+01	2.82E+01	2.54E+01	3.80E+00
LUSC.US_SP57941	9.61E+01	1.29E+02	8.05E+01	1.42E+01
LUAD.US_SP50611	7.01E+01	9.87E+01	5.68E+01	1.09E+01
LUSC.US_SP57818	5.95E+01	8.68E+01	5.85E+01	1.01E+01
LUAD.US_SP50485	5.11E+00	6.90E+00	6.29E+00	2.17E+00
LUSC.US_SP56460	3.06E+01	4.87E+01	4.24E+01	8.12E+00
LUSC.US_SP56474	1.65E+01	3.31E+01	3.18E+01	6.47E+00
LUAD.US_SP51037	6.87E+00	1.16E+01	1.06E+01	3.65E+00
LUSC.US_SP56704	7.35E+01	9.56E+01	6.95E+01	1.04E+01
LUAD.US_SP55142	1.56E+02	2.49E+02	1.82E+02	2.57E+01
LUSC.US_SP56533	3.18E+01	4.37E+01	3.55E+01	5.40E+00
LUSC.US_SP56730	5.25E+01	6.44E+01	5.59E+01	7.86E+00
LUSC.US_SP59245	4.76E+01	8.22E+01	7.03E+01	1.23E+01
LUAD.US_SP53387	3.74E+01	5.98E+01	5.50E+01	9.41E+00
LUSC.US_SP57024	3.24E+01	4.60E+01	3.78E+01	4.73E+00
