Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
LUAD.US_SP50827	28087	5186	2999	4620	827
LUAD.US_SP50263	1064	1539	970	6445	416
LUAD.US_SP50317	2732	3571	8191	1717	97
LUAD.US_SP54113	59501	34533	13928	4717	3108
LUSC.US_SP56537	20285	15777	1838	4176	350
LUAD.US_SP50406	13	0	0	576	0
LUSC.US_SP57586	12761	17082	1171	5070	1038
LUAD.US_SP51824	8452	6433	4867	4886	400
LUAD.US_SP55387	13998	4862	718	1266	273
LUAD.US_SP52779	26098	4961	4476	4183	248
LUSC.US_SP56541	21059	12650	11164	378	5
LUSC.US_SP56553	21821	37320	76974	0	0
LUAD.US_SP55235	67603	27391	9939	7597	5471
LUAD.US_SP50713	4794	2797	5676	1134	33
LUSC.US_SP56771	1806	5757	827	3896	261
LUSC.US_SP57941	53071	16868	3568	4420	912
LUAD.US_SP50611	43308	6362	2640	3379	195
LUSC.US_SP57818	39189	5182	6089	2231	206
LUAD.US_SP50485	36	106	3	2135	56
LUSC.US_SP56460	7699	6934	8483	7027	922
LUSC.US_SP56474	1052	5179	7355	4102	741
LUAD.US_SP51037	0	0	102	3948	245
LUSC.US_SP56704	23329	24303	2214	4196	1073
LUAD.US_SP55142	76748	43622	35444	5378	3562
LUSC.US_SP56533	6333	10647	1082	3816	531
LUSC.US_SP56730	12644	18072	1606	3923	799
LUSC.US_SP59245	19950	15194	16149	3446	2344
LUAD.US_SP53387	18199	0	15571	8590	1367
LUSC.US_SP57024	7083	10962	1952	3729	316
LUAD.US_SP54745	6917	0	18535	876	22134
LUSC.US_SP57933	22866	22248	11019	2411	679
LUSC.US_SP56754	11844	11191	5649	2756	269
LUSC.US_SP56827	24582	14252	4991	1910	1411
LUAD.US_SP52284	538	824	461	3282	170
LUAD.US_SP53618	49019	8623	2407	3421	390
LUAD.US_SP52232	17810	5212	1053	2575	371
LUAD.US_SP50412	0	632	0	1389	94
LUSC.US_SP57084	13741	17481	5165	6491	919
LUAD.US_SP50321	8713	1739	461	2036	212
LUAD.US_SP53548	0	507	0	882	8756
LUSC.US_SP57538	8425	25008	4425	2454	760
LUSC.US_SP57735	16579	19701	6048	2622	686
LUSC.US_SP57669	24019	22899	2306	2796	1146
LUSC.US_SP56566	4093	1985	13530	3810	183
LUSC.US_SP56569	13147	16012	4588	2044	689
LUSC.US_SP58342	23316	32491	11915	7891	343
LUSC.US_SP58349	15169	25257	1431	4835	1656
LUSC.US_SP56644	18569	18831	5131	6484	906
LUSC.US_SP57629	9213	11158	1827	8891	719
LUSC.US_SP56941	0	370	3669	1351	0
LUSC.US_SP57619	32839	17605	3115	3134	629
LUSC.US_SP58245	21510	31154	3940	4111	877
LUSC.US_SP57251	15962	23238	9188	4808	1041
LUAD.US_SP55004	19	112	0	439	0
LUAD.US_SP56079	34754	7684	3081	2966	1718
LUSC.US_SP56502	17082	16433	7902	4886	691
LUSC.US_SP58668	23852	32313	7159	3262	1298
LUSC.US_SP58101	11518	24597	1711	2424	876
LUSC.US_SP58991	8928	11707	2220	5616	741
LUSC.US_SP56607	6155	10110	1682	3444	360
LUAD.US_SP56168	1131	0	25052	6147	1039
LUSC.US_SP58326	34463	30601	3263	4499	698
LUAD.US_SP54363	24743	3363	10731	4865	862
LUAD.US_SP53810	171417	13452	4288	0	1496
LUAD.US_SP50518	708	749	533	4103	298
LUAD.US_SP56303	5751	1764	1280	6494	648
LUSC.US_SP57267	22298	23072	3100	4238	892
LUAD.US_SP55711	745	627	1816	4417	324
LUSC.US_SP57066	28728	19695	5314	5243	680
LUSC.US_SP57901	9807	12613	1768	5198	752
LUAD.US_SP55509	49268	11420	4641	2851	312
LUSC.US_SP57651	3879	8970	2856	2437	580
LUAD.US_SP55309	0	0	10	1796	6
LUAD.US_SP52607	209	0	679	3086	62
LUAD.US_SP52667	25820	4378	1293	2575	725
LUSC.US_SP57450	2986	5767	13065	3366	290
LUSC.US_SP57846	16015	13085	21753	3656	578
LUSC.US_SP58612	7965	12855	635	6916	802
LUSC.US_SP56821	12282	13760	1014	4426	536
LUAD.US_SP51446	472	427	388	4271	100
LUAD.US_SP50592	93	384	155	4323	157
LUAD.US_SP53073	10571	7123	411	1205	4937
LUSC.US_SP58882	1617	15283	2949	4053	749
LUSC.US_SP57189	62089	41581	12164	2004	671
