Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
LUAD.US_SP50827	5.42E+01	7.25E+01	4.31E+01	5.43E+01	9.96E+00
LUAD.US_SP50263	1.25E+01	3.16E+01	8.47E+00	2.96E+01	4.01E+00
LUAD.US_SP50317	1.73E+01	2.83E+01	2.34E+01	2.96E+01	5.09E+00
LUAD.US_SP54113	3.14E+02	3.65E+02	1.22E+02	1.11E+02	2.46E+01
LUSC.US_SP56537	1.36E+02	1.55E+02	4.99E+01	5.56E+01	9.61E+00
LUAD.US_SP50406	2.26E+00	1.83E+00	5.24E-01	2.49E+00	5.86E-01
LUSC.US_SP57586	1.53E+02	1.63E+02	4.97E+01	5.66E+01	1.14E+01
LUAD.US_SP51824	5.27E+01	6.40E+01	2.50E+01	3.38E+01	5.22E+00
LUAD.US_SP55387	4.56E+01	5.95E+01	2.40E+01	2.72E+01	5.60E+00
LUAD.US_SP52779	5.34E+01	6.65E+01	4.06E+01	5.24E+01	7.74E+00
LUSC.US_SP56541	9.51E+01	1.19E+02	4.60E+01	4.88E+01	9.23E+00
LUSC.US_SP56553	3.13E+02	3.66E+02	1.93E+02	2.13E+02	3.54E+01
LUAD.US_SP55235	2.46E+02	3.04E+02	1.20E+02	1.24E+02	2.59E+01
LUAD.US_SP50713	2.18E+01	2.77E+01	1.79E+01	2.04E+01	3.48E+00
LUSC.US_SP56771	4.44E+01	4.98E+01	1.54E+01	2.75E+01	4.65E+00
LUSC.US_SP57941	1.48E+02	1.91E+02	8.35E+01	9.48E+01	1.62E+01
LUAD.US_SP50611	7.40E+01	9.96E+01	6.32E+01	8.05E+01	1.22E+01
LUSC.US_SP57818	6.23E+01	8.63E+01	5.71E+01	7.02E+01	1.05E+01
LUAD.US_SP50485	6.01E+00	1.21E+01	2.23E+00	9.84E+00	1.89E+00
LUSC.US_SP56460	7.33E+01	8.54E+01	3.08E+01	4.63E+01	8.11E+00
LUSC.US_SP56474	3.61E+01	4.71E+01	2.08E+01	3.23E+01	6.51E+00
LUAD.US_SP51037	9.47E+00	1.90E+01	4.80E+00	1.40E+01	2.95E+00
LUSC.US_SP56704	2.15E+02	2.34E+02	7.40E+01	6.88E+01	1.37E+01
LUAD.US_SP55142	3.87E+02	4.56E+02	1.60E+02	1.44E+02	3.02E+01
LUSC.US_SP56533	8.80E+01	9.41E+01	2.98E+01	3.92E+01	7.32E+00
LUSC.US_SP56730	1.59E+02	1.68E+02	5.23E+01	5.31E+01	1.27E+01
LUSC.US_SP59245	1.42E+02	1.64E+02	6.18E+01	5.64E+01	1.46E+01
LUAD.US_SP53387	4.39E+01	6.35E+01	5.25E+01	6.07E+01	9.72E+00
LUSC.US_SP57024	9.06E+01	9.67E+01	2.96E+01	3.60E+01	6.04E+00
LUAD.US_SP54745	3.58E+01	2.79E+00	5.06E+01	3.28E+01	5.25E+01
LUSC.US_SP57933	1.97E+02	2.14E+02	6.68E+01	5.97E+01	1.24E+01
LUSC.US_SP56754	9.77E+01	1.11E+02	3.31E+01	3.74E+01	6.86E+00
LUSC.US_SP56827	1.23E+02	1.45E+02	5.03E+01	4.77E+01	1.23E+01
LUAD.US_SP52284	9.05E+00	2.00E+01	5.53E+00	1.66E+01	3.07E+00
LUAD.US_SP53618	9.56E+01	1.28E+02	7.16E+01	8.83E+01	1.42E+01
LUAD.US_SP52232	4.27E+01	5.70E+01	2.80E+01	3.47E+01	6.72E+00
LUAD.US_SP50412	2.17E+00	1.04E+01	1.83E+00	9.34E+00	1.99E+00
LUSC.US_SP57084	1.57E+02	1.68E+02	5.05E+01	5.76E+01	1.00E+01
LUAD.US_SP50321	1.89E+01	2.53E+01	1.34E+01	2.13E+01	4.20E+00
LUAD.US_SP53548	2.53E+00	2.16E+01	2.89E+00	3.06E+01	2.40E+01
LUSC.US_SP57538	2.17E+02	2.18E+02	6.61E+01	6.74E+01	1.36E+01
LUSC.US_SP57735	1.69E+02	1.83E+02	5.62E+01	5.37E+01	1.14E+01
LUSC.US_SP57669	2.11E+02	2.24E+02	7.02E+01	6.54E+01	1.52E+01
LUSC.US_SP56566	2.82E+01	4.36E+01	3.54E+01	4.29E+01	6.26E+00
LUSC.US_SP56569	1.45E+02	1.53E+02	4.54E+01	4.19E+01	9.37E+00
LUSC.US_SP58342	2.83E+02	3.07E+02	9.35E+01	1.10E+02	1.60E+01
LUSC.US_SP58349	2.41E+02	2.52E+02	7.66E+01	7.97E+01	1.65E+01
LUSC.US_SP56644	1.59E+02	1.77E+02	5.86E+01	5.75E+01	1.17E+01
LUSC.US_SP57629	8.61E+01	9.99E+01	3.06E+01	5.69E+01	7.27E+00
LUSC.US_SP56941	1.50E+00	1.42E+01	1.03E+01	1.59E+01	1.96E+00
LUSC.US_SP57619	1.59E+02	1.89E+02	6.27E+01	6.25E+01	1.26E+01
LUSC.US_SP58245	2.80E+02	2.95E+02	8.76E+01	8.48E+01	1.74E+01
LUSC.US_SP57251	2.18E+02	2.30E+02	6.79E+01	6.40E+01	1.35E+01
LUAD.US_SP55004	1.88E+00	3.74E+00	6.27E-01	3.08E+00	6.82E-01
LUAD.US_SP56079	7.33E+01	1.01E+02	5.27E+01	6.31E+01	1.26E+01
LUSC.US_SP56502	1.43E+02	1.59E+02	5.04E+01	5.37E+01	1.03E+01
LUSC.US_SP58668	2.99E+02	3.16E+02	9.51E+01	8.48E+01	1.78E+01
LUSC.US_SP58101	2.20E+02	2.22E+02	6.84E+01	6.75E+01	1.33E+01
LUSC.US_SP58991	1.04E+02	1.15E+02	3.50E+01	4.77E+01	8.22E+00
LUSC.US_SP56607	8.74E+01	9.30E+01	2.87E+01	3.39E+01	6.21E+00
LUAD.US_SP56168	3.22E+01	6.17E+01	6.59E+01	8.09E+01	1.31E+01
LUSC.US_SP58326	2.68E+02	2.95E+02	9.36E+01	8.50E+01	1.88E+01
LUAD.US_SP54363	5.46E+01	7.24E+01	4.51E+01	5.44E+01	9.26E+00
LUAD.US_SP53810	2.49E+02	3.23E+02	2.36E+02	3.04E+02	4.51E+01
LUAD.US_SP50518	9.07E+00	2.32E+01	6.38E+00	2.02E+01	3.55E+00
LUAD.US_SP56303	2.09E+01	3.91E+01	1.26E+01	3.48E+01	5.71E+00
LUSC.US_SP57267	2.07E+02	2.24E+02	6.83E+01	6.38E+01	1.35E+01
LUAD.US_SP55711	1.12E+01	2.33E+01	1.01E+01	2.20E+01	3.83E+00
LUSC.US_SP57066	1.69E+02	1.96E+02	6.52E+01	6.73E+01	1.27E+01
LUSC.US_SP57901	1.10E+02	1.19E+02	3.64E+01	4.81E+01	8.67E+00
LUAD.US_SP55509	1.09E+02	1.44E+02	7.46E+01	8.69E+01	1.50E+01
LUSC.US_SP57651	7.96E+01	8.26E+01	2.44E+01	2.89E+01	6.09E+00
LUAD.US_SP55309	5.05E+00	8.67E+00	2.12E+00	7.18E+00	1.13E+00
LUAD.US_SP52607	8.41E+00	1.51E+01	4.75E+00	1.29E+01	2.12E+00
LUAD.US_SP52667	5.20E+01	6.58E+01	3.93E+01	4.58E+01	9.56E+00
LUSC.US_SP57450	4.03E+01	5.56E+01	3.51E+01	3.96E+01	6.71E+00
LUSC.US_SP57846	1.25E+02	1.47E+02	6.44E+01	6.65E+01	1.10E+01
LUSC.US_SP58612	1.01E+02	1.14E+02	3.57E+01	5.64E+01	8.49E+00
LUSC.US_SP56821	1.23E+02	1.31E+02	4.04E+01	5.00E+01	8.52E+00
LUAD.US_SP51446	1.10E+01	2.39E+01	6.47E+00	1.95E+01	2.27E+00
LUAD.US_SP50592	9.90E+00	2.21E+01	4.92E+00	1.76E+01	2.58E+00
LUAD.US_SP53073	6.16E+01	6.84E+01	2.39E+01	2.93E+01	1.44E+01
LUSC.US_SP58882	1.29E+02	1.31E+02	3.94E+01	4.99E+01	9.37E+00
LUSC.US_SP57189	3.60E+02	4.11E+02	1.35E+02	1.18E+02	2.38E+01
