Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LUAD.US_SP50827	27544	5696	2874	353	4525	727
LUAD.US_SP50263	1031	1134	817	1147	5893	412
LUAD.US_SP50317	2770	3365	7766	508	1782	117
LUAD.US_SP54113	58779	31866	13341	6367	2607	2827
LUSC.US_SP56537	19986	14817	1868	2747	2776	232
LUAD.US_SP50406	14	0	0	0	575	0
LUSC.US_SP57586	12473	16486	1297	2588	3364	914
LUAD.US_SP51824	8331	5711	4514	1862	4266	354
LUAD.US_SP55387	13721	5187	779	165	1055	210
LUAD.US_SP52779	25623	5256	4233	535	4155	164
LUSC.US_SP56541	21173	9884	10460	3739	0	0
LUSC.US_SP56553	24691	26671	73390	11363	0	0
LUAD.US_SP55235	66482	26364	9548	4457	6004	5146
LUAD.US_SP50713	4825	2126	5280	1072	1103	28
LUSC.US_SP56771	1715	5480	795	1181	3152	224
LUSC.US_SP57941	52398	15581	3467	3184	3486	723
LUAD.US_SP50611	42747	5841	2486	1364	3369	77
LUSC.US_SP57818	38689	5031	5766	703	2591	117
LUAD.US_SP50485	12	91	0	222	1959	52
LUSC.US_SP56460	7166	8396	8040	0	6629	834
LUSC.US_SP56474	1057	4787	6925	1167	3757	736
LUAD.US_SP51037	0	0	26	563	3476	230
LUSC.US_SP56704	22813	23960	2439	2883	2139	881
LUAD.US_SP55142	75966	40330	33640	7721	3836	3261
LUSC.US_SP56533	6174	10191	1116	1773	2697	458
LUSC.US_SP56730	12391	17300	1721	2751	2207	674
LUSC.US_SP59245	19656	14586	15288	2371	2938	2244
LUAD.US_SP53387	17977	0	14370	0	10045	1335
LUSC.US_SP57024	6941	10376	1928	1926	2624	247
LUAD.US_SP54745	6842	0	17398	0	2176	22046
LUSC.US_SP57933	22793	20073	10570	4242	967	578
LUSC.US_SP56754	11862	9335	5280	3209	1806	217
LUSC.US_SP56827	24417	12518	4770	3191	937	1313
LUAD.US_SP52284	437	1135	434	29	3082	158
LUAD.US_SP53618	48369	7885	2271	1853	3237	245
LUAD.US_SP52232	17653	4132	928	1877	2120	311
LUAD.US_SP50412	0	565	0	246	1214	90
LUSC.US_SP57084	13323	17469	5063	2173	4983	786
LUAD.US_SP50321	8554	1802	440	263	1920	182
LUAD.US_SP53548	0	538	0	158	729	8720
LUSC.US_SP57538	8545	22138	4349	5388	0	652
LUSC.US_SP57735	16544	17418	5801	4330	958	585
LUSC.US_SP57669	24146	18389	2104	7098	411	1018
LUSC.US_SP56566	3908	2641	12644	0	4231	177
LUSC.US_SP56569	13178	13792	4372	3906	621	611
LUSC.US_SP58342	26617	4660	8619	34029	1586	445
LUSC.US_SP58349	14912	23878	1639	4062	2366	1491
LUSC.US_SP56644	18033	19271	5122	1744	4993	758
LUSC.US_SP57629	8556	12957	1958	0	7740	597
LUSC.US_SP56941	0	0	3380	652	1358	0
LUSC.US_SP57619	32640	14816	2919	4785	1667	495
LUSC.US_SP58245	21328	28467	3976	5920	1204	697
LUSC.US_SP57251	15631	22384	8885	3428	3019	890
LUAD.US_SP55004	14	108	0	56	392	0
LUAD.US_SP56079	34381	6413	2848	2341	2613	1607
LUSC.US_SP56502	16776	15892	7602	2414	3726	584
LUSC.US_SP58668	23738	28971	6945	6717	403	1110
LUSC.US_SP58101	11585	21418	1726	5656	0	741
LUSC.US_SP58991	8558	12189	2266	1030	4527	642
LUSC.US_SP56607	6087	9052	1600	2368	2347	297
LUAD.US_SP56168	1206	0	23340	0	7734	1089
LUSC.US_SP58326	34067	28127	3324	5715	1807	484
LUAD.US_SP54363	24097	4393	10048	0	5254	772
LUAD.US_SP53810	170556	5771	3522	9595	0	1209
LUAD.US_SP50518	638	774	458	423	3808	290
LUAD.US_SP56303	5402	2614	1218	0	6095	608
LUSC.US_SP57267	21990	21452	3111	4150	2166	731
LUAD.US_SP55711	590	1122	1687	0	4222	308
LUSC.US_SP57066	28357	18217	5125	3792	3637	532
LUSC.US_SP57901	9663	11479	1702	2799	3829	666
LUAD.US_SP55509	48613	10764	4446	1907	2600	162
LUSC.US_SP57651	3930	7677	2692	2385	1497	541
LUAD.US_SP55309	0	0	0	149	1658	5
LUAD.US_SP52607	158	0	578	380	2863	57
LUAD.US_SP52667	25462	4069	1219	947	2452	642
LUSC.US_SP57450	3046	5124	12260	1439	3306	299
LUSC.US_SP57846	15997	11165	20300	3741	3351	533
LUSC.US_SP58612	8675	5583	0	9774	4368	773
LUSC.US_SP56821	12591	8960	614	6920	2461	472
LUAD.US_SP51446	398	468	307	417	3976	92
LUAD.US_SP50592	46	283	76	565	3990	152
LUAD.US_SP53073	10512	5937	399	2083	446	4870
LUSC.US_SP58882	1652	13750	2862	3331	2376	680
LUSC.US_SP57189	61588	36620	11642	8307	0	352
