Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LUAD.US_SP50827	9.95E+01	1.43E+02	5.85E+01	8.30E+01	9.09E+01	9.69E+00
LUAD.US_SP50263	2.36E+01	3.85E+01	1.32E+01	3.86E+01	3.07E+01	4.45E+00
LUAD.US_SP50317	3.51E+01	6.91E+01	5.25E+01	7.42E+01	4.58E+01	4.92E+00
LUAD.US_SP54113	3.71E+02	4.72E+02	1.81E+02	2.05E+02	2.62E+02	2.83E+01
LUSC.US_SP56537	1.50E+02	1.95E+02	5.35E+01	9.34E+01	1.07E+02	1.22E+01
LUAD.US_SP50406	2.17E+00	3.01E+00	4.71E-01	4.14E+00	3.33E+00	5.72E-01
LUSC.US_SP57586	1.72E+02	2.16E+02	5.55E+01	7.96E+01	1.16E+02	1.26E+01
LUAD.US_SP51824	6.45E+01	8.95E+01	5.63E+01	6.46E+01	5.36E+01	6.40E+00
LUAD.US_SP55387	6.69E+01	8.92E+01	2.79E+01	3.09E+01	5.06E+01	5.91E+00
LUAD.US_SP52779	9.25E+01	1.25E+02	6.40E+01	9.42E+01	8.27E+01	7.55E+00
LUSC.US_SP56541	1.15E+02	1.39E+02	8.12E+01	1.09E+02	5.52E+01	1.01E+01
LUSC.US_SP56553	3.35E+02	4.17E+02	4.83E+02	6.10E+02	1.73E+02	3.58E+01
LUAD.US_SP55235	3.44E+02	4.61E+02	1.95E+02	2.28E+02	2.64E+02	3.48E+01
LUAD.US_SP50713	3.08E+01	3.54E+01	4.58E+01	6.22E+01	2.76E+01	3.29E+00
LUSC.US_SP56771	4.83E+01	7.16E+01	2.06E+01	2.43E+01	4.61E+01	4.43E+00
LUSC.US_SP57941	2.10E+02	2.76E+02	9.09E+01	1.16E+02	1.35E+02	1.68E+01
LUAD.US_SP50611	1.30E+02	1.73E+02	6.79E+01	6.99E+01	8.02E+01	1.23E+01
LUSC.US_SP57818	1.18E+02	1.58E+02	6.84E+01	8.11E+01	8.68E+01	1.09E+01
LUAD.US_SP50485	5.51E+00	1.23E+01	2.79E+00	1.27E+01	1.02E+01	1.88E+00
LUSC.US_SP56460	1.01E+02	1.44E+02	1.36E+02	2.01E+02	1.42E+02	9.06E+00
LUSC.US_SP56474	5.10E+01	6.81E+01	4.16E+01	5.88E+01	4.27E+01	7.63E+00
LUAD.US_SP51037	8.92E+00	1.25E+01	5.94E+00	2.85E+01	2.15E+01	3.38E+00
LUSC.US_SP56704	2.60E+02	3.33E+02	8.81E+01	1.07E+02	1.78E+02	1.57E+01
LUAD.US_SP55142	4.83E+02	5.97E+02	3.18E+02	3.83E+02	3.47E+02	3.78E+01
LUSC.US_SP56533	1.01E+02	1.34E+02	3.38E+01	4.57E+01	7.52E+01	8.53E+00
LUSC.US_SP56730	1.78E+02	2.29E+02	5.87E+01	8.58E+01	1.32E+02	1.22E+01
LUSC.US_SP59245	1.71E+02	2.11E+02	1.42E+02	1.85E+02	1.32E+02	1.86E+01
LUAD.US_SP53387	9.29E+01	1.44E+02	3.74E+02	5.74E+02	2.04E+02	1.05E+01
LUSC.US_SP57024	1.02E+02	1.31E+02	3.54E+01	4.94E+01	7.27E+01	6.92E+00
LUAD.US_SP54745	5.96E+01	6.81E+01	2.50E+02	4.11E+02	7.66E+01	1.40E+02
LUSC.US_SP57933	2.19E+02	2.66E+02	1.05E+02	1.53E+02	1.35E+02	1.47E+01
LUSC.US_SP56754	9.67E+01	1.27E+02	4.69E+01	7.18E+01	6.01E+01	7.85E+00
LUSC.US_SP56827	1.41E+02	1.77E+02	6.04E+01	1.05E+02	8.28E+01	1.32E+01
LUAD.US_SP52284	1.63E+01	3.19E+01	7.82E+00	2.05E+01	2.07E+01	3.09E+00
LUAD.US_SP53618	1.54E+02	2.02E+02	7.61E+01	8.37E+01	1.05E+02	1.36E+01
LUAD.US_SP52232	6.43E+01	8.95E+01	3.10E+01	4.41E+01	3.86E+01	7.01E+00
LUAD.US_SP50412	1.37E+00	9.97E+00	1.97E+00	1.07E+01	8.69E+00	2.12E+00
LUSC.US_SP57084	1.82E+02	2.37E+02	8.98E+01	9.81E+01	1.55E+02	1.19E+01
LUAD.US_SP50321	3.10E+01	4.56E+01	1.46E+01	1.73E+01	2.59E+01	3.98E+00
LUAD.US_SP53548	2.73E+00	1.65E+01	3.00E+00	2.29E+01	5.25E+01	4.84E+01
LUSC.US_SP57538	2.07E+02	2.50E+02	8.10E+01	1.88E+02	1.24E+02	1.50E+01
