Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LUAD.US_SP50827	24479	5201	7685	631	2935	410	378
LUAD.US_SP50263	1321	1187	0	1104	5873	556	393
LUAD.US_SP50317	2784	2952	0	7938	2465	0	169
LUAD.US_SP54113	53017	27913	18401	8326	594	5485	2051
LUSC.US_SP56537	18058	13483	6236	309	1752	2588	0
LUAD.US_SP50406	37	0	0	0	552	0	0
LUSC.US_SP57586	12939	14683	2639	794	3458	1884	725
LUAD.US_SP51824	7311	4695	4063	3505	3638	1577	249
LUAD.US_SP55387	12791	4774	2816	0	665	26	45
LUAD.US_SP52779	22590	4598	7593	2007	2635	543	0
LUSC.US_SP56541	21233	9241	720	10712	1782	1568	0
LUSC.US_SP56553	26926	26707	0	76759	0	5723	0
LUAD.US_SP55235	60349	22784	20009	3777	3202	3783	4097
LUAD.US_SP50713	4456	1654	1452	4958	1313	585	16
LUSC.US_SP56771	1280	4832	2074	333	2601	1247	180
LUSC.US_SP57941	48479	14579	10434	699	2415	2095	138
LUAD.US_SP50611	39810	5746	6605	696	2791	236	0
LUSC.US_SP57818	35391	4874	6864	3830	1938	0	0
LUAD.US_SP50485	112	100	0	40	1904	129	51
LUSC.US_SP56460	1630	6880	13306	4222	2695	1680	652
LUSC.US_SP56474	1345	4167	344	7078	4242	501	752
LUAD.US_SP51037	62	0	0	176	3518	315	224
LUSC.US_SP56704	22353	21171	6193	784	1738	2317	559
LUAD.US_SP55142	68859	34877	22670	27583	2896	5424	2445
LUSC.US_SP56533	5782	9068	2838	465	2245	1658	353
LUSC.US_SP56730	12385	15371	3532	931	2073	2259	493
LUSC.US_SP59245	15633	12036	11571	12102	1297	2485	1959
LUAD.US_SP53387	3502	0	33655	4587	468	663	852
LUSC.US_SP57024	6651	9234	2653	1358	2344	1646	156
LUAD.US_SP54745	0	0	15207	12613	0	0	20642
LUSC.US_SP57933	23226	18185	1945	10534	2706	2190	437
LUSC.US_SP56754	10754	8265	3841	4497	1714	2527	111
LUSC.US_SP56827	22981	11511	4605	3772	1116	2134	1027
LUAD.US_SP52284	377	1056	491	365	2800	41	145
LUAD.US_SP53618	44562	7528	8848	0	1992	930	0
LUAD.US_SP52232	17127	3830	2245	464	2271	962	122
LUAD.US_SP50412	0	608	0	16	1227	182	82
LUSC.US_SP57084	11294	15158	8033	2874	3329	2546	563
LUAD.US_SP50321	7912	1735	1705	0	1612	116	81
LUAD.US_SP53548	0	460	0	0	1192	213	8280
LUSC.US_SP57538	10592	19685	0	4926	1862	3427	580
LUSC.US_SP57735	16651	15576	2815	5428	1797	2936	433
LUSC.US_SP57669	24610	16581	2634	2024	1750	4818	749
LUSC.US_SP56566	0	1011	9555	10039	1838	1017	141
LUSC.US_SP56569	13244	12383	2150	4159	1347	2712	485
LUSC.US_SP58342	24574	3434	5826	10312	4597	26870	343
LUSC.US_SP58349	15641	21477	2953	1200	2852	2971	1254
LUSC.US_SP56644	16196	17010	7659	3036	3599	1919	502
LUSC.US_SP57629	6262	11968	7032	0	5425	695	426
LUSC.US_SP56941	0	0	88	3447	1588	267	0
LUSC.US_SP57619	30351	13526	7139	1263	1243	3665	135
LUSC.US_SP58245	20880	25563	5703	2863	1362	4779	442
LUSC.US_SP57251	13176	19325	9614	6324	1529	3610	659
LUAD.US_SP55004	38	86	0	0	392	53	1
LUAD.US_SP56079	32979	5921	4747	1663	2813	905	1175
LUSC.US_SP56502	14872	13943	6897	5840	2819	2233	390
LUSC.US_SP58668	25228	25283	3632	6417	2011	4471	842
LUSC.US_SP58101	12926	19147	1423	1852	1060	4113	605
LUSC.US_SP58991	7281	10697	5236	832	3190	1492	484
LUSC.US_SP56607	5346	7924	3436	808	1750	2287	200
LUAD.US_SP56168	0	0	12271	18214	2030	0	854
LUSC.US_SP58326	32782	25178	7996	1443	1555	4482	88
LUAD.US_SP54363	18002	3435	14333	5797	1764	795	438
LUAD.US_SP53810	168454	8128	6930	2557	4275	309	0
LUAD.US_SP50518	718	758	266	511	3645	222	271
LUAD.US_SP56303	4664	2809	1590	960	5381	0	533
LUSC.US_SP57267	19911	19103	8195	1020	1033	3913	425
LUAD.US_SP55711	30	997	1675	1279	3664	0	284
LUSC.US_SP57066	27353	16126	6172	3649	3490	2646	224
LUSC.US_SP57901	8657	10206	4290	744	3044	2684	513
LUAD.US_SP55509	43845	9974	11024	1318	960	1371	0
LUSC.US_SP57651	4719	6770	128	2923	2200	1482	500
LUAD.US_SP55309	4	0	0	38	1673	90	7
LUAD.US_SP52607	190	0	259	592	2740	199	56
LUAD.US_SP52667	24504	3894	3107	414	2485	34	353
LUSC.US_SP57450	2362	4188	2290	11874	3672	738	350
LUSC.US_SP57846	11716	8293	12274	17041	1788	3579	396
LUSC.US_SP58612	7714	4777	3551	0	4268	8215	648
LUSC.US_SP56821	11471	7753	4555	0	2012	5930	297
LUAD.US_SP51446	390	417	536	262	3690	283	80
LUAD.US_SP50592	186	312	141	178	3817	334	144
LUAD.US_SP53073	10707	5338	1190	273	1031	1228	4480
LUSC.US_SP58882	2619	12197	672	3059	2955	2499	650
LUSC.US_SP57189	57877	32713	13528	8324	0	6067	0
