Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LUAD.US_SP50827	6.59E+02	1.97E+02	7.24E+02	6.10E+01	4.72E+01	4.09E+01	1.10E+01
LUAD.US_SP50263	3.75E+01	3.80E+01	7.00E+01	1.60E+01	2.62E+01	1.81E+01	5.70E+00
LUAD.US_SP50317	9.61E+01	5.02E+01	1.29E+02	6.01E+01	3.14E+01	1.33E+01	7.87E+00
LUAD.US_SP54113	1.39E+03	5.66E+02	1.54E+03	2.01E+02	6.39E+01	1.54E+02	3.23E+01
LUSC.US_SP56537	5.95E+02	2.59E+02	7.59E+02	5.46E+01	3.30E+01	7.54E+01	1.14E+01
LUAD.US_SP50406	2.54E+00	2.63E+00	3.06E+00	3.77E-01	2.35E+00	1.54E+00	5.48E-01
LUSC.US_SP57586	1.96E+02	2.37E+02	2.91E+02	5.11E+01	4.73E+01	6.81E+01	1.27E+01
LUAD.US_SP51824	1.18E+02	9.00E+01	8.92E+01	9.20E+01	6.32E+01	3.43E+01	5.47E+00
LUAD.US_SP55387	3.13E+02	1.20E+02	3.87E+02	2.74E+01	2.09E+01	2.52E+01	5.25E+00
LUAD.US_SP52779	5.76E+02	1.65E+02	5.98E+02	7.53E+01	4.82E+01	3.78E+01	7.85E+00
LUSC.US_SP56541	5.53E+02	2.06E+02	6.81E+02	7.10E+01	3.49E+01	6.67E+01	1.02E+01
LUSC.US_SP56553	3.95E+02	4.85E+02	8.07E+02	5.76E+02	1.86E+02	1.60E+02	3.72E+01
LUAD.US_SP55235	1.27E+03	5.28E+02	1.37E+03	2.28E+02	1.16E+02	1.36E+02	4.03E+01
LUAD.US_SP50713	7.49E+01	3.89E+01	7.17E+01	8.05E+01	3.12E+01	1.34E+01	2.92E+00
LUSC.US_SP56771	6.66E+01	6.97E+01	8.11E+01	2.15E+01	2.64E+01	2.41E+01	5.31E+00
LUSC.US_SP57941	1.29E+03	4.04E+02	1.57E+03	9.61E+01	5.33E+01	9.59E+01	1.76E+01
LUAD.US_SP50611	1.09E+03	2.81E+02	1.30E+03	7.76E+01	5.48E+01	7.31E+01	1.24E+01
LUSC.US_SP57818	9.98E+02	2.48E+02	1.14E+03	6.82E+01	5.16E+01	6.06E+01	1.23E+01
LUAD.US_SP50485	5.09E+00	1.16E+01	7.33E+00	1.84E+00	1.11E+01	6.49E+00	1.80E+00
LUSC.US_SP56460	2.43E+02	1.38E+02	1.18E+02	2.21E+02	6.98E+01	3.52E+01	1.14E+01
LUSC.US_SP56474	5.19E+01	6.28E+01	7.52E+01	6.50E+01	2.55E+01	2.18E+01	9.82E+00
LUAD.US_SP51037	8.15E+00	1.48E+01	9.81E+00	5.74E+00	1.35E+01	1.19E+01	3.38E+00
LUSC.US_SP56704	3.99E+02	3.52E+02	5.45E+02	8.36E+01	6.52E+01	9.35E+01	1.65E+01
LUAD.US_SP55142	1.67E+03	7.16E+02	1.66E+03	4.27E+02	1.11E+02	1.87E+02	4.14E+01
LUSC.US_SP56533	1.52E+02	1.43E+02	2.13E+02	3.04E+01	2.93E+01	4.26E+01	9.28E+00
