Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.994	4418.165	10.59%	709.803	11.27%	0.00909	0.989
LUAD.US_SP50263	10434	0.989	1409.567	13.509%	199.631	14.643%	0.01656	0.973
LUAD.US_SP50317	16308	0.989	2764.99	16.955%	470.398	14.562%	0.02517	0.986
LUAD.US_SP54113	115787	0.996	11146.528	9.627%	1524.376	9.298%	0.00729	0.991
LUSC.US_SP56537	42426	0.988	5880.36	13.86%	893.834	15.21%	0.01458	0.975
LUAD.US_SP50406	589	0.94	217.207	36.877%	33.019	34.219%	0.13068	0.902
LUSC.US_SP57586	37122	0.997	2633.698	7.095%	377.555	7.976%	0.00405	0.991
LUAD.US_SP51824	25038	0.998	1758.494	7.023%	241.256	6.99%	0.00441	0.995
LUAD.US_SP55387	21117	0.99	2945.908	13.95%	461.947	14.284%	0.01599	0.983
LUAD.US_SP52779	39966	0.995	3661.49	9.162%	615.71	10.123%	0.00624	0.991
LUSC.US_SP56541	45256	0.991	5902.662	13.043%	924.378	13.353%	0.01388	0.984
LUSC.US_SP56553	136115	0.996	9054.563	6.652%	2706.309	9.305%	0.00403	0.994
LUAD.US_SP55235	118001	0.998	7808.442	6.617%	1040.681	6.22%	0.00367	0.996
LUAD.US_SP50713	14434	0.995	1437.023	9.956%	237.541	9.718%	0.01016	0.993
LUSC.US_SP56771	12547	0.993	1461.262	11.646%	192.783	12.127%	0.01135	0.981
LUSC.US_SP57941	78839	0.991	10250.699	13.002%	1665.603	13.854%	0.01314	0.983
LUAD.US_SP50611	55884	0.99	8042.819	14.392%	1247.535	14.066%	0.01933	0.983
LUSC.US_SP57818	52897	0.989	8033.904	15.188%	1303.15	15.325%	0.01759	0.981
LUAD.US_SP50485	2336	0.981	450.29	19.276%	67.703	19.751%	0.03246	0.963
LUSC.US_SP56460	31065	0.998	2307.933	7.429%	332.935	7.022%	0.00506	0.996
LUSC.US_SP56474	18429	0.997	1914.841	10.39%	257.858	8.326%	0.01053	0.995
LUAD.US_SP51037	4295	0.971	1017.126	23.682%	156.184	24.103%	0.04317	0.947
LUSC.US_SP56704	55115	0.997	4139.695	7.511%	535.889	7.299%	0.00478	0.994
LUAD.US_SP55142	164754	0.997	13154.167	7.984%	1913.13	7.861%	0.00525	0.994
LUSC.US_SP56533	22409	0.996	1919.675	8.567%	256.028	9.006%	0.00632	0.989
LUSC.US_SP56730	37044	0.997	2587.8	6.986%	369.62	7.682%	0.00397	0.993
LUSC.US_SP59245	57083	0.999	2899.411	5.079%	393.652	4.586%	0.00258	0.998
LUAD.US_SP53387	43727	0.993	6334.828	14.487%	984.628	12.284%	0.02365	0.989
LUSC.US_SP57024	24042	0.996	1968.133	8.186%	280.035	8.966%	0.0053	0.991
LUAD.US_SP54745	48462	0.996	5459.687	11.266%	902.032	9.693%	0.01087	0.994
LUSC.US_SP57933	59223	0.992	7373.418	12.45%	1014.431	12.388%	0.01108	0.983
LUSC.US_SP56754	31709	0.994	3137.989	9.896%	472.477	10.615%	0.00737	0.989
LUSC.US_SP56827	47146	0.989	6601.878	14.003%	981.639	14.709%	0.01523	0.978
LUAD.US_SP52284	5275	0.988	715.392	13.562%	109.473	15.69%	0.01641	0.969
LUAD.US_SP53618	63860	0.991	8483.731	13.285%	1377.656	13.425%	0.01449	0.986
LUAD.US_SP52232	27021	0.994	3022.24	11.185%	421.129	10.622%	0.01062	0.989
LUAD.US_SP50412	2115	0.97	472.683	22.349%	67.469	24.12%	0.04301	0.925
LUSC.US_SP57084	43797	0.998	2406.091	5.494%	335.681	5.863%	0.0023	0.996
LUAD.US_SP50321	13161	0.99	1826.513	13.878%	273.532	13.888%	0.01495	0.982
LUAD.US_SP53548	10145	0.945	2484.068	24.486%	723.485	32.758%	0.04111	0.929
LUSC.US_SP57538	41072	0.996	3547.851	8.638%	466.638	8.933%	0.00567	0.989
LUSC.US_SP57735	45636	0.996	3967.702	8.694%	570.88	9.272%	0.00598	0.991
LUSC.US_SP57669	53166	0.995	4930.193	9.273%	687.308	9.671%	0.00662	0.989
LUSC.US_SP56566	23601	0.998	1918.532	8.129%	300.181	5.85%	0.00789	0.998
LUSC.US_SP56569	36480	0.994	3759.025	10.304%	522.353	10.755%	0.00801	0.986
LUSC.US_SP58342	75956	0.997	5014.082	6.601%	826.716	7.998%	0.00348	0.993
LUSC.US_SP58349	48348	0.993	5309.832	10.983%	732.365	12.209%	0.01163	0.978
LUSC.US_SP56644	49921	0.997	3489.473	6.99%	532.392	8.058%	0.0038	0.992
LUSC.US_SP57629	31808	0.984	4582.798	14.408%	745.551	17.954%	0.01753	0.958
LUSC.US_SP56941	5390	0.996	811.393	15.054%	133.694	9.879%	0.0263	0.995
LUSC.US_SP57619	57322	0.991	7694.384	13.423%	1121.783	13.521%	0.01366	0.982
LUSC.US_SP58245	61592	0.992	7317.599	11.881%	1037.145	12.766%	0.01087	0.98
LUSC.US_SP57251	54237	0.998	2935.31	5.412%	436.649	5.974%	0.00257	0.996
LUAD.US_SP55004	570	0.946	187.049	32.816%	26.682	32.462%	0.10496	0.891
LUAD.US_SP56079	50203	0.996	5075.033	10.109%	705.08	9.401%	0.00883	0.992
LUSC.US_SP56502	46994	0.997	3637.584	7.741%	527.141	8.109%	0.00488	0.993
LUSC.US_SP58668	67884	0.998	3458.262	5.094%	496.163	5.597%	0.00225	0.996
LUSC.US_SP58101	41126	0.997	2868.636	6.975%	375.517	7.227%	0.00418	0.993
LUSC.US_SP58991	29212	0.995	2585.358	8.85%	380.739	10.152%	0.00623	0.986
LUSC.US_SP56607	21751	0.997	1616.132	7.43%	221.803	7.963%	0.00498	0.992
LUAD.US_SP56168	33369	0.985	6942.241	20.804%	1814.643	19.72%	0.03692	0.984
LUSC.US_SP58326	73524	0.995	6484.953	8.82%	965.544	9.616%	0.00587	0.99
LUAD.US_SP54363	44564	0.998	2797.097	6.277%	477.913	6.786%	0.00324	0.996
LUAD.US_SP53810	190653	0.996	16113.425	8.452%	2819.453	8.644%	0.00663	0.994
LUAD.US_SP50518	6391	0.994	703.373	11.006%	93.436	11.156%	0.0143	0.984
LUAD.US_SP56303	15937	0.945	3953.208	24.805%	717.905	32.731%	0.04965	0.873
LUSC.US_SP57267	53600	0.994	5782.874	10.789%	780.126	10.794%	0.00814	0.987
LUAD.US_SP55711	7929	0.995	825.881	10.416%	116.954	9.781%	0.01016	0.991
LUSC.US_SP57066	59660	0.996	4578.062	7.674%	708.967	8.663%	0.00469	0.992
LUSC.US_SP57901	30138	0.993	3210.702	10.653%	446.592	11.573%	0.00828	0.982
LUAD.US_SP55509	68492	0.989	9901.016	14.456%	1641.854	15.159%	0.01641	0.981
LUSC.US_SP57651	18722	0.997	1528.967	8.167%	197.145	8.259%	0.00563	0.991
LUAD.US_SP55309	1812	0.957	532.737	29.4%	84.122	29.137%	0.07836	0.926
LUAD.US_SP52607	4036	0.982	806.92	19.993%	117.116	19.175%	0.03334	0.966
LUAD.US_SP52667	34791	0.994	3964.896	11.396%	589.21	11.151%	0.0116	0.989
LUSC.US_SP57450	25474	0.999	1666.372	6.541%	249.027	4.983%	0.00428	0.998
LUSC.US_SP57846	55087	0.998	3732.221	6.775%	554.648	5.908%	0.00453	0.997
LUSC.US_SP58612	29173	0.996	2452.345	8.406%	338.087	9.112%	0.00605	0.989
LUSC.US_SP56821	32018	0.997	2102.574	6.567%	313.56	7.459%	0.0033	0.993
LUAD.US_SP51446	5658	0.992	707.041	12.496%	101.254	12.995%	0.01638	0.981
LUAD.US_SP50592	5112	0.989	746.141	14.596%	104.911	14.632%	0.01606	0.977
LUAD.US_SP53073	24247	0.993	2140.297	8.827%	398.137	12.302%	0.00916	0.983
LUSC.US_SP58882	24651	0.994	2627.95	10.661%	353.781	11.368%	0.01018	0.982
LUSC.US_SP57189	118509	0.993	13636.185	11.506%	2029.055	11.889%	0.0099	0.987
