Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LUAD.US_SP50827	15260	16800	2123	1249	2504	745	2427	611
LUAD.US_SP50263	405	1399	989	1171	223	398	5432	417
LUAD.US_SP50317	0	3728	1436	7245	1431	0	2148	320
LUAD.US_SP54113	36052	35020	20041	8671	8108	5214	314	2367
LUSC.US_SP56537	8775	17097	9398	1488	1120	2777	1444	327
LUAD.US_SP50406	46	5	0	4	1	0	533	0
LUSC.US_SP57586	9718	7209	12529	997	1200	1659	3070	740
LUAD.US_SP51824	7076	3075	4306	2705	3306	1235	3166	169
LUAD.US_SP55387	7851	8467	2923	347	610	239	498	182
LUAD.US_SP52779	14652	14997	1939	2245	3106	775	2170	82
LUSC.US_SP56541	11041	14198	5023	9997	1903	1743	1108	243
LUSC.US_SP56553	22206	7211	20487	70844	11972	1497	1016	882
LUAD.US_SP55235	46262	31533	16999	3990	8929	3366	2881	4041
LUAD.US_SP50713	4063	1350	1334	3957	2311	409	1010	0
LUSC.US_SP56771	789	2426	4283	366	1067	1120	2312	184
LUSC.US_SP57941	28339	33598	7265	2638	1675	2741	1829	754
LUAD.US_SP50611	24259	24619	844	1931	1012	890	2215	114
LUSC.US_SP57818	19960	24327	0	4592	1922	591	1266	239
LUAD.US_SP50485	113	52	177	0	152	100	1700	42
LUSC.US_SP56460	1468	8543	5949	3426	7325	1467	2271	616
LUSC.US_SP56474	470	1601	3427	5768	2510	427	3505	721
LUAD.US_SP51037	174	0	0	272	51	206	3368	224
LUSC.US_SP56704	17334	12152	17835	1185	2439	1981	1582	607
LUAD.US_SP55142	47683	42781	24659	24533	15712	4955	1651	2780
LUSC.US_SP56533	3698	5331	7637	696	1128	1517	2007	395
LUSC.US_SP56730	8892	8160	12950	1249	1378	2028	1839	548
LUSC.US_SP59245	12580	11426	9608	10075	8615	1961	956	1862
LUAD.US_SP53387	11693	9135	97	2229	18380	546	1176	471
LUSC.US_SP57024	4290	5562	7685	1441	1294	1497	2057	216
LUAD.US_SP54745	4990	1508	0	8651	13768	0	0	19545
LUSC.US_SP57933	12461	16558	12983	9965	2298	2299	1888	771
LUSC.US_SP56754	6061	9077	5920	4338	2267	2371	1418	257
LUSC.US_SP56827	12244	17642	7091	4396	1314	2347	773	1339
LUAD.US_SP52284	0	938	928	274	480	79	2431	145
LUAD.US_SP53618	26980	28799	1825	1203	1662	1750	1406	235
LUAD.US_SP52232	12270	7906	2266	719	732	971	1953	204
LUAD.US_SP50412	65	0	640	11	77	135	1116	71
LUSC.US_SP57084	8722	9502	12958	2651	4275	2215	2903	571
LUAD.US_SP50321	4701	5311	706	237	410	258	1372	166
LUAD.US_SP53548	0	0	725	0	24	175	1472	7749
LUSC.US_SP57538	8266	5074	16940	4991	467	2652	2044	638
LUSC.US_SP57735	10409	11188	12122	5302	1855	2724	1441	595
LUSC.US_SP57669	16747	13488	12742	2740	498	4393	1639	919
LUSC.US_SP56566	1423	3118	1358	7640	8050	754	1247	11
LUSC.US_SP56569	7796	9507	9474	4200	1236	2547	1085	635
LUSC.US_SP58342	16715	15219	189	10931	3538	24151	4661	552
LUSC.US_SP58349	10082	11168	17867	1821	764	2683	2608	1355
LUSC.US_SP56644	10539	13379	13744	3102	3639	1846	3041	631
LUSC.US_SP57629	1345	11657	9539	502	2566	1041	4561	597
LUSC.US_SP56941	0	0	0	2655	1310	192	1233	0
LUSC.US_SP57619	17695	21983	8416	2585	1337	3784	988	534
LUSC.US_SP58245	12035	17441	20354	3793	1557	4469	1215	728
LUSC.US_SP57251	10378	11049	16419	5625	5771	3043	1284	668
LUAD.US_SP55004	15	50	87	6	0	41	369	2
LUAD.US_SP56079	23869	14866	3071	1921	1863	1018	2328	1267
LUSC.US_SP56502	9161	12629	10778	5452	4037	2133	2268	536
LUSC.US_SP58668	22234	8390	22073	5555	3553	3571	1771	737
LUSC.US_SP58101	9689	7103	16331	2195	539	3532	1088	649
LUSC.US_SP58991	4966	7136	9088	940	2416	1421	2731	514
LUSC.US_SP56607	3842	4836	6727	941	1560	2050	1569	226
LUAD.US_SP56168	398	378	0	12403	18011	141	1474	564
LUSC.US_SP58326	21394	21954	19444	2647	2065	4271	1333	416
LUAD.US_SP54363	12457	15445	1307	5048	7614	802	1355	536
LUAD.US_SP53810	126038	57180	0	4089	594	33	2448	271
LUAD.US_SP50518	316	796	717	359	517	213	3218	255
LUAD.US_SP56303	0	7513	1327	1323	362	0	4684	728
LUSC.US_SP57267	12072	16911	14865	1989	2437	3712	955	659
LUAD.US_SP55711	144	937	1038	889	1489	0	3187	245
LUSC.US_SP57066	19596	15082	12467	3689	3063	2475	2911	377
LUSC.US_SP57901	4865	8535	8158	1164	1563	2575	2669	609
LUAD.US_SP55509	24997	31904	3430	3019	2236	2094	555	257
LUSC.US_SP57651	4114	1551	5967	2456	1044	1199	1933	458
LUAD.US_SP55309	54	0	0	15	113	75	1549	6
LUAD.US_SP52607	376	0	0	354	606	202	2460	38
LUAD.US_SP52667	17359	11270	1754	757	911	243	2026	471
LUSC.US_SP57450	1486	2570	3233	9649	4798	533	2871	334
LUSC.US_SP57846	13549	5121	7624	13343	11435	2519	1325	171
LUSC.US_SP58612	5129	6436	3640	477	1270	7491	4055	675
LUSC.US_SP56821	8435	7676	6183	397	1649	5416	1921	341
LUAD.US_SP51446	614	139	623	71	697	219	3249	46
LUAD.US_SP50592	181	205	455	43	443	283	3382	120
LUAD.US_SP53073	8583	3881	4493	333	626	1063	1060	4208
LUSC.US_SP58882	2126	2396	10840	2730	1208	2102	2628	621
LUSC.US_SP57189	35180	40302	22391	9627	4461	6078	0	470
