Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LUAD.US_SP50827	3.85E+02	3.22E+02	1.01E+02	4.29E+01	4.63E+01	3.15E+01	3.02E+01	6.24E+00
LUAD.US_SP50263	1.60E+01	2.95E+01	3.46E+01	1.13E+01	1.33E+01	1.28E+01	2.52E+01	4.53E+00
LUAD.US_SP50317	3.15E+01	4.72E+01	5.99E+01	8.47E+01	1.28E+02	5.77E+00	2.36E+01	5.68E+00
LUAD.US_SP54113	7.61E+02	5.87E+02	2.97E+02	9.51E+01	9.30E+01	1.19E+02	3.39E+01	1.82E+01
LUSC.US_SP56537	2.36E+02	1.51E+02	1.68E+02	6.69E+01	6.00E+01	5.88E+01	2.16E+01	8.48E+00
LUAD.US_SP50406	2.41E+00	3.06E+00	1.99E+00	4.69E-01	1.36E+00	8.57E-01	2.41E+00	4.50E-01
LUSC.US_SP57586	1.45E+02	1.70E+02	1.08E+02	5.90E+01	4.99E+01	5.98E+01	2.48E+01	8.97E+00
LUAD.US_SP51824	1.18E+02	1.23E+02	4.19E+01	5.61E+01	4.75E+01	2.61E+01	2.36E+01	4.69E+00
LUAD.US_SP55387	1.83E+02	1.50E+02	5.71E+01	3.17E+01	3.12E+01	1.95E+01	1.63E+01	3.88E+00
LUAD.US_SP52779	3.68E+02	3.28E+02	7.72E+01	4.03E+01	3.92E+01	2.86E+01	2.72E+01	5.81E+00
LUSC.US_SP56541	2.73E+02	2.00E+02	1.22E+02	8.65E+01	1.46E+02	3.64E+01	2.42E+01	7.61E+00
LUSC.US_SP56553	3.62E+02	5.01E+02	3.35E+02	8.87E+02	1.32E+03	9.89E+01	1.28E+02	3.59E+01
LUAD.US_SP55235	9.21E+02	8.64E+02	2.11E+02	8.24E+01	8.74E+01	1.04E+02	5.33E+01	2.20E+01
LUAD.US_SP50713	7.25E+01	7.89E+01	1.80E+01	7.04E+01	7.60E+01	9.34E+00	1.44E+01	2.17E+00
LUSC.US_SP56771	3.03E+01	6.32E+01	5.13E+01	1.06E+01	1.74E+01	2.29E+01	1.67E+01	3.95E+00
LUSC.US_SP57941	7.14E+02	5.79E+02	2.11E+02	1.10E+02	9.53E+01	6.90E+01	3.65E+01	1.25E+01
LUAD.US_SP50611	6.10E+02	5.13E+02	1.56E+02	8.58E+01	7.59E+01	5.11E+01	3.87E+01	8.19E+00
LUSC.US_SP57818	5.34E+02	4.30E+02	1.51E+02	6.34E+01	6.28E+01	4.44E+01	3.55E+01	8.91E+00
LUAD.US_SP50485	5.40E+00	8.22E+00	1.03E+01	1.12E+00	5.71E+00	5.70E+00	8.84E+00	1.85E+00
LUSC.US_SP56460	7.24E+01	1.05E+02	1.17E+02	1.01E+02	7.66E+01	3.49E+01	3.30E+01	7.82E+00
LUSC.US_SP56474	3.06E+01	6.81E+01	4.76E+01	8.02E+01	1.03E+02	1.44E+01	2.55E+01	6.39E+00
LUAD.US_SP51037	9.06E+00	9.89E+00	1.40E+01	4.34E+00	7.61E+00	8.90E+00	1.31E+01	3.10E+00
LUSC.US_SP56704	2.82E+02	2.83E+02	1.58E+02	7.88E+01	7.28E+01	8.07E+01	2.76E+01	1.12E+01
LUAD.US_SP55142	9.64E+02	7.79E+02	3.61E+02	2.92E+02	3.53E+02	1.42E+02	6.35E+01	2.32E+01
LUSC.US_SP56533	7.57E+01	9.82E+01	8.66E+01	3.10E+01	3.16E+01	3.76E+01	1.96E+01	7.05E+00
LUSC.US_SP56730	1.47E+02	1.70E+02	1.24E+02	5.50E+01	4.73E+01	6.09E+01	2.11E+01	9.58E+00
LUSC.US_SP59245	2.35E+02	1.96E+02	1.24E+02	1.58E+02	1.75E+02	5.02E+01	2.96E+01	1.18E+01
LUAD.US_SP53387	2.70E+02	2.57E+02	8.96E+01	2.83E+02	1.83E+02	3.16E+01	8.79E+01	1.20E+01
LUSC.US_SP57024	8.48E+01	9.53E+01	7.84E+01	2.57E+01	2.01E+01	3.42E+01	1.72E+01	5.47E+00
LUAD.US_SP54745	1.22E+02	1.34E+02	5.92E+00	3.04E+02	2.60E+02	4.12E+00	3.72E+01	6.62E+01
LUSC.US_SP57933	2.54E+02	2.11E+02	1.81E+02	7.88E+01	1.20E+02	6.35E+01	2.89E+01	1.12E+01
LUSC.US_SP56754	1.41E+02	1.06E+02	9.30E+01	4.19E+01	5.42E+01	4.03E+01	1.93E+01	5.84E+00
LUSC.US_SP56827	3.02E+02	1.98E+02	1.52E+02	5.42E+01	4.78E+01	5.09E+01	1.81E+01	1.01E+01
LUAD.US_SP52284	7.45E-01	1.70E+01	2.27E+01	7.20E+00	1.02E+01	7.72E+00	1.56E+01	2.85E+00
LUAD.US_SP53618	6.90E+02	5.94E+02	1.63E+02	9.38E+01	8.89E+01	5.31E+01	3.81E+01	1.03E+01
LUAD.US_SP52232	2.56E+02	2.45E+02	5.19E+01	3.00E+01	2.63E+01	2.53E+01	1.74E+01	5.15E+00
LUAD.US_SP50412	4.35E+00	4.57E+00	8.51E+00	2.36E+00	4.67E+00	4.92E+00	7.32E+00	1.87E+00
LUSC.US_SP57084	1.54E+02	1.67E+02	1.25E+02	4.05E+01	3.87E+01	6.20E+01	2.88E+01	9.01E+00
LUAD.US_SP50321	1.22E+02	1.04E+02	3.34E+01	1.69E+01	1.78E+01	1.02E+01	1.29E+01	3.16E+00
LUAD.US_SP53548	2.50E+00	2.74E+00	1.98E+01	3.68E+00	9.25E+00	1.44E+01	3.14E+01	2.91E+01
LUSC.US_SP57538	1.30E+02	2.24E+02	1.43E+02	6.90E+01	4.81E+01	7.86E+01	3.15E+01	1.06E+01
LUSC.US_SP57735	1.90E+02	1.73E+02	1.35E+02	4.91E+01	5.17E+01	6.08E+01	2.14E+01	8.76E+00
LUSC.US_SP57669	2.90E+02	2.75E+02	1.33E+02	7.76E+01	4.83E+01	8.28E+01	3.03E+01	1.00E+01
LUSC.US_SP56566	5.19E+01	4.07E+01	4.06E+01	1.92E+02	1.78E+02	2.12E+01	3.13E+01	3.67E+00
LUSC.US_SP56569	1.43E+02	1.39E+02	1.18E+02	4.13E+01	4.03E+01	5.30E+01	2.06E+01	8.28E+00
LUSC.US_SP58342	5.87E+02	6.43E+02	3.39E+02	2.06E+02	2.26E+02	2.68E+02	2.17E+02	2.45E+01
LUSC.US_SP58349	1.73E+02	2.59E+02	1.89E+02	1.02E+02	7.16E+01	8.92E+01	3.13E+01	1.46E+01
LUSC.US_SP56644	2.12E+02	1.93E+02	1.56E+02	4.17E+01	3.88E+01	6.26E+01	2.73E+01	9.69E+00
LUSC.US_SP57629	8.19E+01	1.64E+02	1.68E+02	4.02E+01	6.24E+01	4.45E+01	3.26E+01	8.14E+00
LUSC.US_SP56941	1.34E+00	2.90E+00	5.83E+00	5.01E+01	5.36E+01	7.03E+00	9.58E+00	6.52E-01
LUSC.US_SP57619	4.10E+02	2.88E+02	1.82E+02	7.86E+01	6.52E+01	6.80E+01	2.16E+01	9.52E+00
LUSC.US_SP58245	2.43E+02	2.64E+02	2.39E+02	1.01E+02	6.63E+01	1.07E+02	3.39E+01	1.46E+01
LUSC.US_SP57251	1.81E+02	2.17E+02	1.65E+02	6.74E+01	6.24E+01	8.09E+01	3.20E+01	1.18E+01
