Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LUAD.US_SP50827	17727	11118	1903	1216	4726	2265	463	1777	524
LUAD.US_SP50263	1089	140	935	1200	1279	211	293	4842	445
LUAD.US_SP50317	311	769	546	7380	4392	1116	0	1516	278
LUAD.US_SP54113	44155	23241	20938	8862	4671	6924	3802	814	2380
LUSC.US_SP56537	15957	5474	8442	1521	6295	1002	2451	1075	209
LUAD.US_SP50406	70	8	0	6	0	4	0	499	2
LUSC.US_SP57586	5310	8644	10878	844	5689	1187	1551	2295	724
LUAD.US_SP51824	4211	5606	4153	2714	1376	2955	1036	2777	210
LUAD.US_SP55387	8889	5787	2737	313	2323	551	61	319	137
LUAD.US_SP52779	15474	11154	1577	2219	4694	2785	549	1514	0
LUSC.US_SP56541	16330	6842	5404	10259	2361	1287	1265	1272	236
LUSC.US_SP56553	5330	21338	19130	72193	6036	8211	1171	1489	1217
LUAD.US_SP55235	40495	34338	17302	3821	5264	7971	2188	2523	4099
LUAD.US_SP50713	2766	2829	1665	4022	0	1958	197	984	13
LUSC.US_SP56771	1603	504	3791	367	2092	1004	1037	1973	176
LUSC.US_SP57941	35987	19795	6944	2622	8148	1410	2065	1286	582
LUAD.US_SP50611	30794	15804	2212	1967	2060	751	135	2104	57
LUSC.US_SP57818	26419	13772	101	4675	5197	1547	237	831	118
LUAD.US_SP50485	164	14	227	0	125	153	54	1546	53
LUSC.US_SP56460	4782	1327	4420	3495	7035	6679	1550	1264	513
LUSC.US_SP56474	496	501	3001	5890	2255	2135	401	2997	753
LUAD.US_SP51037	9	178	0	284	257	63	159	3092	253
LUSC.US_SP56704	14577	12844	17171	1063	3799	2212	1368	1446	635
LUAD.US_SP55142	54262	31850	25963	25066	6242	13237	3218	2042	2874
LUSC.US_SP56533	4636	2630	6937	680	3060	1050	1346	1688	382
LUSC.US_SP56730	7383	7077	11739	1165	4640	1285	1778	1443	534
LUSC.US_SP59245	13876	8525	9570	10304	3053	7467	1505	871	1912
LUAD.US_SP53387	11603	8268	232	2320	3498	16755	378	244	429
LUSC.US_SP57024	4122	3588	6715	1414	3804	1193	1382	1636	188
LUAD.US_SP54745	3777	3645	0	8914	0	12230	0	0	19896
LUSC.US_SP57933	15468	9031	11787	10108	6903	1775	2008	1415	728
LUSC.US_SP56754	9621	3673	5671	4457	2725	1897	2085	1341	239
