Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LUAD.US_SP50827	3.51E+02	3.49E+02	7.46E+01	4.29E+01	1.04E+02	3.34E+01	2.08E+01	1.98E+01	6.34E+00
LUAD.US_SP50263	2.62E+01	1.50E+01	2.11E+01	1.10E+01	2.91E+01	1.40E+01	1.07E+01	2.41E+01	4.71E+00
LUAD.US_SP50317	6.21E+01	3.71E+01	5.31E+01	8.06E+01	4.48E+01	1.13E+02	2.73E+00	2.40E+01	4.83E+00
LUAD.US_SP54113	6.16E+02	7.32E+02	3.44E+02	1.20E+02	2.03E+02	1.15E+02	9.41E+01	3.39E+01	2.23E+01
LUSC.US_SP56537	1.84E+02	2.22E+02	1.11E+02	5.82E+01	1.03E+02	4.07E+01	4.68E+01	2.25E+01	8.15E+00
LUAD.US_SP50406	2.77E+00	2.48E+00	1.50E+00	4.36E-01	2.53E+00	1.36E+00	4.75E-01	2.66E+00	5.58E-01
LUSC.US_SP57586	1.34E+02	1.11E+02	1.00E+02	5.15E+01	1.84E+02	4.33E+01	5.05E+01	2.73E+01	9.42E+00
LUAD.US_SP51824	9.32E+01	9.45E+01	3.19E+01	4.63E+01	6.33E+01	4.48E+01	2.14E+01	2.28E+01	5.03E+00
LUAD.US_SP55387	1.52E+02	1.60E+02	4.12E+01	2.61E+01	4.83E+01	1.88E+01	1.18E+01	1.23E+01	3.86E+00
LUAD.US_SP52779	3.31E+02	3.20E+02	5.63E+01	4.40E+01	8.72E+01	3.76E+01	1.75E+01	1.96E+01	3.57E+00
LUSC.US_SP56541	2.18E+02	2.64E+02	1.21E+02	8.39E+01	8.38E+01	1.38E+02	2.96E+01	2.38E+01	7.43E+00
LUSC.US_SP56553	3.79E+02	3.09E+02	3.05E+02	7.34E+02	4.01E+02	1.12E+03	1.24E+02	1.31E+02	2.88E+01
LUAD.US_SP55235	7.36E+02	8.42E+02	2.53E+02	1.14E+02	1.81E+02	9.01E+01	6.95E+01	4.48E+01	2.19E+01
LUAD.US_SP50713	6.31E+01	6.65E+01	2.07E+01	5.91E+01	1.92E+01	6.70E+01	1.06E+01	1.35E+01	2.61E+00
LUSC.US_SP56771	4.96E+01	2.91E+01	3.66E+01	1.25E+01	5.36E+01	1.65E+01	2.23E+01	1.64E+01	4.00E+00
LUSC.US_SP57941	6.12E+02	6.51E+02	1.68E+02	8.78E+01	1.70E+02	5.54E+01	4.16E+01	2.62E+01	1.16E+01
LUAD.US_SP50611	5.39E+02	5.85E+02	1.92E+02	7.81E+01	1.68E+02	5.21E+01	3.50E+01	3.08E+01	8.47E+00
LUSC.US_SP57818	5.04E+02	4.96E+02	1.23E+02	6.19E+01	1.82E+02	6.29E+01	3.12E+01	2.51E+01	7.58E+00
LUAD.US_SP50485	7.25E+00	4.75E+00	7.65E+00	7.51E-01	8.51E+00	4.45E+00	4.40E+00	8.87E+00	1.91E+00
LUSC.US_SP56460	7.03E+01	5.94E+01	6.47E+01	9.20E+01	7.27E+01	7.98E+01	3.02E+01	3.11E+01	7.08E+00
LUSC.US_SP56474	5.75E+01	3.22E+01	3.43E+01	6.60E+01	5.78E+01	9.01E+01	1.66E+01	2.53E+01	6.53E+00
LUAD.US_SP51037	6.98E+00	8.18E+00	1.31E+01	4.57E+00	1.19E+01	6.74E+00	7.42E+00	1.33E+01	3.20E+00
LUSC.US_SP56704	2.70E+02	2.51E+02	1.38E+02	7.70E+01	2.27E+02	5.80E+01	6.96E+01	2.45E+01	1.27E+01
LUAD.US_SP55142	7.39E+02	8.87E+02	3.48E+02	2.74E+02	2.49E+02	3.62E+02	1.04E+02	5.62E+01	2.45E+01
LUSC.US_SP56533	9.05E+01	6.58E+01	5.42E+01	2.83E+01	9.26E+01	2.44E+01	3.13E+01	2.00E+01	6.54E+00
LUSC.US_SP56730	1.50E+02	1.20E+02	9.46E+01	5.13E+01	1.71E+02	3.94E+01	5.24E+01	2.14E+01	9.79E+00
LUSC.US_SP59245	1.83E+02	2.18E+02	1.03E+02	1.35E+02	1.04E+02	1.67E+02	4.25E+01	2.76E+01	1.34E+01
LUAD.US_SP53387	2.35E+02	2.34E+02	7.77E+01	2.58E+02	1.24E+02	1.78E+02	2.44E+01	6.49E+01	1.13E+01
LUSC.US_SP57024	8.15E+01	6.57E+01	6.33E+01	2.16E+01	9.71E+01	2.02E+01	3.20E+01	1.88E+01	4.85E+00
LUAD.US_SP54745	1.10E+02	1.14E+02	8.57E+00	2.60E+02	5.05E+01	2.39E+02	3.61E+00	7.49E+00	6.64E+01
LUSC.US_SP57933	1.84E+02	2.21E+02	1.10E+02	6.93E+01	1.46E+02	1.09E+02	5.54E+01	2.95E+01	9.97E+00
LUSC.US_SP56754	1.11E+02	1.33E+02	6.73E+01	4.06E+01	6.69E+01	5.36E+01	3.47E+01	1.66E+01	6.01E+00
LUSC.US_SP56827	2.31E+02	2.87E+02	1.37E+02	5.48E+01	1.03E+02	5.00E+01	3.81E+01	1.59E+01	1.05E+01
LUAD.US_SP52284	1.21E+01	4.97E-01	1.59E+01	7.97E+00	1.77E+01	9.82E+00	6.81E+00	1.62E+01	3.04E+00
LUAD.US_SP53618	6.14E+02	6.37E+02	1.79E+02	7.96E+01	1.99E+02	5.26E+01	4.04E+01	2.36E+01	9.46E+00
LUAD.US_SP52232	2.18E+02	2.43E+02	7.90E+01	3.28E+01	3.19E+01	2.19E+01	1.95E+01	1.61E+01	5.47E+00
LUAD.US_SP50412	5.30E+00	5.10E+00	8.55E+00	2.54E+00	1.03E+01	4.43E+00	5.20E+00	7.25E+00	2.01E+00
LUSC.US_SP57084	1.35E+02	1.20E+02	9.96E+01	3.59E+01	1.61E+02	3.91E+01	5.42E+01	2.76E+01	8.76E+00
LUAD.US_SP50321	1.12E+02	1.08E+02	2.40E+01	1.50E+01	3.62E+01	1.29E+01	7.93E+00	1.07E+01	2.99E+00
LUAD.US_SP53548	1.64E+00	2.15E+00	1.76E+01	2.31E+00	2.07E+01	1.03E+01	1.43E+01	2.56E+01	2.91E+01
LUSC.US_SP57538	2.35E+02	1.19E+02	1.17E+02	6.21E+01	2.38E+02	3.78E+01	7.01E+01	2.41E+01	1.13E+01
LUSC.US_SP57735	1.73E+02	1.68E+02	1.02E+02	4.52E+01	1.35E+02	4.93E+01	5.30E+01	1.58E+01	9.41E+00
LUSC.US_SP57669	2.20E+02	2.43E+02	1.07E+02	7.06E+01	1.57E+02	3.62E+01	7.00E+01	3.03E+01	1.11E+01
LUSC.US_SP56566	4.39E+01	4.61E+01	2.88E+01	1.64E+02	4.83E+01	1.62E+02	1.82E+01	3.06E+01	3.59E+00
