Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,41.36%,25.33%,106.41%,31.78%,100.37,0.1324,1.2177,0.108,0.691,0.803,-0.067
2,1.0,1.0,NO,N/A,21.54%,18.01%,102.25%,19.61%,100.97,0.0813,0.9645,0.061,0.656,0.886,0.054
3,1.0,1.0,NO,N/A,14.98%,10.88%,77.86%,11.7%,82.31,0.0435,0.5212,0.035,0.432,0.928,0.364
4,1.0,0.99,NO,N/A,12.57%,10.07%,60.05%,10.79%,72.24,0.0336,0.3492,0.029,0.307,0.938,0.4
5,0.99,0.95,NO,N/A,11.6%,8.98%,40.68%,9.28%,39.69,0.0158,0.1519,0.011,0.082,0.979,0.863
6,0.87,0.4,NO,N/A,10.75%,8.21%,40.96%,8.77%,39.86,0.0148,0.1648,0.01,0.083,0.981,0.859
7,0.7,-0.57,NO,N/A,10.11%,10.5%,36.88%,10.62%,34.22,0.0154,0.1307,0.01,0.06,0.981,0.873
8,0.93,0.86,YES,2.62e-02,5.56%,6.42%,34.88%,6.48%,32.57,0.0101,0.1187,0.005,0.054,0.989,0.902
9*,0.91,0.84,YES,2.69e-01,4.85%,5.92%,31.12%,5.84%,32.05,0.0083,0.0984,0.004,0.053,0.991,0.913
10,0.88,0.54,YES,Most Stab Sigs,4.47%,5.15%,30.32%,5.21%,32.78,0.0076,0.0986,0.004,0.055,0.992,0.916
