Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS22a	SBS22b	SBS28	SBS33	SBS40a	SBS92	SBS100	SBS109
LUAD.US_SP50827	433	1435	0	17853	8982	1033	0	0	0	0	0	0	0	0	0	11983	0
LUAD.US_SP50263	1194	519	3467	0	3287	604	0	0	1363	0	0	0	0	0	0	0	0
LUAD.US_SP50317	349	2678	0	0	4891	4754	0	0	3636	0	0	0	0	0	0	0	0
LUAD.US_SP54113	252	5550	20731	35218	10912	5011	0	0	0	0	0	0	0	0	12138	25975	0
LUSC.US_SP56537	144	0	0	0	10739	0	0	0	0	0	0	0	0	0	7133	24410	0
LUAD.US_SP50406	149	0	0	0	125	0	0	0	0	0	0	0	0	315	0	0	0
LUSC.US_SP57586	298	0	10060	10652	6424	0	0	0	3969	0	0	0	0	0	5719	0	0
LUAD.US_SP51824	540	2127	0	10519	9731	2121	0	0	0	0	0	0	0	0	0	0	0
LUAD.US_SP55387	85	0	0	8331	2949	0	0	0	0	0	0	0	0	0	2589	7163	0
LUAD.US_SP52779	440	1993	0	17258	8042	1711	0	0	0	0	0	0	0	0	0	10522	0
LUSC.US_SP56541	339	3284	0	13668	11432	6117	0	0	0	0	0	0	0	0	0	10416	0
LUSC.US_SP56553	980	23417	23134	27687	18560	42337	0	0	0	0	0	0	0	0	0	0	0
LUAD.US_SP55235	490	4808	19404	67634	22514	3151	0	0	0	0	0	0	0	0	0	0	0
LUAD.US_SP50713	229	2020	2255	4897	2535	2498	0	0	0	0	0	0	0	0	0	0	0
LUSC.US_SP56771	336	463	0	0	7949	386	0	0	0	0	0	0	0	0	0	3413	0
LUSC.US_SP57941	139	0	0	30357	20899	0	0	0	0	0	0	0	0	0	0	27444	0
LUAD.US_SP50611	511	0	7982	22997	5792	0	0	0	0	0	0	0	0	0	0	18602	0
LUSC.US_SP57818	268	2049	0	22383	7412	2830	0	0	0	0	0	0	0	0	0	17955	0
LUAD.US_SP50485	389	0	0	0	893	0	0	0	0	0	0	0	0	1054	0	0	0
LUSC.US_SP56460	260	4262	0	0	13161	3038	0	0	0	0	0	0	0	0	0	10344	0
LUSC.US_SP56474	766	2691	7245	0	4240	3487	0	0	0	0	0	0	0	0	0	0	0
LUAD.US_SP51037	852	0	0	0	1125	0	0	0	0	0	0	0	0	1457	0	0	861
LUSC.US_SP56704	43	0	10468	25416	10961	0	0	0	0	0	0	0	0	0	8227	0	0
LUAD.US_SP55142	0	12708	0	86651	48246	17149	0	0	0	0	0	0	0	0	0	0	0
LUSC.US_SP56533	119	0	0	0	13255	0	0	0	0	0	0	0	0	0	0	9035	0
LUSC.US_SP56730	202	0	9810	0	5123	0	0	0	0	0	0	0	0	0	8194	13715	0
LUSC.US_SP59245	139	6404	0	24205	19034	7301	0	0	0	0	0	0	0	0	0	0	0
LUAD.US_SP53387	226	8659	0	18969	3891	3645	0	0	0	0	0	0	0	8337	0	0	0
LUSC.US_SP57024	257	750	0	0	10959	986	0	0	0	1815	0	0	0	0	0	9275	0
LUAD.US_SP54745	370	9623	0	9029	9357	7096	3616	6780	0	0	0	2591	0	0	0	0	0
LUSC.US_SP57933	334	3412	17188	0	10452	5279	0	0	0	0	0	0	0	0	0	22558	0
LUSC.US_SP56754	230	2004	0	0	12244	2808	0	0	0	0	0	0	0	0	0	14423	0
LUSC.US_SP56827	84	1481	0	14847	14534	2741	0	0	0	0	0	0	0	0	0	13459	0
