Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.996	4285.199	10.272%	566.672	8.998%	0.01138	0.993
LUAD.US_SP50263	10434	0.986	1693.825	16.234%	227.543	16.69%	0.02582	0.965
LUAD.US_SP50317	16308	0.993	3177.1	19.482%	444.284	13.754%	0.04542	0.992
LUAD.US_SP54113	115787	0.997	10277.645	8.876%	1359.23	8.29%	0.00884	0.993
LUSC.US_SP56537	42426	0.985	7970.648	18.787%	1139.962	19.399%	0.03861	0.973
LUAD.US_SP50406	589	0.967	177.63	30.158%	25.367	26.289%	0.10261	0.948
LUSC.US_SP57586	37122	0.985	5662.268	15.253%	823.049	17.388%	0.02347	0.959
LUAD.US_SP51824	25038	0.993	3259.85	13.02%	430.215	12.464%	0.01547	0.985
LUAD.US_SP55387	21117	0.99	3327.12	15.756%	472.955	14.624%	0.02369	0.983
LUAD.US_SP52779	39966	0.996	4000.658	10.01%	560.541	9.216%	0.01081	0.993
LUSC.US_SP56541	45256	0.996	4473.181	9.884%	618.595	8.936%	0.01001	0.993
LUSC.US_SP56553	136115	0.998	12115.077	8.901%	1747.714	6.009%	0.01103	0.998
LUAD.US_SP55235	118001	0.992	13670.87	11.585%	2049.598	12.25%	0.01372	0.984
LUAD.US_SP50713	14434	0.994	1769.859	12.262%	270.757	11.077%	0.01687	0.99
LUSC.US_SP56771	12547	0.979	2489.156	19.839%	324.784	20.431%	0.03319	0.943
LUSC.US_SP57941	78839	0.993	10150.152	12.875%	1488.235	12.378%	0.01884	0.987
LUAD.US_SP50611	55884	0.995	5976.087	10.694%	927.332	10.455%	0.01708	0.991
LUSC.US_SP57818	52897	0.998	4241.03	8.018%	574.098	6.751%	0.00764	0.996
LUAD.US_SP50485	2336	0.984	464.849	19.899%	60.649	17.693%	0.03831	0.969
LUSC.US_SP56460	31065	0.99	5293.914	17.041%	715.045	15.08%	0.03068	0.983
LUSC.US_SP56474	18429	0.991	2992.268	16.237%	417.912	13.494%	0.02961	0.986
LUAD.US_SP51037	4295	0.972	970.734	22.601%	152.299	23.504%	0.05321	0.949
LUSC.US_SP56704	55115	0.987	7606.529	13.801%	1183.806	16.125%	0.01802	0.969
LUAD.US_SP55142	164754	0.992	20917.256	12.696%	3121.914	12.827%	0.01741	0.984
LUSC.US_SP56533	22409	0.97	5404.339	24.117%	715.546	25.17%	0.05371	0.923
LUSC.US_SP56730	37044	0.979	7137.982	19.269%	1009.132	20.973%	0.03569	0.947
LUSC.US_SP59245	57083	0.993	7859.998	13.769%	1084.558	12.634%	0.02059	0.987
LUAD.US_SP53387	43727	0.996	4628.71	10.585%	679.746	8.48%	0.01189	0.995
