Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LUAD.US_SP50827	17728	11117	1903	1216	4726	2265	463	1777	524
LUAD.US_SP50263	1089	140	935	1200	1279	211	293	4842	445
LUAD.US_SP50317	0	1063	0	7531	4816	1168	0	1730	0
LUAD.US_SP54113	44155	23241	20938	8862	4671	6924	3802	814	2380
LUSC.US_SP56537	15957	5474	8442	1521	6295	1002	2451	1075	209
LUAD.US_SP50406	80	0	0	0	0	0	0	509	0
LUSC.US_SP57586	5310	8643	10879	844	5689	1187	1551	2295	724
LUAD.US_SP51824	4211	5605	4153	2714	1376	2955	1036	2778	210
LUAD.US_SP55387	8888	5788	2737	313	2323	551	61	319	137
LUAD.US_SP52779	15382	11277	1977	2219	4754	2783	0	1574	0
LUSC.US_SP56541	16330	6842	5404	10259	2361	1287	1265	1272	236
LUSC.US_SP56553	5330	21338	19129	72194	6036	8211	1171	1489	1217
LUAD.US_SP55235	40494	34339	17302	3821	5264	7971	2188	2523	4099
LUAD.US_SP50713	2744	2871	1820	4028	0	1960	0	1011	0
LUSC.US_SP56771	1603	504	3791	367	2092	1004	1037	1973	176
LUSC.US_SP57941	35987	19795	6944	2622	8148	1410	2065	1286	582
LUAD.US_SP50611	30793	15804	2212	1967	2060	751	135	2104	58
LUSC.US_SP57818	26419	13772	101	4675	5197	1547	237	831	118
LUAD.US_SP50485	255	0	321	0	0	158	0	1602	0
LUSC.US_SP56460	4782	1327	4420	3495	7035	6679	1550	1264	513
LUSC.US_SP56474	495	501	3001	5891	2255	2135	401	2997	753
LUAD.US_SP51037	0	0	0	335	446	0	0	3242	272
LUSC.US_SP56704	14577	12844	17170	1063	3799	2213	1368	1446	635
LUAD.US_SP55142	54261	31850	25963	25066	6242	13237	3218	2042	2875
LUSC.US_SP56533	4636	2630	6936	680	3060	1050	1347	1688	382
LUSC.US_SP56730	7383	7077	11737	1166	4640	1285	1778	1443	535
LUSC.US_SP59245	13876	8525	9570	10304	3053	7467	1505	871	1912
LUAD.US_SP53387	11603	8268	232	2320	3498	16754	378	245	429
LUSC.US_SP57024	4122	3588	6715	1414	3804	1193	1382	1636	188
LUAD.US_SP54745	6928	0	0	9032	0	12334	0	0	20168
LUSC.US_SP57933	15469	9031	11787	10108	6903	1775	2007	1415	728
LUSC.US_SP56754	9622	3673	5671	4457	2725	1897	2084	1341	239
LUSC.US_SP56827	19237	7516	7052	4515	3883	992	1869	797	1285
LUAD.US_SP52284	234	4	678	269	1347	474	90	2036	143
LUAD.US_SP53618	33096	18604	2372	1183	4939	1407	1090	1065	104
LUAD.US_SP52232	11559	8705	3416	1102	0	0	0	2239	0
